# BEGIN PLOT
Legend=1
LogY=1
Title=1D differential xsection vs $p_{T}^{\gamma\gamma}$
XLabel=$p_{T}^{\gamma\gamma}$ [GeV]
YLabel=$d\sigma/dp_{T}^{\gamma\gamma}$ [fb/GeV]
XMin=1
LogX=1
DrawOnly=/ATLAS_2022_I2023464/d02-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d02-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even_fixps.yoda.gz/ATLAS_2022_I2023464/d02-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_even_pythia.yoda.gz/ATLAS_2022_I2023464/d02-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_mix_pythia.yoda.gz/ATLAS_2022_I2023464/d02-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_odd_pythia.yoda.gz/ATLAS_2022_I2023464/d02-x01-y01
LegendOnly=/ATLAS_2022_I2023464/d02-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d02-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even_fixps.yoda.gz/ATLAS_2022_I2023464/d02-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_even_pythia.yoda.gz/ATLAS_2022_I2023464/d02-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_mix_pythia.yoda.gz/ATLAS_2022_I2023464/d02-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_odd_pythia.yoda.gz/ATLAS_2022_I2023464/d02-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2022_I2023464/d02-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2022_I2023464/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2022_I2023464/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	3.996200e-01	3.053938e-01	3.053938e-01
5.000000e+00	1.000000e+01	1.044000e+00	4.234708e-01	4.234708e-01
1.000000e+01	1.500000e+01	1.348300e+00	4.466780e-01	4.466780e-01
1.500000e+01	2.000000e+01	1.825900e+00	4.606646e-01	4.606646e-01
2.000000e+01	2.500000e+01	1.382400e+00	3.953393e-01	3.953393e-01
2.500000e+01	3.000000e+01	6.087000e-01	3.596391e-01	3.596391e-01
3.000000e+01	3.500000e+01	1.467400e+00	3.355463e-01	3.355463e-01
3.500000e+01	4.500000e+01	4.810300e-01	1.848706e-01	1.848706e-01
4.500000e+01	6.000000e+01	3.627000e-01	1.142785e-01	1.142785e-01
6.000000e+01	8.000000e+01	3.184200e-01	7.944978e-02	7.944978e-02
8.000000e+01	1.000000e+02	1.197600e-01	5.598162e-02	5.598162e-02
1.000000e+02	1.200000e+02	1.253300e-01	3.556662e-02	3.556662e-02
1.200000e+02	1.400000e+02	7.437500e-02	2.336445e-02	2.336445e-02
1.400000e+02	1.700000e+02	6.238000e-02	1.330101e-02	1.330101e-02
1.700000e+02	2.000000e+02	2.330700e-02	8.744337e-03	8.744337e-03
2.000000e+02	2.500000e+02	2.147400e-02	4.436942e-03	4.436942e-03
2.500000e+02	3.000000e+02	5.660000e-03	2.438351e-03	2.438351e-03
3.000000e+02	4.500000e+02	1.454700e-03	6.992575e-04	6.992575e-04
4.500000e+02	6.500000e+02	4.370000e-04	2.313243e-04	2.313243e-04
6.500000e+02	1.300000e+04	1.000000e-06	1.536431e-06	1.536431e-06
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d02-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d02-x01-y01
ScaledBy=2.28242794195637878e-05
Title=NNLO PhPy8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	2.851344e-01	6.691000e-03	6.691000e-03
