# BEGIN PLOT
Legend=1
LogY=1
Title=1D differential xsection vs $p_{T}^{\gamma\gamma}$ ($p_{T}^{j1}<50$ GeV)
XLabel=$p_{T}^{\gamma\gamma}$ [GeV]
YLabel=$d\sigma/dp_{T}^{\gamma\gamma}$ [fb/GeV]
XMin=1
LogX=1
DrawOnly=/ATLAS_2022_I2023464/d39-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even_fixps.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_even_pythia.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_mix_pythia.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_odd_pythia.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01
LegendOnly=/ATLAS_2022_I2023464/d39-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even_fixps.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_even_pythia.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_mix_pythia.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_odd_pythia.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2022_I2023464/d39-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2022_I2023464/d39-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2022_I2023464/d39-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	3.800000e-01	3.066343e-01	3.066343e-01
5.000000e+00	1.000000e+01	1.077900e+00	4.247668e-01	4.247668e-01
1.000000e+01	1.500000e+01	1.359800e+00	4.450295e-01	4.450295e-01
1.500000e+01	2.000000e+01	1.726000e+00	4.526727e-01	4.526727e-01
2.000000e+01	3.000000e+01	9.788800e-01	2.303034e-01	2.303034e-01
3.000000e+01	4.000000e+01	9.037700e-01	1.908027e-01	1.908027e-01
4.000000e+01	5.000000e+01	4.961000e-01	1.568861e-01	1.568861e-01
5.000000e+01	6.000000e+01	2.142200e-01	1.166851e-01	1.166851e-01
6.000000e+01	7.000000e+01	1.551700e-01	8.993496e-02	8.993496e-02
7.000000e+01	1.000000e+02	9.888700e-02	3.129181e-02	3.129181e-02
1.000000e+02	1.300000e+04	2.679000e-05	2.186382e-05	2.186382e-05
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01
ScaledBy=2.28242794195637878e-05
Title=NNLO PhPy8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	2.833050e-01	6.671731e-03	6.671731e-03
5.000000e+00	1.000000e+01	6.423870e-01	9.511267e-03	9.511267e-03
1.000000e+01	1.500000e+01	6.962926e-01	9.899929e-03	9.899929e-03
1.500000e+01	2.000000e+01	6.379550e-01	9.477084e-03	9.477084e-03
2.000000e+01	3.000000e+01	5.169918e-01	6.032242e-03	6.032242e-03
3.000000e+01	4.000000e+01	3.637969e-01	5.059577e-03	5.059577e-03
4.000000e+01	5.000000e+01	2.498202e-01	4.194062e-03	4.194062e-03
5.000000e+01	6.000000e+01	1.579466e-01	3.337175e-03	3.337175e-03
6.000000e+01	7.000000e+01	8.654752e-02	2.467755e-03	2.467755e-03
7.000000e+01	1.000000e+02	2.960002e-02	8.332251e-04	8.332251e-04
1.000000e+02	1.300000e+04	8.890930e-06	6.963916e-07	6.963916e-07
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even_fixps.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even_fixps.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01
ScaledBy=3.12706459889695518e-03
Title=EVEN (Madspin)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	3.000526e-01	1.112421e-02	1.112421e-02
5.000000e+00	1.000000e+01	5.698602e-01	1.626174e-02	1.626174e-02
1.000000e+01	1.500000e+01	6.255586e-01	1.858785e-02	1.858785e-02
1.500000e+01	2.000000e+01	5.267388e-01	1.900292e-02	1.900292e-02
2.000000e+01	3.000000e+01	4.084547e-01	1.297363e-02	1.297363e-02
3.000000e+01	4.000000e+01	3.055924e-01	1.111715e-02	1.111715e-02
4.000000e+01	5.000000e+01	1.858110e-01	9.211545e-03	9.211545e-03
5.000000e+01	6.000000e+01	1.212787e-01	7.519208e-03	7.519208e-03
6.000000e+01	7.000000e+01	8.115193e-02	5.925097e-03	5.925097e-03
7.000000e+01	1.000000e+02	2.380656e-02	1.971877e-03	1.971877e-03
1.000000e+02	1.300000e+04	9.981791e-06	1.737136e-06	1.737136e-06
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_even_pythia.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_even_pythia.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01
ScaledBy=7.23490853448394614e-06
Title=EVEN
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	4.052120e-01	1.598082e-02	1.598082e-02
5.000000e+00	1.000000e+01	8.892402e-01	2.483654e-02	2.483654e-02
1.000000e+01	1.500000e+01	8.830062e-01	2.731544e-02	2.731544e-02
1.500000e+01	2.000000e+01	7.792540e-01	2.866493e-02	2.866493e-02
2.000000e+01	3.000000e+01	6.407694e-01	1.929696e-02	1.929696e-02
3.000000e+01	4.000000e+01	4.152311e-01	1.655220e-02	1.655220e-02
4.000000e+01	5.000000e+01	2.943354e-01	1.381111e-02	1.381111e-02
5.000000e+01	6.000000e+01	1.696547e-01	1.097976e-02	1.097976e-02
6.000000e+01	7.000000e+01	9.796334e-02	8.737182e-03	8.737182e-03
7.000000e+01	1.000000e+02	3.792370e-02	2.975074e-03	2.975074e-03
1.000000e+02	1.300000e+04	1.501553e-05	2.422447e-06	2.422447e-06
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_mix_pythia.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01
ErrorBars=1
LineColor=orange
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_mix_pythia.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01
ScaledBy=7.25327500126240480e-06
Title=MIX
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	7.000318e-01	2.629675e-02	2.629675e-02
5.000000e+00	1.000000e+01	1.353828e+00	3.906454e-02	3.906454e-02
1.000000e+01	1.500000e+01	1.415235e+00	4.389005e-02	4.389005e-02
1.500000e+01	2.000000e+01	1.382726e+00	4.598634e-02	4.598634e-02
2.000000e+01	3.000000e+01	9.590222e-01	3.102444e-02	3.102444e-02
3.000000e+01	4.000000e+01	7.242332e-01	2.708620e-02	2.708620e-02
4.000000e+01	5.000000e+01	4.684940e-01	2.263573e-02	2.263573e-02
5.000000e+01	6.000000e+01	2.683817e-01	1.781702e-02	1.781702e-02
6.000000e+01	7.000000e+01	1.816904e-01	1.416123e-02	1.416123e-02
7.000000e+01	1.000000e+02	6.658370e-02	4.720411e-03	4.720411e-03
1.000000e+02	1.300000e+04	1.932073e-05	3.890030e-06	3.890030e-06
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_odd_pythia.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01
ErrorBars=1
LineColor=lilac
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_odd_pythia.yoda.gz/ATLAS_2022_I2023464/d39-x01-y01
ScaledBy=7.21828562408524829e-06
Title=ODD
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	9.097672e-01	3.533903e-02	3.533903e-02
5.000000e+00	1.000000e+01	1.922735e+00	5.402154e-02	5.402154e-02
1.000000e+01	1.500000e+01	2.004894e+00	6.080584e-02	6.080584e-02
1.500000e+01	2.000000e+01	1.783464e+00	6.285966e-02	6.285966e-02
2.000000e+01	3.000000e+01	1.391203e+00	4.330738e-02	4.330738e-02
3.000000e+01	4.000000e+01	9.899229e-01	3.798156e-02	3.798156e-02
4.000000e+01	5.000000e+01	6.667953e-01	3.160898e-02	3.160898e-02
5.000000e+01	6.000000e+01	3.992756e-01	2.536231e-02	2.536231e-02
6.000000e+01	7.000000e+01	2.204282e-01	1.998876e-02	1.998876e-02
7.000000e+01	1.000000e+02	7.848580e-02	6.565955e-03	6.565955e-03
1.000000e+02	1.300000e+04	4.310699e-05	5.667799e-06	5.667799e-06
# END HISTO1D

