# BEGIN PLOT
Legend=1
LogY=1
Title=1D differential xsection vs $p_{T}^{\gamma\gamma}$ ($p_{T}^{j1}<60$ GeV)
XLabel=$p_{T}^{\gamma\gamma}$ [GeV]
YLabel=$d\sigma/dp_{T}^{\gamma\gamma}$ [fb/GeV]
XMin=1
LogX=1
DrawOnly=/ATLAS_2022_I2023464/d41-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even_fixps.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
LegendOnly=/ATLAS_2022_I2023464/d41-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even_fixps.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2022_I2023464/d41-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2022_I2023464/d41-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2022_I2023464/d41-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	3.926200e-01	3.040533e-01	3.040533e-01
5.000000e+00	1.000000e+01	1.009400e+00	4.224643e-01	4.224643e-01
1.000000e+01	1.500000e+01	1.332200e+00	4.415788e-01	4.415788e-01
1.500000e+01	2.000000e+01	1.713900e+00	4.531047e-01	4.531047e-01
2.000000e+01	3.000000e+01	1.015900e+00	2.309808e-01	2.309808e-01
3.000000e+01	4.000000e+01	9.012100e-01	1.936672e-01	1.936672e-01
4.000000e+01	5.000000e+01	5.445000e-01	1.617715e-01	1.617715e-01
5.000000e+01	6.000000e+01	2.550800e-01	1.243577e-01	1.243577e-01
6.000000e+01	7.000000e+01	2.117900e-01	1.001388e-01	1.001388e-01
7.000000e+01	8.000000e+01	3.246000e-01	8.580725e-02	8.580725e-02
8.000000e+01	1.000000e+02	2.896500e-02	3.607204e-02	3.607204e-02
1.000000e+02	1.300000e+04	7.056000e-05	2.822713e-05	2.822713e-05
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
ScaledBy=2.28242794195637878e-05
Title=NNLO PhPy8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	2.841492e-01	6.680632e-03	6.680632e-03
5.000000e+00	1.000000e+01	6.444978e-01	9.526871e-03	9.526871e-03
1.000000e+01	1.500000e+01	7.007958e-01	9.931886e-03	9.931886e-03
1.500000e+01	2.000000e+01	6.449914e-01	9.529183e-03	9.529183e-03
2.000000e+01	3.000000e+01	5.258577e-01	6.083730e-03	6.083730e-03
3.000000e+01	4.000000e+01	3.799804e-01	5.170887e-03	5.170887e-03
4.000000e+01	5.000000e+01	2.717034e-01	4.373780e-03	4.373780e-03
5.000000e+01	6.000000e+01	1.901387e-01	3.663418e-03	3.663418e-03
6.000000e+01	7.000000e+01	1.208147e-01	2.915645e-03	2.915645e-03
7.000000e+01	8.000000e+01	7.191184e-02	2.249443e-03	2.249443e-03
8.000000e+01	1.000000e+02	3.426763e-02	1.098006e-03	1.098006e-03
1.000000e+02	1.300000e+04	2.089098e-05	1.067478e-06	1.067478e-06
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
ScaledBy=3.17164162641938837e-03
Title=r23
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	2.828174e-01	1.097028e-02	1.097028e-02
5.000000e+00	1.000000e+01	5.780098e-01	1.665559e-02	1.665559e-02
1.000000e+01	1.500000e+01	5.994400e-01	1.883495e-02	1.883495e-02
1.500000e+01	2.000000e+01	5.535614e-01	1.942547e-02	1.942547e-02
2.000000e+01	3.000000e+01	4.147183e-01	1.307846e-02	1.307846e-02
3.000000e+01	4.000000e+01	3.108878e-01	1.140792e-02	1.140792e-02
4.000000e+01	5.000000e+01	1.960404e-01	9.709216e-03	9.709216e-03
5.000000e+01	6.000000e+01	1.332592e-01	8.134100e-03	8.134100e-03
6.000000e+01	7.000000e+01	9.749200e-02	6.643751e-03	6.643751e-03
7.000000e+01	8.000000e+01	6.308306e-02	5.258306e-03	5.258306e-03
8.000000e+01	1.000000e+02	2.935324e-02	2.564469e-03	2.564469e-03
1.000000e+02	1.300000e+04	2.187703e-05	2.634212e-06	2.634212e-06
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even_fixps.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/even_fixps.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
ScaledBy=3.12706459889695518e-03
Title=r23 fixPS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	3.000526e-01	1.114032e-02	1.114032e-02
5.000000e+00	1.000000e+01	5.710580e-01	1.630579e-02	1.630579e-02
1.000000e+01	1.500000e+01	6.279542e-01	1.864565e-02	1.864565e-02
1.500000e+01	2.000000e+01	5.324286e-01	1.912756e-02	1.912756e-02
2.000000e+01	3.000000e+01	4.162405e-01	1.308718e-02	1.308718e-02
3.000000e+01	4.000000e+01	3.177203e-01	1.133581e-02	1.133581e-02
4.000000e+01	5.000000e+01	2.001847e-01	9.618709e-03	9.618709e-03
5.000000e+01	6.000000e+01	1.491279e-01	8.154271e-03	8.154271e-03
6.000000e+01	7.000000e+01	1.028623e-01	6.603275e-03	6.603275e-03
7.000000e+01	8.000000e+01	5.390165e-02	5.238298e-03	5.238298e-03
8.000000e+01	1.000000e+02	3.241586e-02	2.559628e-03	2.559628e-03
1.000000e+02	1.300000e+04	2.611514e-05	2.603118e-06	2.603118e-06
# END HISTO1D

