# BEGIN PLOT
Legend=1
LogY=1
Title=$ \ge 1$ btag events
XLabel=Leading bjet $p_{\textrm{T}}$
YLabel=$d\sigma/dp_{\textrm{T}}$
DrawOnly=/ATLAS_2020_I1788444/d03-x01-y01 //ustcfs2/yuyi/private/FT_MCPROD/Vjets_CKKW/Rivet/Zb.yoda.gz/ATLAS_2020_I1788444:LMODE=MU/d03-x01-y01
LegendOnly=/ATLAS_2020_I1788444/d03-x01-y01 //ustcfs2/yuyi/private/FT_MCPROD/Vjets_CKKW/Rivet/Zb.yoda.gz/ATLAS_2020_I1788444:LMODE=MU/d03-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2020_I1788444/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1788444/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1788444/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.400000e+01	4.007520e-01	9.793865e-02	9.793865e-02
2.400000e+01	3.000000e+01	3.220600e-01	5.021578e-02	5.021578e-02
3.000000e+01	3.600000e+01	2.431730e-01	2.899366e-02	2.899366e-02
3.600000e+01	4.300000e+01	1.785320e-01	1.567746e-02	1.567746e-02
4.300000e+01	6.000000e+01	1.113210e-01	1.114423e-02	1.114423e-02
6.000000e+01	8.000000e+01	5.480070e-02	4.466511e-03	4.466511e-03
8.000000e+01	1.000000e+02	2.965960e-02	2.428981e-03	2.428981e-03
1.000000e+02	1.300000e+02	1.430370e-02	1.314621e-03	1.314621e-03
1.300000e+02	1.700000e+02	6.186740e-03	6.364885e-04	6.364885e-04
1.700000e+02	2.300000e+02	2.410000e-03	3.344427e-04	3.344427e-04
2.300000e+02	3.300000e+02	6.907560e-04	1.215458e-04	1.215458e-04
3.300000e+02	5.000000e+02	1.361440e-04	2.835141e-05	2.835141e-05
5.000000e+02	9.000000e+02	1.492880e-05	3.319460e-06	3.319460e-06
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/FT_MCPROD/Vjets_CKKW/Rivet/Zb.yoda.gz/ATLAS_2020_I1788444:LMODE=MU/d03-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ustcfs2/yuyi/private/FT_MCPROD/Vjets_CKKW/Rivet/Zb.yoda.gz/ATLAS_2020_I1788444:LMODE=MU/d03-x01-y01
ScaledBy=1.08705848268743722e-06
Title=CKKW
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.400000e+01	4.901262e-01	1.651304e-02	1.651304e-02
2.400000e+01	3.000000e+01	3.747388e-01	1.210903e-02	1.210903e-02
3.000000e+01	3.600000e+01	3.021568e-01	1.130068e-02	1.130068e-02
3.600000e+01	4.300000e+01	2.012884e-01	8.026910e-03	8.026910e-03
4.300000e+01	6.000000e+01	1.270350e-01	3.713098e-03	3.713098e-03
6.000000e+01	8.000000e+01	6.479845e-02	1.760201e-03	1.760201e-03
8.000000e+01	1.000000e+02	3.243258e-02	5.911939e-04	5.911939e-04
1.000000e+02	1.300000e+02	1.559622e-02	2.426413e-04	2.426413e-04
1.300000e+02	1.700000e+02	6.604747e-03	1.164028e-04	1.164028e-04
1.700000e+02	2.300000e+02	2.294918e-03	4.619187e-05	4.619187e-05
2.300000e+02	3.300000e+02	4.383972e-04	1.266500e-05	1.266500e-05
3.300000e+02	5.000000e+02	3.011245e-05	2.090722e-06	2.090722e-06
5.000000e+02	9.000000e+02	7.677885e-08	7.677883e-08	7.677883e-08
# END HISTO1D

