# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.225
RightMargin=2.5
Title=$c$-jet multiplicity ($p_\mathrm{T} > 25$ GeV)
XLabel=$N_{c\mathrm{-jets}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}N_{c\mathrm{-jets}}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/cjet_mult
LegendOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/cjet_mult //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/cjet_mult
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/cjet_mult
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/cjet_mult
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/cjet_mult
ScaledBy=5.21401125168643785e-06
Title=A600
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	3.926500e+02	1.859757e+00	1.859757e+00
5.000000e-01	1.500000e+00	3.064052e+01	5.194984e-01	5.194984e-01
1.500000e+00	2.500000e+00	4.166416e+00	1.909608e-01	1.909608e-01
2.500000e+00	3.500000e+00	2.170009e-01	4.340017e-02	4.340017e-02
3.500000e+00	4.500000e+00	2.604010e-02	1.503426e-02	1.503426e-02
4.500000e+00	5.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+00	6.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/cjet_mult
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/cjet_mult
ScaledBy=4.00138196213606137e-06
Title=A1000
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	3.572337e+01	1.769847e-01	1.769847e-01
5.000000e-01	1.500000e+00	3.363082e+00	5.451556e-02	5.451556e-02
1.500000e+00	2.500000e+00	4.843705e-01	2.077530e-02	2.077530e-02
2.500000e+00	3.500000e+00	2.667789e-02	4.716030e-03	4.716030e-03
3.500000e+00	4.500000e+00	2.501053e-03	1.443983e-03	1.443983e-03
4.500000e+00	5.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+00	6.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/cjet_mult
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/cjet_mult
ScaledBy=3.22616518003077697e-06
Title=A1500
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	2.414685e+00	1.410981e-02	1.410981e-02
5.000000e-01	1.500000e+00	2.603665e-01	4.612445e-03	4.612445e-03
1.500000e+00	2.500000e+00	4.433196e-02	1.896470e-03	1.896470e-03
2.500000e+00	3.500000e+00	3.013502e-03	4.782379e-04	4.782379e-04
3.500000e+00	4.500000e+00	6.027003e-04	2.009001e-04	2.009001e-04
4.500000e+00	5.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+00	6.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/cjet_mult
ErrorBars=1
LineColor=orange
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/cjet_mult
ScaledBy=2.74469287009081753e-06
Title=A2000
