# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.225
RightMargin=2.5
Title=$c$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{c\mathrm{-jet}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{c\mathrm{-jet}}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/cjet_pt
LegendOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/cjet_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/cjet_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/cjet_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/cjet_pt
ScaledBy=5.21401125168643785e-06
Title=A600
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.162765e+01	2.338777e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.338777e+01	2.529113e+01	8.208673e-02	1.934803e-02	1.934803e-02
2.529113e+01	2.734939e+01	5.819697e-01	4.989824e-02	4.989824e-02
2.734939e+01	2.957515e+01	5.888708e-01	4.823795e-02	4.823795e-02
2.957515e+01	3.198206e+01	5.120943e-01	4.297399e-02	4.297399e-02
3.198206e+01	3.458484e+01	4.001890e-01	3.683527e-02	3.683527e-02
3.458484e+01	3.739945e+01	3.854900e-01	3.447928e-02	3.447928e-02
3.739945e+01	4.044311e+01	3.964060e-01	3.362272e-02	3.362272e-02
4.044311e+01	4.373448e+01	3.217396e-01	2.912894e-02	2.912894e-02
4.373448e+01	4.729371e+01	2.804550e-01	2.637900e-02	2.637900e-02
4.729371e+01	5.114260e+01	2.119892e-01	2.277645e-02	2.277645e-02
5.114260e+01	5.530472e+01	2.210613e-01	2.147137e-02	2.147137e-02
5.530472e+01	5.980556e+01	1.928536e-01	1.947726e-02	1.947726e-02
5.980556e+01	6.467270e+01	1.355380e-01	1.595117e-02	1.595117e-02
6.467270e+01	6.993594e+01	1.269869e-01	1.447150e-02	1.447150e-02
6.993594e+01	7.562751e+01	1.128551e-01	1.329524e-02	1.329524e-02
7.562751e+01	8.178228e+01	1.114132e-01	1.253497e-02	1.253497e-02
8.178228e+01	8.843794e+01	9.259523e-02	1.129434e-02	1.129434e-02
8.843794e+01	9.563525e+01	1.049230e-01	1.124892e-02	1.124892e-02
9.563525e+01	1.034183e+02	8.587412e-02	9.912544e-03	9.912544e-03
1.034183e+02	1.118348e+02	1.031312e-01	1.031312e-02	1.031312e-02
1.118348e+02	1.209362e+02	8.869440e-02	9.392887e-03	9.392887e-03
1.209362e+02	1.307783e+02	9.083869e-02	9.037084e-03	9.037084e-03
1.307783e+02	1.414214e+02	9.623550e-02	8.859196e-03	8.859196e-03
1.414214e+02	1.529306e+02	7.541822e-02	7.616867e-03	7.616867e-03
1.529306e+02	1.653765e+02	6.764985e-02	6.939253e-03	6.939253e-03
1.653765e+02	1.788353e+02	8.319642e-02	7.325039e-03	7.325039e-03
1.788353e+02	1.933894e+02	7.574251e-02	6.721063e-03	6.721063e-03
1.933894e+02	2.091279e+02	7.004251e-02	6.215269e-03	6.215269e-03
2.091279e+02	2.261473e+02	5.763093e-02	5.469229e-03	5.469229e-03
2.261473e+02	2.445518e+02	6.414111e-02	5.540346e-03	5.540346e-03
2.445518e+02	2.644540e+02	5.931430e-02	5.160412e-03	5.160412e-03
2.644540e+02	2.859760e+02	5.928654e-02	4.889872e-03	4.889872e-03
2.859760e+02	3.092495e+02	5.743550e-02	4.628285e-03	4.628285e-03
3.092495e+02	3.344170e+02	5.897630e-02	4.510029e-03	4.510029e-03
3.344170e+02	3.616328e+02	5.007257e-02	4.021601e-03	4.021601e-03
3.616328e+02	3.910634e+02	4.040573e-02	3.452094e-03	3.452094e-03
3.910634e+02	4.228892e+02	3.027367e-02	2.873450e-03	2.873450e-03
4.228892e+02	4.573051e+02	2.446437e-02	2.483980e-03	2.483980e-03
4.573051e+02	4.945218e+02	2.005774e-02	2.212610e-03	2.212610e-03
4.945218e+02	5.347672e+02	1.466608e-02	1.778524e-03	1.778524e-03
5.347672e+02	5.782880e+02	1.037117e-02	1.438223e-03	1.438223e-03
5.782880e+02	6.253506e+02	7.561873e-03	1.209427e-03	1.209427e-03
6.253506e+02	6.762433e+02	4.946112e-03	9.184700e-04	9.184700e-04
6.762433e+02	7.312778e+02	2.050358e-03	5.686671e-04	5.686671e-04
7.312778e+02	7.907911e+02	1.166803e-03	4.125270e-04	4.125270e-04
7.907911e+02	8.551478e+02	1.213864e-03	4.862945e-04	4.862945e-04
8.551478e+02	9.247420e+02	2.494471e-04	1.763857e-04	1.763857e-04
9.247420e+02	1.000000e+03	1.153370e-04	1.153370e-04	1.153370e-04
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/cjet_pt
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/cjet_pt
ScaledBy=4.00138196213606137e-06
Title=A1000
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.162765e+01	2.338777e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.338777e+01	2.529113e+01	8.760129e-03	2.145785e-03	2.145785e-03
2.529113e+01	2.734939e+01	5.913631e-02	5.026453e-03	5.026453e-03
2.734939e+01	2.957515e+01	4.419827e-02	4.137168e-03	4.137168e-03
2.957515e+01	3.198206e+01	4.121817e-02	3.872547e-03	3.872547e-03
3.198206e+01	3.458484e+01	4.067877e-02	3.693941e-03	3.693941e-03
3.458484e+01	3.739945e+01	3.435907e-02	3.298331e-03	3.298331e-03
3.739945e+01	4.044311e+01	2.903430e-02	2.898775e-03	2.898775e-03
4.044311e+01	4.373448e+01	2.836893e-02	2.680612e-03	2.680612e-03
4.373448e+01	4.729371e+01	2.412586e-02	2.400160e-03	2.400160e-03
4.729371e+01	5.114260e+01	2.101057e-02	2.261410e-03	2.261410e-03
5.114260e+01	5.530472e+01	1.582392e-02	1.868300e-03	1.868300e-03
5.530472e+01	5.980556e+01	1.741149e-02	1.814862e-03	1.814862e-03
5.980556e+01	6.467270e+01	1.730012e-02	1.771820e-03	1.771820e-03
6.467270e+01	6.993594e+01	1.172142e-02	1.398929e-03	1.398929e-03
6.993594e+01	7.562751e+01	1.450123e-02	1.486579e-03	1.486579e-03
7.562751e+01	8.178228e+01	9.617188e-03	1.248818e-03	1.248818e-03
8.178228e+01	8.843794e+01	1.077231e-02	1.214435e-03	1.214435e-03
8.843794e+01	9.563525e+01	7.760794e-03	1.016428e-03	1.016428e-03
9.563525e+01	1.034183e+02	8.354998e-03	9.580689e-04	9.580689e-04
1.034183e+02	1.118348e+02	6.438480e-03	8.463139e-04	8.463139e-04
1.118348e+02	1.209362e+02	6.778367e-03	7.879692e-04	7.879692e-04
1.209362e+02	1.307783e+02	6.522356e-03	8.168744e-04	8.168744e-04
1.307783e+02	1.414214e+02	5.953153e-03	6.918003e-04	6.918003e-04
1.414214e+02	1.529306e+02	5.577597e-03	6.356262e-04	6.356262e-04
1.529306e+02	1.653765e+02	6.028618e-03	6.494402e-04	6.494402e-04
1.653765e+02	1.788353e+02	5.822683e-03	6.132087e-04	6.132087e-04
1.788353e+02	1.933894e+02	4.811666e-03	5.494272e-04	5.494272e-04
1.933894e+02	2.091279e+02	4.608478e-03	4.997275e-04	4.997275e-04
2.091279e+02	2.261473e+02	5.780153e-03	5.541946e-04	5.541946e-04
2.261473e+02	2.445518e+02	5.345146e-03	4.920605e-04	4.920605e-04
2.445518e+02	2.644540e+02	4.272683e-03	4.550315e-04	4.550315e-04
2.644540e+02	2.859760e+02	4.183528e-03	4.172035e-04	4.172035e-04
2.859760e+02	3.092495e+02	4.298541e-03	4.084243e-04	4.084243e-04
3.092495e+02	3.344170e+02	5.200691e-03	4.229172e-04	4.229172e-04
3.344170e+02	3.616328e+02	4.962441e-03	4.017397e-04	4.017397e-04
3.616328e+02	3.910634e+02	4.079105e-03	3.515303e-04	3.515303e-04
3.910634e+02	4.228892e+02	4.767531e-03	3.591709e-04	3.591709e-04
4.228892e+02	4.573051e+02	3.924256e-03	3.158398e-04	3.158398e-04
4.573051e+02	4.945218e+02	4.345756e-03	3.215120e-04	3.215120e-04
4.945218e+02	5.347672e+02	3.459409e-03	2.755954e-04	2.755954e-04
5.347672e+02	5.782880e+02	3.428924e-03	2.633513e-04	2.633513e-04
5.782880e+02	6.253506e+02	3.348015e-03	2.511445e-04	2.511445e-04
6.253506e+02	6.762433e+02	2.195083e-03	1.924357e-04	1.924357e-04
6.762433e+02	7.312778e+02	2.332853e-03	1.892034e-04	1.892034e-04
7.312778e+02	7.907911e+02	1.428854e-03	1.495684e-04	1.495684e-04
7.907911e+02	8.551478e+02	1.230641e-03	1.314699e-04	1.314699e-04
8.551478e+02	9.247420e+02	7.307324e-04	9.356070e-05	9.356070e-05
9.247420e+02	1.000000e+03	5.760395e-04	8.289778e-05	8.289778e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/cjet_pt
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/cjet_pt
ScaledBy=3.22616518003077697e-06
Title=A1500
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.162765e+01	2.338777e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.338777e+01	2.529113e+01	7.036682e-04	1.650248e-04	1.650248e-04
2.529113e+01	2.734939e+01	3.643986e-03	3.877063e-04	3.877063e-04
2.734939e+01	2.957515e+01	3.881238e-03	3.721571e-04	3.721571e-04
2.957515e+01	3.198206e+01	3.255254e-03	3.373321e-04	3.373321e-04
3.198206e+01	3.458484e+01	2.650078e-03	2.944809e-04	2.944809e-04
3.458484e+01	3.739945e+01	2.403046e-03	2.529181e-04	2.529181e-04
3.739945e+01	4.044311e+01	2.002185e-03	2.275908e-04	2.275908e-04
4.044311e+01	4.373448e+01	1.709076e-03	2.191347e-04	2.191347e-04
4.373448e+01	4.729371e+01	1.787419e-03	2.000056e-04	2.000056e-04
4.729371e+01	5.114260e+01	1.565907e-03	1.757209e-04	1.757209e-04
5.114260e+01	5.530472e+01	1.238897e-03	1.568217e-04	1.568217e-04
5.530472e+01	5.980556e+01	1.234933e-03	1.465383e-04	1.465383e-04
5.980556e+01	6.467270e+01	1.114474e-03	1.355099e-04	1.355099e-04
6.467270e+01	6.993594e+01	9.288136e-04	1.186767e-04	1.186767e-04
6.993594e+01	7.562751e+01	8.353822e-04	1.097454e-04	1.097454e-04
7.562751e+01	8.178228e+01	8.704364e-04	1.077110e-04	1.077110e-04
8.178228e+01	8.843794e+01	6.841900e-04	9.650764e-05	9.650764e-05
8.843794e+01	9.563525e+01	6.885261e-04	8.924474e-05	8.924474e-05
9.563525e+01	1.034183e+02	5.764795e-04	7.451431e-05	7.451431e-05
1.034183e+02	1.118348e+02	5.728749e-04	7.631700e-05	7.631700e-05
1.118348e+02	1.209362e+02	4.414708e-04	5.977543e-05	5.977543e-05
1.209362e+02	1.307783e+02	5.103081e-04	6.346448e-05	6.346448e-05
1.307783e+02	1.414214e+02	4.026899e-04	5.111669e-05	5.111669e-05
1.414214e+02	1.529306e+02	2.967454e-04	5.039000e-05	5.039000e-05
1.529306e+02	1.653765e+02	3.981661e-04	4.812576e-05	4.812576e-05
1.653765e+02	1.788353e+02	3.731761e-04	4.746498e-05	4.746498e-05
1.788353e+02	1.933894e+02	3.819017e-04	4.437261e-05	4.437261e-05
1.933894e+02	2.091279e+02	2.808274e-04	3.757879e-05	3.757879e-05
2.091279e+02	2.261473e+02	2.714962e-04	3.670069e-05	3.670069e-05
2.261473e+02	2.445518e+02	2.765339e-04	3.527758e-05	3.527758e-05
2.445518e+02	2.644540e+02	2.321704e-04	3.209804e-05	3.209804e-05
2.644540e+02	2.859760e+02	2.489237e-04	2.984490e-05	2.984490e-05
2.859760e+02	3.092495e+02	2.589642e-04	3.017822e-05	3.017822e-05
3.092495e+02	3.344170e+02	2.634232e-04	2.803369e-05	2.803369e-05
3.344170e+02	3.616328e+02	2.583611e-04	2.728917e-05	2.728917e-05
3.616328e+02	3.910634e+02	2.776001e-04	2.768157e-05	2.768157e-05
3.910634e+02	4.228892e+02	2.167289e-04	2.426640e-05	2.426640e-05
4.228892e+02	4.573051e+02	2.510091e-04	2.468952e-05	2.468952e-05
4.573051e+02	4.945218e+02	2.735046e-04	2.427486e-05	2.427486e-05
4.945218e+02	5.347672e+02	2.745534e-04	2.287566e-05	2.287566e-05
5.347672e+02	5.782880e+02	2.492741e-04	2.075858e-05	2.075858e-05
5.782880e+02	6.253506e+02	2.475896e-04	1.992100e-05	1.992100e-05
6.253506e+02	6.762433e+02	2.223771e-04	1.911369e-05	1.911369e-05
6.762433e+02	7.312778e+02	2.251104e-04	1.792478e-05	1.792478e-05
7.312778e+02	7.907911e+02	2.295489e-04	1.743213e-05	1.743213e-05
7.907911e+02	8.551478e+02	1.977054e-04	1.550392e-05	1.550392e-05
8.551478e+02	9.247420e+02	1.722419e-04	1.449769e-05	1.449769e-05
9.247420e+02	1.000000e+03	1.397030e-04	1.236189e-05	1.236189e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/cjet_pt
ErrorBars=1
LineColor=orange
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/cjet_pt
ScaledBy=2.74469287009081753e-06
Title=A2000
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.162765e+01	2.338777e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.338777e+01	2.529113e+01	6.989813e-05	1.911585e-05	1.911585e-05
2.529113e+01	2.734939e+01	2.551490e-04	4.010882e-05	4.010882e-05
2.734939e+01	2.957515e+01	2.768453e-04	3.695677e-05	3.695677e-05
2.957515e+01	3.198206e+01	2.443724e-04	3.291379e-05	3.291379e-05
