# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.225
RightMargin=2.5
Title=Di-jet $\Delta R$
XLabel=$\Delta R_{jj}$
YLabel=$\sigma$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet12_dR
LegendOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=5.21401125168643785e-06
Title=A600
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	2.430410e+00	4.593043e-01	4.593043e-01
5.000000e-01	6.000000e-01	4.079616e+00	5.950732e-01	5.950732e-01
6.000000e-01	7.000000e-01	3.472014e+00	5.489736e-01	5.489736e-01
7.000000e-01	8.000000e-01	5.034420e+00	6.610517e-01	6.610517e-01
8.000000e-01	9.000000e-01	4.166416e+00	6.137711e-01	6.137711e-01
9.000000e-01	1.000000e+00	6.162824e+00	7.313926e-01	7.313926e-01
1.000000e+00	1.100000e+00	6.770427e+00	7.763658e-01	7.763658e-01
1.100000e+00	1.200000e+00	9.461237e+00	9.062222e-01	9.062222e-01
1.200000e+00	1.300000e+00	1.032924e+01	9.468799e-01	9.468799e-01
1.300000e+00	1.400000e+00	1.206525e+01	1.045214e+00	1.045214e+00
1.400000e+00	1.500000e+00	1.987728e+01	1.324950e+00	1.324950e+00
1.500000e+00	1.600000e+00	2.473810e+01	1.470491e+00	1.470491e+00
1.600000e+00	1.700000e+00	3.567494e+01	1.780994e+00	1.780994e+00
1.700000e+00	1.800000e+00	4.591738e+01	2.015189e+00	2.015189e+00
1.800000e+00	1.900000e+00	5.537862e+01	2.199323e+00	2.199323e+00
1.900000e+00	2.000000e+00	7.143668e+01	2.505209e+00	2.505209e+00
2.000000e+00	2.100000e+00	9.348397e+01	2.874913e+00	2.874913e+00
2.100000e+00	2.200000e+00	1.224753e+02	3.283532e+00	3.283532e+00
2.200000e+00	2.300000e+00	1.459982e+02	3.583078e+00	3.583078e+00
2.300000e+00	2.400000e+00	1.829751e+02	4.009762e+00	4.009762e+00
2.400000e+00	2.500000e+00	2.152648e+02	4.346955e+00	4.346955e+00
2.500000e+00	2.600000e+00	2.534570e+02	4.725639e+00	4.725639e+00
2.600000e+00	2.700000e+00	2.874827e+02	5.022433e+00	5.022433e+00
2.700000e+00	2.800000e+00	3.312301e+02	5.391413e+00	5.391413e+00
2.800000e+00	2.900000e+00	3.587458e+02	5.621956e+00	5.621956e+00
2.900000e+00	3.000000e+00	3.879975e+02	5.831795e+00	5.831795e+00
3.000000e+00	3.100000e+00	4.116940e+02	6.015583e+00	6.015583e+00
3.100000e+00	3.200000e+00	3.584854e+02	5.627983e+00	5.627983e+00
3.200000e+00	3.300000e+00	2.150912e+02	4.357342e+00	4.357342e+00
3.300000e+00	3.400000e+00	1.504250e+02	3.642513e+00	3.642513e+00
3.400000e+00	3.500000e+00	1.090212e+02	3.105463e+00	3.105463e+00
3.500000e+00	3.600000e+00	8.133192e+01	2.682397e+00	2.682397e+00
3.600000e+00	3.700000e+00	6.067344e+01	2.343609e+00	2.343609e+00
3.700000e+00	3.800000e+00	4.513618e+01	2.002061e+00	2.002061e+00
3.800000e+00	3.900000e+00	3.715055e+01	1.804111e+00	1.804111e+00
3.900000e+00	4.000000e+00	2.760251e+01	1.562406e+00	1.562406e+00
4.000000e+00	4.100000e+00	1.961688e+01	1.327790e+00	1.327790e+00
4.100000e+00	4.200000e+00	1.579766e+01	1.208989e+00	1.208989e+00
4.200000e+00	4.300000e+00	1.024244e+01	9.508501e-01	9.508501e-01
4.300000e+00	4.400000e+00	9.548038e+00	9.103697e-01	9.103697e-01
4.400000e+00	4.500000e+00	6.336425e+00	7.616699e-01	7.616699e-01
4.500000e+00	4.600000e+00	5.294821e+00	6.889563e-01	6.889563e-01
4.600000e+00	4.700000e+00	2.170009e+00	4.674342e-01	4.674342e-01
4.700000e+00	4.800000e+00	2.343609e+00	4.510278e-01	4.510278e-01
4.800000e+00	4.900000e+00	2.517210e+00	4.674342e-01	4.674342e-01
4.900000e+00	5.000000e+00	1.215205e+00	3.247772e-01	3.247772e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=4.00138196213606137e-06
Title=A1000
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	2.167579e-01	4.411442e-02	4.411442e-02
5.000000e-01	6.000000e-01	2.584421e-01	4.789151e-02	4.789151e-02
6.000000e-01	7.000000e-01	3.334737e-01	5.402891e-02	5.402891e-02
7.000000e-01	8.000000e-01	2.250947e-01	4.641757e-02	4.641757e-02
8.000000e-01	9.000000e-01	3.251368e-01	5.338183e-02	5.338183e-02
9.000000e-01	1.000000e+00	4.335158e-01	6.238721e-02	6.238721e-02
1.000000e+00	1.100000e+00	5.585684e-01	6.925101e-02	6.925101e-02
1.100000e+00	1.200000e+00	6.752842e-01	7.503158e-02	7.503158e-02
1.200000e+00	1.300000e+00	8.670316e-01	8.501944e-02	8.501944e-02
1.300000e+00	1.400000e+00	1.225516e+00	1.051236e-01	1.051236e-01
1.400000e+00	1.500000e+00	1.742400e+00	1.233740e-01	1.233740e-01
1.500000e+00	1.600000e+00	2.426021e+00	1.446388e-01	1.446388e-01
1.600000e+00	1.700000e+00	2.884547e+00	1.586192e-01	1.586192e-01
1.700000e+00	1.800000e+00	3.926653e+00	1.851079e-01	1.851079e-01
1.800000e+00	1.900000e+00	5.493979e+00	2.207296e-01	2.207296e-01
1.900000e+00	2.000000e+00	7.669895e+00	2.577689e-01	2.577689e-01
2.000000e+00	2.100000e+00	9.053811e+00	2.812372e-01	2.812372e-01
2.100000e+00	2.200000e+00	1.203840e+01	3.250300e-01	3.250300e-01
2.200000e+00	2.300000e+00	1.454779e+01	3.539969e-01	3.539969e-01
2.300000e+00	2.400000e+00	1.800758e+01	3.947475e-01	3.947475e-01
2.400000e+00	2.500000e+00	2.185086e+01	4.355152e-01	4.355152e-01
2.500000e+00	2.600000e+00	2.690299e+01	4.834650e-01	4.834650e-01
2.600000e+00	2.700000e+00	2.874543e+01	5.014595e-01	5.014595e-01
2.700000e+00	2.800000e+00	3.185507e+01	5.272022e-01	5.272022e-01
2.800000e+00	2.900000e+00	3.478964e+01	5.510520e-01	5.510520e-01
2.900000e+00	3.000000e+00	3.689886e+01	5.670279e-01	5.670279e-01
3.000000e+00	3.100000e+00	3.774922e+01	5.779542e-01	5.779542e-01
3.100000e+00	3.200000e+00	3.243865e+01	5.331018e-01	5.331018e-01
3.200000e+00	3.300000e+00	1.824935e+01	4.026790e-01	4.026790e-01
3.300000e+00	3.400000e+00	1.183832e+01	3.256708e-01	3.256708e-01
3.400000e+00	3.500000e+00	8.495242e+00	2.756206e-01	2.756206e-01
3.500000e+00	3.600000e+00	6.294316e+00	2.344714e-01	2.344714e-01
3.600000e+00	3.700000e+00	4.368505e+00	2.014689e-01	2.014689e-01
3.700000e+00	3.800000e+00	3.376421e+00	1.746762e-01	1.746762e-01
3.800000e+00	3.900000e+00	2.325979e+00	1.446388e-01	1.446388e-01
3.900000e+00	4.000000e+00	1.809095e+00	1.283441e-01	1.283441e-01
4.000000e+00	4.100000e+00	1.275537e+00	1.115394e-01	1.115394e-01
4.100000e+00	4.200000e+00	8.670316e-01	9.056128e-02	9.056128e-02
4.200000e+00	4.300000e+00	6.752842e-01	8.378423e-02	8.378423e-02
4.300000e+00	4.400000e+00	4.335158e-01	6.238721e-02	6.238721e-02
4.400000e+00	4.500000e+00	3.751579e-01	5.953696e-02	5.953696e-02
4.500000e+00	4.600000e+00	2.334316e-01	4.566276e-02	4.566276e-02
4.600000e+00	4.700000e+00	1.667368e-01	4.716030e-02	4.716030e-02
4.700000e+00	4.800000e+00	1.250526e-01	3.633946e-02	3.633946e-02
4.800000e+00	4.900000e+00	5.002105e-02	2.887967e-02	2.887967e-02
4.900000e+00	5.000000e+00	7.503158e-02	2.765018e-02	2.765018e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=3.22616518003077697e-06
Title=A1500
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
