# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.225
RightMargin=2.5
Title=Di-jet $\Delta\eta$
XLabel=$\Delta\eta_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet12_deta
LegendOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_deta
ScaledBy=5.21401125168643785e-06
Title=A600
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.729003e+02	4.897878e+00	4.897878e+00
1.000000e-01	2.000000e-01	2.662166e+02	4.827379e+00	4.827379e+00
2.000000e-01	3.000000e-01	2.663034e+02	4.825037e+00	4.825037e+00
3.000000e-01	4.000000e-01	2.662166e+02	4.832059e+00	4.832059e+00
4.000000e-01	5.000000e-01	2.535438e+02	4.713666e+00	4.713666e+00
5.000000e-01	6.000000e-01	2.434750e+02	4.623290e+00	4.623290e+00
6.000000e-01	7.000000e-01	2.383537e+02	4.583190e+00	4.583190e+00
7.000000e-01	8.000000e-01	2.255073e+02	4.456502e+00	4.456502e+00
8.000000e-01	9.000000e-01	2.244657e+02	4.451428e+00	4.451428e+00
9.000000e-01	1.000000e+00	2.038072e+02	4.231015e+00	4.231015e+00
1.000000e+00	1.100000e+00	1.887039e+02	4.076844e+00	4.076844e+00
1.100000e+00	1.200000e+00	1.688267e+02	3.865297e+00	3.865297e+00
1.200000e+00	1.300000e+00	1.638790e+02	3.799437e+00	3.799437e+00
1.300000e+00	1.400000e+00	1.525950e+02	3.662110e+00	3.662110e+00
1.400000e+00	1.500000e+00	1.411374e+02	3.521571e+00	3.521571e+00
1.500000e+00	1.600000e+00	1.266417e+02	3.353910e+00	3.353910e+00
1.600000e+00	1.700000e+00	1.173541e+02	3.210439e+00	3.210439e+00
1.700000e+00	1.800000e+00	1.047680e+02	3.045443e+00	3.045443e+00
1.800000e+00	1.900000e+00	8.940435e+01	2.820677e+00	2.820677e+00
1.900000e+00	2.000000e+00	7.976951e+01	2.645631e+00	2.645631e+00
2.000000e+00	2.100000e+00	6.883267e+01	2.474952e+00	2.474952e+00
2.100000e+00	2.200000e+00	6.796467e+01	2.444320e+00	2.444320e+00
2.200000e+00	2.300000e+00	5.806943e+01	2.271782e+00	2.271782e+00
2.300000e+00	2.400000e+00	4.357377e+01	1.967900e+00	1.967900e+00
2.400000e+00	2.500000e+00	3.767135e+01	1.833111e+00	1.833111e+00
2.500000e+00	2.600000e+00	3.845255e+01	1.851515e+00	1.851515e+00
2.600000e+00	2.700000e+00	2.716851e+01	1.550304e+00	1.550304e+00
2.700000e+00	2.800000e+00	2.274169e+01	1.431548e+00	1.431548e+00
2.800000e+00	2.900000e+00	2.057168e+01	1.375176e+00	1.375176e+00
2.900000e+00	3.000000e+00	1.640526e+01	1.205869e+00	1.205869e+00
3.000000e+00	3.100000e+00	1.466926e+01	1.141680e+00	1.141680e+00
3.100000e+00	3.200000e+00	1.102364e+01	1.001030e+00	1.001030e+00
3.200000e+00	3.300000e+00	1.085004e+01	9.781902e-01	9.781902e-01
3.300000e+00	3.400000e+00	8.246032e+00	8.460251e-01	8.460251e-01
3.400000e+00	3.500000e+00	6.076024e+00	7.567078e-01	7.567078e-01
3.500000e+00	3.600000e+00	6.249625e+00	7.567078e-01	7.567078e-01
3.600000e+00	3.700000e+00	4.253217e+00	6.076024e-01	6.076024e-01
3.700000e+00	3.800000e+00	3.211613e+00	5.420680e-01	5.420680e-01
3.800000e+00	3.900000e+00	2.170009e+00	4.340017e-01	4.340017e-01
3.900000e+00	4.000000e+00	1.909608e+00	4.252331e-01	4.252331e-01
4.000000e+00	4.100000e+00	1.649206e+00	3.783539e-01	3.783539e-01
4.100000e+00	4.200000e+00	1.649206e+00	3.783539e-01	3.783539e-01
4.200000e+00	4.300000e+00	8.680034e-01	2.744868e-01	2.744868e-01
