# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.225
RightMargin=2.5
Title=Di-jet $\Delta\phi$
XLabel=$\Delta\phi_{jj}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{jj}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet12_dphi
LegendOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_dphi
ScaledBy=5.21401125168643785e-06
Title=A600
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	3.315529e+00	6.767796e-01	6.767796e-01
6.283185e-02	1.256637e-01	3.868118e+00	7.310055e-01	7.310055e-01
1.256637e-01	1.884956e-01	4.696996e+00	8.288816e-01	8.288816e-01
1.884956e-01	2.513274e-01	6.354769e+00	9.369596e-01	9.369596e-01
2.513274e-01	3.141593e-01	5.525878e+00	8.952945e-01	8.952945e-01
3.141593e-01	3.769911e-01	5.802180e+00	8.952959e-01	8.952959e-01
3.769911e-01	4.398230e-01	6.769200e+00	9.865665e-01	9.865665e-01
4.398230e-01	5.026548e-01	7.183652e+00	9.961933e-01	9.961933e-01
5.026548e-01	5.654867e-01	7.736228e+00	1.070082e+00	1.070082e+00
5.654867e-01	6.283185e-01	5.940328e+00	9.267193e-01	9.267193e-01
6.283185e-01	6.911504e-01	8.565109e+00	1.087770e+00	1.087770e+00
6.911504e-01	7.539822e-01	9.532154e+00	1.147536e+00	1.147536e+00
7.539822e-01	8.168141e-01	8.012522e+00	1.070082e+00	1.070082e+00
8.168141e-01	8.796459e-01	1.091362e+01	1.227879e+00	1.227879e+00
8.796459e-01	9.424778e-01	1.215693e+01	1.295933e+00	1.295933e+00
9.424778e-01	1.005310e+00	1.257131e+01	1.332234e+00	1.332234e+00
1.005310e+00	1.068142e+00	1.491984e+01	1.448895e+00	1.448895e+00
1.068142e+00	1.130973e+00	1.726861e+01	1.569070e+00	1.569070e+00
1.130973e+00	1.193805e+00	1.837352e+01	1.616966e+00	1.616966e+00
1.193805e+00	1.256637e+00	2.141274e+01	1.730973e+00	1.730973e+00
1.256637e+00	1.319469e+00	2.624787e+01	1.934054e+00	1.934054e+00
1.319469e+00	1.382301e+00	2.942525e+01	2.053698e+00	2.053698e+00
1.382301e+00	1.445133e+00	3.453669e+01	2.184291e+00	2.184291e+00
1.445133e+00	1.507964e+00	4.116837e+01	2.408709e+00	2.408709e+00
1.507964e+00	1.570796e+00	4.724618e+01	2.584488e+00	2.584488e+00
1.570796e+00	1.633628e+00	4.876579e+01	2.610205e+00	2.610205e+00
1.633628e+00	1.696460e+00	6.603412e+01	3.039228e+00	3.039228e+00
1.696460e+00	1.759292e+00	7.017852e+01	3.162323e+00	3.162323e+00
1.759292e+00	1.822124e+00	8.592725e+01	3.461947e+00	3.461947e+00
1.822124e+00	1.884956e+00	9.822231e+01	3.719714e+00	3.719714e+00
1.884956e+00	1.947787e+00	1.131440e+02	3.963213e+00	3.963213e+00
1.947787e+00	2.010619e+00	1.305486e+02	4.287002e+00	4.287002e+00
2.010619e+00	2.073451e+00	1.413241e+02	4.474333e+00	4.474333e+00
2.073451e+00	2.136283e+00	1.704730e+02	4.876403e+00	4.876403e+00
2.136283e+00	2.199115e+00	1.903662e+02	5.168977e+00	5.168977e+00
2.199115e+00	2.261947e+00	2.051479e+02	5.373533e+00	5.373533e+00
2.261947e+00	2.324779e+00	2.325010e+02	5.687553e+00	5.687553e+00
2.324779e+00	2.387610e+00	2.724297e+02	6.165837e+00	6.165837e+00
2.387610e+00	2.450442e+00	2.706295e+02	6.148693e+00	6.148693e+00
2.450442e+00	2.513274e+00	2.880359e+02	6.365252e+00	6.365252e+00
2.513274e+00	2.576106e+00	3.327954e+02	6.830932e+00	6.830932e+00
2.576106e+00	2.638938e+00	3.479916e+02	6.977435e+00	6.977435e+00
2.638938e+00	2.701770e+00	3.678847e+02	7.161011e+00	7.161011e+00
2.701770e+00	2.764602e+00	3.968955e+02	7.463759e+00	7.463759e+00
