# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.225
RightMargin=2.5
Title=Di-jet invariant mass
XLabel=$m_{jj}$ [GeV]
YLabel=$\sigma$ [pb]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet12_m
LegendOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet12_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=5.21401125168643785e-06
Title=A600
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	4.068782e-03	2.877063e-03	2.877063e-03
5.426665e+01	5.889739e+01	7.497752e-03	3.748876e-03	3.748876e-03
5.889739e+01	6.392328e+01	3.454129e-03	2.442438e-03	2.442438e-03
6.392328e+01	6.937805e+01	4.773822e-03	2.756168e-03	2.756168e-03
6.937805e+01	7.529829e+01	1.026314e-02	3.879101e-03	3.879101e-03
7.529829e+01	8.172373e+01	5.403543e-03	2.701771e-03	2.701771e-03
8.172373e+01	8.869746e+01	1.867014e-02	4.820610e-03	4.820610e-03
8.869746e+01	9.626628e+01	2.064266e-02	4.865523e-03	4.865523e-03
9.626628e+01	1.044810e+02	8.453151e-03	2.988640e-03	2.988640e-03
1.044810e+02	1.133967e+02	1.655065e-02	4.014121e-03	4.014121e-03
1.133967e+02	1.230731e+02	1.614656e-02	4.011646e-03	4.011646e-03
1.230731e+02	1.335753e+02	1.487694e-02	3.506529e-03	3.506529e-03
1.335753e+02	1.449737e+02	2.817600e-02	4.632105e-03	4.632105e-03
1.449737e+02	1.573448e+02	2.034750e-02	3.778437e-03	3.778437e-03
1.573448e+02	1.707715e+02	2.521255e-02	4.037239e-03	4.037239e-03
1.707715e+02	1.853439e+02	3.037809e-02	4.253784e-03	4.253784e-03
1.853439e+02	2.011599e+02	3.841694e-02	4.591703e-03	4.591703e-03
2.011599e+02	2.183255e+02	4.095882e-02	4.550980e-03	4.550980e-03
2.183255e+02	2.369559e+02	4.472708e-02	4.564938e-03	4.564938e-03
2.369559e+02	2.571760e+02	5.537678e-02	4.950670e-03	4.950670e-03
2.571760e+02	2.791217e+02	6.367922e-02	5.080587e-03	5.080587e-03
2.791217e+02	3.029400e+02	8.126726e-02	5.490648e-03	5.490648e-03
3.029400e+02	3.287907e+02	1.044262e-01	5.959425e-03	5.959425e-03
3.287907e+02	3.568475e+02	1.475712e-01	6.785094e-03	6.785094e-03
3.568475e+02	3.872983e+02	1.932646e-01	7.444146e-03	7.444146e-03
3.872983e+02	4.203477e+02	2.681536e-01	8.424915e-03	8.424915e-03
4.203477e+02	4.562172e+02	3.518524e-01	9.259053e-03	9.259053e-03
4.562172e+02	4.951476e+02	4.778094e-01	1.034557e-02	1.034557e-02
4.951476e+02	5.374001e+02	6.372515e-01	1.150055e-02	1.150055e-02
5.374001e+02	5.832581e+02	7.609085e-01	1.211101e-02	1.211101e-02
5.832581e+02	6.330293e+02	6.770158e-01	1.094135e-02	1.094135e-02
6.330293e+02	6.870476e+02	5.688317e-01	9.595579e-03	9.595579e-03
6.870476e+02	7.456754e+02	5.415786e-01	9.005726e-03	9.005726e-03
7.456754e+02	8.093062e+02	5.026800e-01	8.341262e-03	8.341262e-03
8.093062e+02	8.783667e+02	4.613985e-01	7.681341e-03	7.681341e-03
8.783667e+02	9.533204e+02	3.939696e-01	6.788204e-03	6.788204e-03
9.533204e+02	1.034670e+03	3.250093e-01	5.921631e-03	5.921631e-03
1.034670e+03	1.122962e+03	2.642587e-01	5.131019e-03	5.131019e-03
1.122962e+03	1.218787e+03	1.915812e-01	4.205002e-03	4.205002e-03
1.218787e+03	1.322790e+03	1.355382e-01	3.398348e-03	3.398348e-03
1.322790e+03	1.435668e+03	9.366112e-02	2.718737e-03	2.718737e-03
1.435668e+03	1.558178e+03	6.348307e-02	2.149037e-03	2.149037e-03
1.558178e+03	1.691142e+03	3.929922e-02	1.641141e-03	1.641141e-03
1.691142e+03	1.835452e+03	2.291659e-02	1.183261e-03	1.183261e-03
1.835452e+03	1.992077e+03	1.330061e-02	8.970382e-04	8.970382e-04
1.992077e+03	2.162067e+03	7.352933e-03	6.169849e-04	6.169849e-04
2.162067e+03	2.346563e+03	3.763782e-03	4.609673e-04	4.609673e-04
2.346563e+03	2.546802e+03	1.994025e-03	3.125896e-04	3.125896e-04
2.546802e+03	2.764129e+03	1.078379e-03	2.075342e-04	2.075342e-04
2.764129e+03	3.000000e+03	3.679992e-04	1.471997e-04	1.471997e-04
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=4.00138196213606137e-06
Title=A1000
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.426665e+01	5.889739e+01	3.600651e-04	2.546046e-04	2.546046e-04
5.889739e+01	6.392328e+01	4.976339e-04	2.873090e-04	2.873090e-04
6.392328e+01	6.937805e+01	1.528358e-04	1.528358e-04	1.528358e-04
6.937805e+01	7.529829e+01	5.632773e-04	2.816386e-04	2.816386e-04
7.529829e+01	8.172373e+01	1.297474e-03	4.102974e-04	4.102974e-04
8.172373e+01	8.869746e+01	1.315010e-03	3.964905e-04	3.964905e-04
8.869746e+01	9.626628e+01	1.101472e-03	3.483160e-04	3.483160e-04
9.626628e+01	1.044810e+02	1.217839e-03	3.515600e-04	3.515600e-04
1.044810e+02	1.133967e+02	1.589626e-03	3.855410e-04	3.855410e-04
1.133967e+02	1.230731e+02	8.615644e-04	2.984547e-04	2.984547e-04
1.230731e+02	1.335753e+02	7.144368e-04	2.381456e-04	2.381456e-04
1.335753e+02	1.449737e+02	4.388427e-04	1.791568e-04	1.791568e-04
1.449737e+02	1.573448e+02	6.738966e-04	2.334446e-04	2.334446e-04
1.573448e+02	1.707715e+02	6.209152e-04	1.963506e-04	1.963506e-04
1.707715e+02	1.853439e+02	9.153571e-04	2.427207e-04	2.427207e-04
1.853439e+02	2.011599e+02	1.581344e-03	2.887125e-04	2.887125e-04
2.011599e+02	2.183255e+02	9.713427e-04	2.278001e-04	2.278001e-04
2.183255e+02	2.369559e+02	1.834692e-03	2.865308e-04	2.865308e-04
2.369559e+02	2.571760e+02	1.071992e-03	2.258286e-04	2.258286e-04
2.571760e+02	2.791217e+02	1.367586e-03	2.279310e-04	2.279310e-04
2.791217e+02	3.029400e+02	1.295068e-03	2.129079e-04	2.129079e-04
3.029400e+02	3.287907e+02	1.386749e-03	2.163393e-04	2.163393e-04
3.287907e+02	3.568475e+02	1.545136e-03	2.142719e-04	2.142719e-04
3.568475e+02	3.872983e+02	1.615306e-03	2.102950e-04	2.102950e-04
3.872983e+02	4.203477e+02	2.648667e-03	2.609335e-04	2.609335e-04
4.203477e+02	4.562172e+02	3.207416e-03	2.750048e-04	2.750048e-04
4.562172e+02	4.951476e+02	3.533431e-03	2.783916e-04	2.783916e-04
4.951476e+02	5.374001e+02	4.991944e-03	3.175404e-04	3.175404e-04
5.374001e+02	5.832581e+02	6.453790e-03	3.482728e-04	3.482728e-04
5.832581e+02	6.330293e+02	8.458918e-03	3.859853e-04	3.859853e-04
6.330293e+02	6.870476e+02	1.245473e-02	4.491614e-04	4.491614e-04
6.870476e+02	7.456754e+02	1.800245e-02	5.134957e-04	5.134957e-04
7.456754e+02	8.093062e+02	2.307244e-02	5.615505e-04	5.615505e-04
8.093062e+02	8.783667e+02	3.319744e-02	6.433258e-04	6.433258e-04
8.783667e+02	9.533204e+02	4.518022e-02	7.232292e-04	7.232292e-04
9.533204e+02	1.034670e+03	4.822787e-02	7.159061e-04	7.159061e-04
1.034670e+03	1.122962e+03	3.640027e-02	5.981565e-04	5.981565e-04
1.122962e+03	1.218787e+03	3.379977e-02	5.544204e-04	5.544204e-04
1.218787e+03	1.322790e+03	3.190353e-02	5.150217e-04	5.150217e-04
1.322790e+03	1.435668e+03	2.894460e-02	4.737805e-04	4.737805e-04
1.435668e+03	1.558178e+03	2.444367e-02	4.171655e-04	4.171655e-04
1.558178e+03	1.691142e+03	1.969407e-02	3.619805e-04	3.619805e-04
1.691142e+03	1.835452e+03	1.414797e-02	2.955337e-04	2.955337e-04
1.835452e+03	1.992077e+03	1.005477e-02	2.397627e-04	2.397627e-04
1.992077e+03	2.162067e+03	6.257903e-03	1.829776e-04	1.829776e-04
2.162067e+03	2.346563e+03	4.044247e-03	1.423932e-04	1.423932e-04
2.346563e+03	2.546802e+03	2.369001e-03	1.070419e-04	1.070419e-04
2.546802e+03	2.764129e+03	1.204530e-03	7.458196e-05	7.458196e-05
2.764129e+03	3.000000e+03	5.655189e-04	5.097517e-05	5.097517e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=3.22616518003077697e-06
Title=A1500
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	6.278153e-05	3.139077e-05	3.139077e-05
5.426665e+01	5.889739e+01	4.338402e-05	2.504778e-05	2.504778e-05
5.889739e+01	6.392328e+01	1.199191e-04	3.997304e-05	3.997304e-05
6.392328e+01	6.937805e+01	1.227672e-04	3.882241e-05	3.882241e-05
6.937805e+01	7.529829e+01	2.149181e-04	4.930562e-05	4.930562e-05
7.529829e+01	8.172373e+01	1.563319e-04	4.036470e-05	4.036470e-05
8.172373e+01	8.869746e+01	1.344379e-04	3.593005e-05	3.593005e-05
8.869746e+01	9.626628e+01	1.592588e-04	3.753764e-05	3.753764e-05
9.626628e+01	1.044810e+02	2.201050e-04	4.235923e-05	4.235923e-05
1.044810e+02	1.133967e+02	1.877775e-04	3.755550e-05	3.755550e-05
1.133967e+02	1.230731e+02	1.868568e-04	3.596061e-05	3.596061e-05
1.230731e+02	1.335753e+02	2.295520e-04	3.825867e-05	3.825867e-05
1.335753e+02	1.449737e+02	1.703778e-04	3.163836e-05	3.163836e-05
1.449737e+02	1.573448e+02	1.245026e-04	2.596059e-05	2.596059e-05
1.573448e+02	1.707715e+02	1.745652e-04	2.950691e-05	2.950691e-05
1.707715e+02	1.853439e+02	1.562452e-04	2.679583e-05	2.679583e-05
1.853439e+02	2.011599e+02	8.468222e-05	1.893552e-05	1.893552e-05
2.011599e+02	2.183255e+02	1.092340e-04	2.064329e-05	2.064329e-05
2.183255e+02	2.369559e+02	1.114291e-04	2.064875e-05	2.064875e-05
2.369559e+02	2.571760e+02	6.292585e-05	1.443618e-05	1.443618e-05
2.571760e+02	2.791217e+02	9.459566e-05	1.698988e-05	1.698988e-05
2.791217e+02	3.029400e+02	1.124626e-04	1.778190e-05	1.778190e-05
3.029400e+02	3.287907e+02	8.807761e-05	1.596903e-05	1.596903e-05
