# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.225
RightMargin=2.5
Title=Jet $\eta$ distribution
XLabel=$\eta^\mathrm{jet}$
YLabel=$\sigma$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet_eta
LegendOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_eta
ScaledBy=5.21401125168643785e-06
Title=A600
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	1.015564e+02	3.049152e+00	3.049152e+00
-2.400000e+00	-2.300000e+00	1.289853e+02	3.401864e+00	3.401864e+00
-2.300000e+00	-2.200000e+00	1.476474e+02	3.656963e+00	3.656963e+00
-2.200000e+00	-2.100000e+00	1.702155e+02	3.915648e+00	3.915648e+00
-2.100000e+00	-2.000000e+00	2.100568e+02	4.343488e+00	4.343488e+00
-2.000000e+00	-1.900000e+00	2.389613e+02	4.611868e+00	4.611868e+00
-1.900000e+00	-1.800000e+00	2.738551e+02	4.943049e+00	4.943049e+00
-1.800000e+00	-1.700000e+00	3.126548e+02	5.281286e+00	5.281286e+00
-1.700000e+00	-1.600000e+00	3.653426e+02	5.701798e+00	5.701798e+00
-1.600000e+00	-1.500000e+00	4.125620e+02	6.039333e+00	6.039333e+00
-1.500000e+00	-1.400000e+00	4.645554e+02	6.415009e+00	6.415009e+00
-1.400000e+00	-1.300000e+00	5.037892e+02	6.659346e+00	6.659346e+00
-1.300000e+00	-1.200000e+00	5.583866e+02	7.024395e+00	7.024395e+00
-1.200000e+00	-1.100000e+00	6.214904e+02	7.398934e+00	7.398934e+00
-1.100000e+00	-1.000000e+00	6.762615e+02	7.721328e+00	7.721328e+00
-1.000000e+00	-9.000000e-01	7.111552e+02	7.895015e+00	7.895015e+00
-9.000000e-01	-8.000000e-01	7.649714e+02	8.179982e+00	8.179982e+00
-8.000000e-01	-7.000000e-01	8.097604e+02	8.418738e+00	8.418738e+00
-7.000000e-01	-6.000000e-01	8.343249e+02	8.550605e+00	8.550605e+00
-6.000000e-01	-5.000000e-01	8.909187e+02	8.837452e+00	8.837452e+00
-5.000000e-01	-4.000000e-01	9.025499e+02	8.884217e+00	8.884217e+00
-4.000000e-01	-3.000000e-01	9.188684e+02	8.959376e+00	8.959376e+00
-3.000000e-01	-2.000000e-01	9.373569e+02	9.060975e+00	9.060975e+00
-2.000000e-01	-1.000000e-01	9.690390e+02	9.215564e+00	9.215564e+00
-1.000000e-01	0.000000e+00	9.584494e+02	9.160623e+00	9.160623e+00
0.000000e+00	1.000000e-01	9.732922e+02	9.229044e+00	9.229044e+00
1.000000e-01	2.000000e-01	9.649594e+02	9.186495e+00	9.186495e+00
2.000000e-01	3.000000e-01	9.570606e+02	9.155687e+00	9.155687e+00
3.000000e-01	4.000000e-01	9.209516e+02	8.982892e+00	8.982892e+00
4.000000e-01	5.000000e-01	9.041124e+02	8.900316e+00	8.900316e+00
5.000000e-01	6.000000e-01	8.691318e+02	8.727212e+00	8.727212e+00
6.000000e-01	7.000000e-01	8.380573e+02	8.579194e+00	8.579194e+00
7.000000e-01	8.000000e-01	8.130588e+02	8.438404e+00	8.438404e+00
8.000000e-01	9.000000e-01	7.631486e+02	8.190568e+00	8.190568e+00
9.000000e-01	1.000000e+00	7.209636e+02	7.953489e+00	7.953489e+00
1.000000e+00	1.100000e+00	6.528254e+02	7.584482e+00	7.584482e+00
1.100000e+00	1.200000e+00	6.268721e+02	7.420287e+00	7.420287e+00
1.200000e+00	1.300000e+00	5.728823e+02	7.110214e+00	7.110214e+00
1.300000e+00	1.400000e+00	5.013588e+02	6.668390e+00	6.668390e+00
1.400000e+00	1.500000e+00	4.693294e+02	6.461234e+00	6.461234e+00
