# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.225
RightMargin=2.5
Title=Jet multiplicity ($p_\mathrm{T} > 25$ GeV)
XLabel=$N_\mathrm{jets}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}N_\mathrm{jets}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet_mult
LegendOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet_mult
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_mult
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_mult
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_mult
ScaledBy=5.21401125168643785e-06
Title=A600
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	2.864411e-01	4.986300e-02	4.986300e-02
5.000000e-01	1.500000e+00	2.517210e-01	4.674342e-02	4.674342e-02
1.500000e+00	2.500000e+00	5.728823e-01	7.051693e-02	7.051693e-02
2.500000e+00	3.500000e+00	4.461538e+00	1.979352e-01	1.979352e-01
3.500000e+00	4.500000e+00	3.425141e+01	5.497964e-01	5.497964e-01
4.500000e+00	5.500000e+00	7.818975e+01	8.285682e-01	8.285682e-01
5.500000e+00	6.500000e+00	9.806703e+01	9.287231e-01	9.287231e-01
6.500000e+00	7.500000e+00	8.640974e+01	8.721167e-01	8.721167e-01
7.500000e+00	8.500000e+00	6.003112e+01	7.277783e-01	7.277783e-01
8.500000e+00	9.500000e+00	3.383477e+01	5.467733e-01	5.467733e-01
9.500000e+00	1.050000e+01	1.698683e+01	3.876974e-01	3.876974e-01
1.050000e+01	1.150000e+01	8.185272e+00	2.688009e-01	2.688009e-01
1.150000e+01	1.250000e+01	3.454654e+00	1.753281e-01	1.753281e-01
1.250000e+01	1.350000e+01	1.536366e+00	1.174213e-01	1.174213e-01
1.350000e+01	1.450000e+01	7.117628e-01	7.955382e-02	7.955382e-02
1.450000e+01	1.550000e+01	2.517210e-01	4.832839e-02	4.832839e-02
1.550000e+01	1.650000e+01	1.562406e-01	3.682627e-02	3.682627e-02
1.650000e+01	1.750000e+01	2.604010e-02	1.940915e-02	1.940915e-02
1.750000e+01	1.850000e+01	2.604010e-02	1.503426e-02	1.503426e-02
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+01	2.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.050000e+01	2.150000e+01	8.680034e-03	8.680034e-03	8.680034e-03
2.150000e+01	2.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+01	2.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+01	2.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet_mult
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet_mult
ScaledBy=4.00138196213606137e-06
Title=A1000
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	4.835368e-02	6.349150e-03	6.349150e-03
5.000000e-01	1.500000e+00	1.917474e-02	3.998210e-03	3.998210e-03
1.500000e+00	2.500000e+00	6.169263e-02	7.171623e-03	7.171623e-03
2.500000e+00	3.500000e+00	2.551074e-01	1.467853e-02	1.467853e-02
3.500000e+00	4.500000e+00	2.060867e+00	4.229664e-02	4.229664e-02
4.500000e+00	5.500000e+00	5.329743e+00	6.812276e-02	6.812276e-02
5.500000e+00	6.500000e+00	7.428126e+00	8.070821e-02	8.070821e-02
6.500000e+00	7.500000e+00	7.656556e+00	8.207451e-02	8.207451e-02
7.500000e+00	8.500000e+00	6.305154e+00	7.414167e-02	7.414167e-02
8.500000e+00	9.500000e+00	4.334324e+00	6.179956e-02	6.179956e-02
9.500000e+00	1.050000e+01	2.804514e+00	4.986798e-02	4.986798e-02
1.050000e+01	1.150000e+01	1.589002e+00	3.750652e-02	3.750652e-02
1.150000e+01	1.250000e+01	8.653642e-01	2.752421e-02	2.752421e-02
