# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.225
RightMargin=2.5
Title=Jet $\phi$ distribution
XLabel=$\phi^\mathrm{jet}$ [rad]
YLabel=$\sigma$ [pb]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet_phi
LegendOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/jet_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/jet_phi
ScaledBy=5.21401125168643785e-06
Title=A600
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.890265e+00	-2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.764602e+00	-2.638938e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.638938e+00	-2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e+00	-2.387610e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.387610e+00	-2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.261947e+00	-2.136283e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.136283e+00	-2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.010619e+00	-1.884956e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.884956e+00	-1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.759292e+00	-1.633628e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.633628e+00	-1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.507964e+00	-1.382301e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.382301e+00	-1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e+00	-1.130973e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.130973e+00	-1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.005310e+00	-8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.796459e-01	-7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.539822e-01	-6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.283185e-01	-5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.026548e-01	-3.769911e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.769911e-01	-2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e-01	-1.256637e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e-01	4.440892e-16	0.000000e+00	0.000000e+00	0.000000e+00
4.440892e-16	1.256637e-01	4.632070e+02	5.692597e+00	5.692597e+00
1.256637e-01	2.513274e-01	4.541584e+02	5.639124e+00	5.639124e+00
2.513274e-01	3.769911e-01	4.536748e+02	5.630233e+00	5.630233e+00
3.769911e-01	5.026548e-01	4.444881e+02	5.591543e+00	5.591543e+00
5.026548e-01	6.283185e-01	4.625163e+02	5.703482e+00	5.703482e+00
6.283185e-01	7.539822e-01	4.484253e+02	5.604754e+00	5.604754e+00
7.539822e-01	8.796459e-01	4.423468e+02	5.567172e+00	5.567172e+00
8.796459e-01	1.005310e+00	4.551239e+02	5.652627e+00	5.652627e+00
1.005310e+00	1.130973e+00	4.536083e+02	5.635770e+00	5.635770e+00
1.130973e+00	1.256637e+00	4.567131e+02	5.660644e+00	5.660644e+00
1.256637e+00	1.382301e+00	4.592688e+02	5.671171e+00	5.671171e+00
1.382301e+00	1.507964e+00	4.480824e+02	5.608614e+00	5.608614e+00
1.507964e+00	1.633628e+00	4.543645e+02	5.647987e+00	5.647987e+00
1.633628e+00	1.759292e+00	4.544336e+02	5.642494e+00	5.642494e+00
1.759292e+00	1.884956e+00	4.556078e+02	5.653898e+00	5.653898e+00
