# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.225
RightMargin=2.5
Title=Missing transverse energy
XLabel=$E_\mathrm{T}^\mathrm{miss}$ [GeV]
YLabel=$\sigma$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/met
LegendOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/met
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/met
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/met
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/met
ScaledBy=5.21401125168643785e-06
Title=A600
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	2.709038e+01	2.186059e-01	2.186059e-01
5.000000e+00	1.000000e+01	2.657652e+01	2.165699e-01	2.165699e-01
1.000000e+01	1.500000e+01	1.258258e+01	1.487100e-01	1.487100e-01
1.500000e+01	2.000000e+01	5.345164e+00	9.676584e-02	9.676584e-02
2.000000e+01	2.500000e+01	2.418258e+00	6.511762e-02	6.511762e-02
2.500000e+01	3.000000e+01	1.694343e+00	5.434561e-02	5.434561e-02
3.000000e+01	3.500000e+01	1.270757e+00	4.728826e-02	4.728826e-02
3.500000e+01	4.000000e+01	1.043340e+00	4.270012e-02	4.270012e-02
4.000000e+01	4.500000e+01	8.975156e-01	3.962509e-02	3.962509e-02
4.500000e+01	5.000000e+01	7.690510e-01	3.670331e-02	3.670331e-02
5.000000e+01	5.500000e+01	7.030828e-01	3.510856e-02	3.510856e-02
5.500000e+01	6.000000e+01	5.503142e-01	3.139246e-02	3.139246e-02
6.000000e+01	6.500000e+01	5.103860e-01	2.986739e-02	2.986739e-02
6.500000e+01	7.000000e+01	4.669858e-01	2.868354e-02	2.868354e-02
7.000000e+01	7.500000e+01	4.183776e-01	2.728349e-02	2.728349e-02
7.500000e+01	8.000000e+01	3.194252e-01	2.380292e-02	2.380292e-02
8.000000e+01	8.500000e+01	3.246332e-01	2.399209e-02	2.399209e-02
8.500000e+01	9.000000e+01	2.274168e-01	2.002061e-02	2.002061e-02
9.000000e+01	9.500000e+01	2.204728e-01	1.971725e-02	1.971725e-02
9.500000e+01	1.000000e+02	2.222088e-01	1.994520e-02	1.994520e-02
1.000000e+02	1.050000e+02	1.840167e-01	1.804111e-02	1.804111e-02
1.050000e+02	1.100000e+02	1.683927e-01	1.727305e-02	1.727305e-02
1.100000e+02	1.150000e+02	1.701287e-01	1.770387e-02	1.770387e-02
1.150000e+02	1.200000e+02	1.527686e-01	1.628519e-02	1.628519e-02
1.200000e+02	1.250000e+02	1.093684e-01	1.377913e-02	1.377913e-02
1.250000e+02	1.300000e+02	1.197845e-01	1.462785e-02	1.462785e-02
1.300000e+02	1.350000e+02	1.232565e-01	1.483245e-02	1.483245e-02
1.350000e+02	1.400000e+02	8.159232e-02	1.215205e-02	1.215205e-02
1.400000e+02	1.450000e+02	8.680034e-02	1.251852e-02	1.251852e-02
1.450000e+02	1.500000e+02	6.423226e-02	1.055972e-02	1.055972e-02
1.500000e+02	1.550000e+02	6.770426e-02	1.084136e-02	1.084136e-02
1.550000e+02	1.600000e+02	4.860820e-02	9.186085e-03	9.186085e-03
1.600000e+02	1.650000e+02	4.687218e-02	9.020557e-03	9.020557e-03
1.650000e+02	1.700000e+02	5.381622e-02	9.665677e-03	9.665677e-03
1.700000e+02	1.750000e+02	3.472014e-02	7.763659e-03	7.763659e-03
1.750000e+02	1.800000e+02	4.860820e-02	9.186085e-03	9.186085e-03
1.800000e+02	1.850000e+02	3.124812e-02	7.365254e-03	7.365254e-03
1.850000e+02	1.900000e+02	3.124812e-02	7.365254e-03	7.365254e-03
