# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.225
RightMargin=2.5
Title=MET $\phi$ distribution
XLabel=$\phi^\mathrm{miss}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi^\mathrm{miss}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/met_phi
LegendOnly=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/A1000.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/A1500.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/A2000.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/A2600.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/C600.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/C1000.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/C1500.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/C2000.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/C2600.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/D600.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/D1000.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/D1500.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/D2000.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/D2600.yoda.gz/JetMETAnalysis/met_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/met_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/met_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/A600.yoda.gz/JetMETAnalysis/met_phi
ScaledBy=5.21401125168643785e-06
Title=A600
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.890265e+00	-2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.764602e+00	-2.638938e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.638938e+00	-2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e+00	-2.387610e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.387610e+00	-2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.261947e+00	-2.136283e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.136283e+00	-2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.010619e+00	-1.884956e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.884956e+00	-1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.759292e+00	-1.633628e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.633628e+00	-1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.507964e+00	-1.382301e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.382301e+00	-1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e+00	-1.130973e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.130973e+00	-1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.005310e+00	-8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.796459e-01	-7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.539822e-01	-6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.283185e-01	-5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.026548e-01	-3.769911e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.769911e-01	-2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e-01	-1.256637e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e-01	4.440892e-16	0.000000e+00	0.000000e+00	0.000000e+00
4.440892e-16	1.256637e-01	6.872815e+01	2.200618e+00	2.200618e+00
1.256637e-01	2.513274e-01	6.962611e+01	2.203868e+00	2.203868e+00
2.513274e-01	3.769911e-01	6.486004e+01	2.139050e+00	2.139050e+00
3.769911e-01	5.026548e-01	7.190553e+01	2.241433e+00	2.241433e+00
5.026548e-01	6.283185e-01	6.934981e+01	2.212510e+00	2.212510e+00
6.283185e-01	7.539822e-01	6.672502e+01	2.160136e+00	2.160136e+00
7.539822e-01	8.796459e-01	7.231998e+01	2.256284e+00	2.256284e+00
8.796459e-01	1.005310e+00	6.803720e+01	2.191921e+00	2.191921e+00
1.005310e+00	1.130973e+00	6.990280e+01	2.212522e+00	2.212522e+00
1.130973e+00	1.256637e+00	6.831355e+01	2.194099e+00	2.194099e+00
1.256637e+00	1.382301e+00	6.796819e+01	2.182106e+00	2.182106e+00
1.382301e+00	1.507964e+00	6.969557e+01	2.209285e+00	2.209285e+00
1.507964e+00	1.633628e+00	6.713930e+01	2.164543e+00	2.164543e+00
1.633628e+00	1.759292e+00	6.741559e+01	2.171146e+00	2.171146e+00
1.759292e+00	1.884956e+00	6.769188e+01	2.177728e+00	2.177728e+00
