# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta R$
XLabel=$\Delta R_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bb_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bb_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=1.84649615786480238e-05
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	3.453453e-02	3.453453e-02	3.453453e-02
4.000000e-01	5.000000e-01	3.004504e+00	3.221167e-01	3.221167e-01
5.000000e-01	6.000000e-01	6.009009e+00	4.581524e-01	4.581524e-01
6.000000e-01	7.000000e-01	5.456456e+00	4.368311e-01	4.368311e-01
7.000000e-01	8.000000e-01	6.803303e+00	4.847153e-01	4.847153e-01
8.000000e-01	9.000000e-01	6.872372e+00	4.871696e-01	4.871696e-01
9.000000e-01	1.000000e+00	7.424925e+00	5.133927e-01	5.133927e-01
1.000000e+00	1.100000e+00	9.393393e+00	5.716482e-01	5.716482e-01
1.100000e+00	1.200000e+00	1.053303e+01	6.090232e-01	6.090232e-01
1.200000e+00	1.300000e+00	1.125826e+01	6.292492e-01	6.292492e-01
1.300000e+00	1.400000e+00	1.125826e+01	6.311417e-01	6.311417e-01
1.400000e+00	1.500000e+00	1.371021e+01	6.932759e-01	6.932759e-01
1.500000e+00	1.600000e+00	1.415916e+01	7.060602e-01	7.060602e-01
1.600000e+00	1.700000e+00	1.436637e+01	7.111096e-01	7.111096e-01
1.700000e+00	1.800000e+00	1.619670e+01	7.542456e-01	7.542456e-01
1.800000e+00	1.900000e+00	1.771622e+01	7.867510e-01	7.867510e-01
1.900000e+00	2.000000e+00	1.795796e+01	7.965433e-01	7.965433e-01
2.000000e+00	2.100000e+00	2.054805e+01	8.480320e-01	8.480320e-01
2.100000e+00	2.200000e+00	2.161862e+01	8.695574e-01	8.695574e-01
2.200000e+00	2.300000e+00	2.127327e+01	8.612888e-01	8.612888e-01
2.300000e+00	2.400000e+00	2.303453e+01	8.998880e-01	8.998880e-01
2.400000e+00	2.500000e+00	2.348348e+01	9.097736e-01	9.097736e-01
2.500000e+00	2.600000e+00	2.555556e+01	9.457671e-01	9.457671e-01
2.600000e+00	2.700000e+00	2.776577e+01	9.889186e-01	9.889186e-01
2.700000e+00	2.800000e+00	2.700601e+01	9.755624e-01	9.755624e-01
2.800000e+00	2.900000e+00	2.914715e+01	1.012751e+00	1.012751e+00
2.900000e+00	3.000000e+00	3.066667e+01	1.031421e+00	1.031421e+00
3.000000e+00	3.100000e+00	3.190991e+01	1.054294e+00	1.054294e+00
3.100000e+00	3.200000e+00	2.807658e+01	9.931306e-01	9.931306e-01
3.200000e+00	3.300000e+00	2.144595e+01	8.716122e-01	8.716122e-01
3.300000e+00	3.400000e+00	1.471171e+01	7.177868e-01	7.177868e-01
3.400000e+00	3.500000e+00	1.225976e+01	6.579713e-01	6.579713e-01
3.500000e+00	3.600000e+00	9.255255e+00	5.737308e-01	5.737308e-01
3.600000e+00	3.700000e+00	8.081081e+00	5.350067e-01	5.350067e-01
3.700000e+00	3.800000e+00	6.216216e+00	4.633294e-01	4.633294e-01
3.800000e+00	3.900000e+00	6.009009e+00	4.581524e-01	4.581524e-01
3.900000e+00	4.000000e+00	3.764264e+00	3.703416e-01	3.703416e-01
4.000000e+00	4.100000e+00	3.487988e+00	3.504872e-01	3.504872e-01
4.100000e+00	4.200000e+00	2.486486e+00	3.010651e-01	3.010651e-01
4.200000e+00	4.300000e+00	2.106607e+00	2.784263e-01	2.784263e-01
4.300000e+00	4.400000e+00	1.899399e+00	2.561150e-01	2.561150e-01
4.400000e+00	4.500000e+00	1.243243e+00	2.128852e-01	2.128852e-01
4.500000e+00	4.600000e+00	1.001501e+00	1.983858e-01	1.983858e-01
4.600000e+00	4.700000e+00	7.597597e-01	1.619813e-01	1.619813e-01
4.700000e+00	4.800000e+00	5.180180e-01	1.337517e-01	1.337517e-01
4.800000e+00	4.900000e+00	5.180180e-01	1.337517e-01	1.337517e-01
4.900000e+00	5.000000e+00	1.726727e-01	9.136979e-02	9.136979e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=1.82181239199614478e-05
Title=X600_Qd300
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	7.527562e-01	8.413566e-02	8.413566e-02
5.000000e-01	6.000000e-01	1.542232e+00	1.189858e-01	1.189858e-01
6.000000e-01	7.000000e-01	1.808451e+00	1.294992e-01	1.294992e-01
7.000000e-01	8.000000e-01	1.735011e+00	1.262035e-01	1.262035e-01
8.000000e-01	9.000000e-01	1.909430e+00	1.349172e-01	1.349172e-01
9.000000e-01	1.000000e+00	2.239909e+00	1.433955e-01	1.433955e-01
1.000000e+00	1.100000e+00	2.368428e+00	1.485905e-01	1.485905e-01
1.100000e+00	1.200000e+00	2.772346e+00	1.611075e-01	1.611075e-01
1.200000e+00	1.300000e+00	3.038565e+00	1.685215e-01	1.685215e-01
1.300000e+00	1.400000e+00	3.451662e+00	1.794205e-01	1.794205e-01
1.400000e+00	1.500000e+00	3.323143e+00	1.751423e-01	1.751423e-01
1.500000e+00	1.600000e+00	3.772961e+00	1.870099e-01	1.870099e-01
1.600000e+00	1.700000e+00	3.974920e+00	1.914631e-01	1.914631e-01
1.700000e+00	1.800000e+00	4.305398e+00	1.996508e-01	1.996508e-01
1.800000e+00	1.900000e+00	4.433918e+00	2.025839e-01	2.025839e-01
1.900000e+00	2.000000e+00	4.626697e+00	2.069056e-01	2.069056e-01
2.000000e+00	2.100000e+00	5.342733e+00	2.226020e-01	2.226020e-01
2.100000e+00	2.200000e+00	5.517152e+00	2.265422e-01	2.265422e-01
2.200000e+00	2.300000e+00	5.939430e+00	2.338637e-01	2.338637e-01
2.300000e+00	2.400000e+00	6.113849e+00	2.379716e-01	2.379716e-01
2.400000e+00	2.500000e+00	6.894145e+00	2.529073e-01	2.529073e-01
2.500000e+00	2.600000e+00	6.591207e+00	2.480287e-01	2.480287e-01
2.600000e+00	2.700000e+00	7.628541e+00	2.652673e-01	2.652673e-01
2.700000e+00	2.800000e+00	7.343963e+00	2.615884e-01	2.615884e-01
2.800000e+00	2.900000e+00	8.289498e+00	2.794991e-01	2.794991e-01
2.900000e+00	3.000000e+00	8.555717e+00	2.829452e-01	2.829452e-01
3.000000e+00	3.100000e+00	8.362938e+00	2.804021e-01	2.804021e-01
3.100000e+00	3.200000e+00	7.738701e+00	2.693656e-01	2.693656e-01
3.200000e+00	3.300000e+00	4.791936e+00	2.113384e-01	2.113384e-01
3.300000e+00	3.400000e+00	3.956560e+00	1.914631e-01	1.914631e-01
3.400000e+00	3.500000e+00	3.029385e+00	1.707570e-01	1.707570e-01
3.500000e+00	3.600000e+00	2.386788e+00	1.485905e-01	1.485905e-01
3.600000e+00	3.700000e+00	2.377608e+00	1.488738e-01	1.488738e-01
3.700000e+00	3.800000e+00	1.725831e+00	1.272012e-01	1.272012e-01
3.800000e+00	3.900000e+00	1.376993e+00	1.131780e-01	1.131780e-01
3.900000e+00	4.000000e+00	1.018975e+00	9.671681e-02	9.671681e-02
4.000000e+00	4.100000e+00	8.537357e-01	8.852827e-02	8.852827e-02
4.100000e+00	4.200000e+00	6.609566e-01	7.896894e-02	7.896894e-02
4.200000e+00	4.300000e+00	4.314578e-01	6.425968e-02	6.425968e-02
4.300000e+00	4.400000e+00	4.314578e-01	6.293459e-02	6.293459e-02
4.400000e+00	4.500000e+00	2.662186e-01	4.943556e-02	4.943556e-02
4.500000e+00	4.600000e+00	3.212984e-01	5.430934e-02	5.430934e-02
4.600000e+00	4.700000e+00	2.294988e-01	4.770044e-02	4.770044e-02
4.700000e+00	4.800000e+00	1.101594e-01	3.180030e-02	3.180030e-02
4.800000e+00	4.900000e+00	9.179953e-02	2.902956e-02	2.902956e-02
4.900000e+00	5.000000e+00	2.753986e-02	1.590014e-02	1.590014e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=1.55089979300998813e-05
Title=X1200_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	1.459391e-01	1.498272e-02	1.498272e-02
5.000000e-01	6.000000e-01	2.553934e-01	1.994408e-02	1.994408e-02
6.000000e-01	7.000000e-01	2.988945e-01	2.114225e-02	2.114225e-02
7.000000e-01	8.000000e-01	2.876684e-01	2.067132e-02	2.067132e-02
8.000000e-01	9.000000e-01	3.452021e-01	2.245217e-02	2.245217e-02
9.000000e-01	1.000000e+00	4.167684e-01	2.514148e-02	2.514148e-02
1.000000e+00	1.100000e+00	4.728988e-01	2.688261e-02	2.688261e-02
1.100000e+00	1.200000e+00	4.392206e-01	2.629008e-02	2.629008e-02
1.200000e+00	1.300000e+00	4.728988e-01	2.695576e-02	2.695576e-02
1.300000e+00	1.400000e+00	5.346423e-01	2.865539e-02	2.865539e-02
1.400000e+00	1.500000e+00	5.318358e-01	2.926732e-02	2.926732e-02
