# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta\eta$
XLabel=$\Delta\eta_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bb_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bb_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_deta
ScaledBy=1.84649615786480238e-05
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.773123e+01	9.895213e-01	9.895213e-01
1.000000e-01	2.000000e-01	2.576276e+01	9.533033e-01	9.533033e-01
2.000000e-01	3.000000e-01	2.645345e+01	9.657328e-01	9.657328e-01
3.000000e-01	4.000000e-01	2.769670e+01	9.828701e-01	9.828701e-01
4.000000e-01	5.000000e-01	2.755856e+01	9.889186e-01	9.889186e-01
5.000000e-01	6.000000e-01	2.766216e+01	9.846885e-01	9.846885e-01
6.000000e-01	7.000000e-01	2.572823e+01	9.501705e-01	9.501705e-01
7.000000e-01	8.000000e-01	2.531381e+01	9.451364e-01	9.451364e-01
8.000000e-01	9.000000e-01	2.669519e+01	9.651151e-01	9.651151e-01
9.000000e-01	1.000000e+00	2.393243e+01	9.195529e-01	9.195529e-01
1.000000e+00	1.100000e+00	2.375976e+01	9.084617e-01	9.084617e-01
1.100000e+00	1.200000e+00	2.210210e+01	8.777480e-01	8.777480e-01
1.200000e+00	1.300000e+00	2.393243e+01	9.156537e-01	9.156537e-01
1.300000e+00	1.400000e+00	2.189489e+01	8.777480e-01	8.777480e-01
1.400000e+00	1.500000e+00	2.058258e+01	8.487349e-01	8.487349e-01
1.500000e+00	1.600000e+00	2.016817e+01	8.445088e-01	8.445088e-01
1.600000e+00	1.700000e+00	1.771622e+01	7.867510e-01	7.867510e-01
1.700000e+00	1.800000e+00	1.768168e+01	7.875085e-01	7.875085e-01
1.800000e+00	1.900000e+00	1.674925e+01	7.621108e-01	7.621108e-01
1.900000e+00	2.000000e+00	1.443544e+01	7.144560e-01	7.144560e-01
2.000000e+00	2.100000e+00	1.333033e+01	6.820024e-01	6.820024e-01
2.100000e+00	2.200000e+00	1.284685e+01	6.714281e-01	6.714281e-01
2.200000e+00	2.300000e+00	1.042943e+01	6.021301e-01	6.021301e-01
2.300000e+00	2.400000e+00	1.004955e+01	5.931501e-01	5.931501e-01
2.400000e+00	2.500000e+00	8.737237e+00	5.514723e-01	5.514723e-01
2.500000e+00	2.600000e+00	7.770270e+00	5.203152e-01	5.203152e-01
2.600000e+00	2.700000e+00	7.873874e+00	5.305295e-01	5.305295e-01
2.700000e+00	2.800000e+00	6.561561e+00	4.810104e-01	4.810104e-01
2.800000e+00	2.900000e+00	6.216216e+00	4.633294e-01	4.633294e-01
2.900000e+00	3.000000e+00	5.180180e+00	4.257704e-01	4.257704e-01
3.000000e+00	3.100000e+00	4.075075e+00	3.751410e-01	3.751410e-01
3.100000e+00	3.200000e+00	3.833333e+00	3.735481e-01	3.735481e-01
3.200000e+00	3.300000e+00	3.695195e+00	3.638439e-01	3.638439e-01
3.300000e+00	3.400000e+00	2.348348e+00	2.889366e-01	2.889366e-01
3.400000e+00	3.500000e+00	2.382883e+00	2.909932e-01	2.909932e-01
3.500000e+00	3.600000e+00	2.521021e+00	2.950632e-01	2.950632e-01
3.600000e+00	3.700000e+00	1.208709e+00	2.100654e-01	2.100654e-01
3.700000e+00	3.800000e+00	1.312312e+00	2.238094e-01	2.238094e-01
3.800000e+00	3.900000e+00	1.450450e+00	2.238094e-01	2.238094e-01
3.900000e+00	4.000000e+00	7.597597e-01	1.619813e-01	1.619813e-01
4.000000e+00	4.100000e+00	6.906907e-01	1.544431e-01	1.544431e-01
4.100000e+00	4.200000e+00	5.180180e-01	1.423895e-01	1.423895e-01
4.200000e+00	4.300000e+00	4.834835e-01	1.292164e-01	1.292164e-01
4.300000e+00	4.400000e+00	3.108108e-01	1.145381e-01	1.145381e-01
4.400000e+00	4.500000e+00	2.072072e-01	8.459199e-02	8.459199e-02
4.500000e+00	4.600000e+00	1.726727e-01	7.722156e-02	7.722156e-02
4.600000e+00	4.700000e+00	6.906907e-02	4.883921e-02	4.883921e-02
4.700000e+00	4.800000e+00	3.453453e-02	3.453453e-02	3.453453e-02
4.800000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_deta
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_deta
ScaledBy=1.82181239199614478e-05
Title=X600_Qd300
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	7.132824e+00	2.568747e-01	2.568747e-01
1.000000e-01	2.000000e-01	6.802345e+00	2.519057e-01	2.519057e-01
2.000000e-01	3.000000e-01	7.233803e+00	2.602966e-01	2.602966e-01
3.000000e-01	4.000000e-01	7.656081e+00	2.666930e-01	2.666930e-01
4.000000e-01	5.000000e-01	7.766241e+00	2.704583e-01	2.704583e-01
5.000000e-01	6.000000e-01	7.793780e+00	2.696782e-01	2.696782e-01
6.000000e-01	7.000000e-01	7.821320e+00	2.695219e-01	2.695219e-01
7.000000e-01	8.000000e-01	6.976765e+00	2.550640e-01	2.550640e-01
8.000000e-01	9.000000e-01	6.958405e+00	2.540709e-01	2.540709e-01
9.000000e-01	1.000000e+00	6.490227e+00	2.451237e-01	2.451237e-01
