# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta\phi$
XLabel=$\Delta\phi_{bb}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{bb}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bb_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dphi
ScaledBy=1.84649615786480238e-05
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.000334e+01	7.496011e-01	7.496011e-01
6.283185e-02	1.256637e-01	8.354440e+00	6.776346e-01	6.776346e-01
1.256637e-01	1.884956e-01	1.099268e+01	7.772995e-01	7.772995e-01
1.884956e-01	2.513274e-01	1.022320e+01	7.576191e-01	7.576191e-01
2.513274e-01	3.141593e-01	1.264158e+01	8.407780e-01	8.407780e-01
3.141593e-01	3.769911e-01	1.044306e+01	7.615960e-01	7.615960e-01
3.769911e-01	4.398230e-01	1.297136e+01	8.443634e-01	8.443634e-01
4.398230e-01	5.026548e-01	1.302634e+01	8.461518e-01	8.461518e-01
5.026548e-01	5.654867e-01	1.335610e+01	8.567943e-01	8.567943e-01
5.654867e-01	6.283185e-01	1.198203e+01	8.152399e-01	8.152399e-01
6.283185e-01	6.911504e-01	1.313625e+01	8.497131e-01	8.497131e-01
6.911504e-01	7.539822e-01	1.346605e+01	8.638186e-01	8.638186e-01
7.539822e-01	8.168141e-01	1.385077e+01	8.725166e-01	8.725166e-01
8.168141e-01	8.796459e-01	1.302634e+01	8.567957e-01	8.567957e-01
8.796459e-01	9.424778e-01	1.264158e+01	8.443634e-01	8.443634e-01
9.424778e-01	1.005310e+00	1.214685e+01	8.281028e-01	8.281028e-01
1.005310e+00	1.068142e+00	1.478513e+01	9.014650e-01	9.014650e-01
1.068142e+00	1.130973e+00	1.313644e+01	8.638296e-01	8.638296e-01
1.130973e+00	1.193805e+00	1.489505e+01	9.081426e-01	9.081426e-01
1.193805e+00	1.256637e+00	1.396068e+01	8.896585e-01	8.896585e-01
1.256637e+00	1.319469e+00	1.478513e+01	9.081426e-01	9.081426e-01
1.319469e+00	1.382301e+00	1.462023e+01	9.098043e-01	9.098043e-01
1.382301e+00	1.445133e+00	1.637906e+01	9.583176e-01	9.583176e-01
1.445133e+00	1.507964e+00	1.560982e+01	9.295283e-01	9.295283e-01
1.507964e+00	1.570796e+00	1.670884e+01	9.677285e-01	9.677285e-01
1.570796e+00	1.633628e+00	1.516987e+01	9.295135e-01	9.295135e-01
1.633628e+00	1.696460e+00	1.747832e+01	9.862810e-01	9.862810e-01
1.696460e+00	1.759292e+00	1.742337e+01	9.816758e-01	9.816758e-01
1.759292e+00	1.822124e+00	1.890737e+01	1.031203e+00	1.031203e+00
1.822124e+00	1.884956e+00	1.868752e+01	1.016449e+00	1.016449e+00
1.884956e+00	1.947787e+00	2.182077e+01	1.111581e+00	1.111581e+00
1.947787e+00	2.010619e+00	2.127079e+01	1.092374e+00	1.092374e+00
2.010619e+00	2.073451e+00	2.143569e+01	1.090990e+00	1.090990e+00
2.073451e+00	2.136283e+00	2.017152e+01	1.064360e+00	1.064360e+00
2.136283e+00	2.199115e+00	2.121583e+01	1.090990e+00	1.090990e+00
2.199115e+00	2.261947e+00	2.313955e+01	1.133097e+00	1.133097e+00
2.261947e+00	2.324779e+00	2.094102e+01	1.078458e+00	1.078458e+00
2.324779e+00	2.387610e+00	2.302999e+01	1.141086e+00	1.141086e+00
2.387610e+00	2.450442e+00	2.506326e+01	1.181391e+00	1.181391e+00
2.450442e+00	2.513274e+00	2.385407e+01	1.171118e+00	1.171118e+00
2.513274e+00	2.576106e+00	2.709691e+01	1.225324e+00	1.225324e+00
2.576106e+00	2.638938e+00	2.594267e+01	1.201674e+00	1.201674e+00
2.638938e+00	2.701770e+00	2.803127e+01	1.248526e+00	1.248526e+00
