# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet invariant mass
XLabel=$m_{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bb_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bb_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=1.84649615786480238e-05
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	4.856438e-03	1.982632e-03	1.982632e-03
5.426665e+01	5.889739e+01	1.044074e-02	2.790405e-03	2.790405e-03
5.889739e+01	6.392328e+01	1.168126e-02	2.833121e-03	2.833121e-03
6.392328e+01	6.937805e+01	1.139593e-02	2.686046e-03	2.686046e-03
6.937805e+01	7.529829e+01	1.574991e-02	3.031071e-03	3.031071e-03
7.529829e+01	8.172373e+01	1.558650e-02	2.894341e-03	2.894341e-03
8.172373e+01	8.869746e+01	2.277962e-02	3.430908e-03	3.430908e-03
8.869746e+01	9.626628e+01	2.463878e-02	3.414440e-03	3.414440e-03
9.626628e+01	1.044810e+02	3.195027e-02	3.712856e-03	3.712856e-03
1.044810e+02	1.133967e+02	3.486107e-02	3.715284e-03	3.715284e-03
1.133967e+02	1.230731e+02	3.997218e-02	3.777016e-03	3.777016e-03
1.230731e+02	1.335753e+02	4.044627e-02	3.646917e-03	3.646917e-03
1.335753e+02	1.449737e+02	4.696144e-02	3.796291e-03	3.796291e-03
1.449737e+02	1.573448e+02	5.080619e-02	3.786642e-03	3.786642e-03
1.573448e+02	1.707715e+02	5.658574e-02	3.815010e-03	3.815010e-03
1.707715e+02	1.853439e+02	6.327524e-02	3.901280e-03	3.901280e-03
1.853439e+02	2.011599e+02	5.371456e-02	3.452446e-03	3.452446e-03
2.011599e+02	2.183255e+02	5.854471e-02	3.467152e-03	3.467152e-03
2.183255e+02	2.369559e+02	6.691735e-02	3.551113e-03	3.551113e-03
2.369559e+02	2.571760e+02	6.917122e-02	3.479320e-03	3.479320e-03
2.571760e+02	2.791217e+02	7.632133e-02	3.486943e-03	3.486943e-03
2.791217e+02	3.029400e+02	7.061092e-02	3.232370e-03	3.232370e-03
3.029400e+02	3.287907e+02	6.973517e-02	3.075525e-03	3.075525e-03
3.287907e+02	3.568475e+02	7.397583e-02	3.047514e-03	3.047514e-03
3.568475e+02	3.872983e+02	7.303664e-02	2.891423e-03	2.891423e-03
3.872983e+02	4.203477e+02	7.471298e-02	2.809695e-03	2.809695e-03
4.203477e+02	4.562172e+02	7.066826e-02	2.626121e-03	2.626121e-03
