# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=$b$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bb_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bb_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=1.84649615786480238e-05
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	1.697394e-02	6.001193e-03	6.001193e-03
2.162765e+01	2.338777e+01	3.335495e-02	8.089763e-03	8.089763e-03
2.338777e+01	2.529113e+01	2.903037e-02	7.257593e-03	7.257593e-03
2.529113e+01	2.734939e+01	1.342281e-02	4.745679e-03	4.745679e-03
2.734939e+01	2.957515e+01	1.241267e-02	4.906539e-03	4.906539e-03
2.957515e+01	3.198206e+01	1.865250e-02	5.173273e-03	5.173273e-03
3.198206e+01	3.458484e+01	3.051715e-02	6.363265e-03	6.363265e-03
3.458484e+01	3.739945e+01	3.190133e-02	6.256364e-03	6.256364e-03
3.739945e+01	4.044311e+01	3.971235e-02	6.712611e-03	6.712611e-03
4.044311e+01	4.373448e+01	4.511753e-02	6.880359e-03	6.880359e-03
4.373448e+01	4.729371e+01	4.366265e-02	6.651912e-03	6.651912e-03
4.729371e+01	5.114260e+01	4.217120e-02	6.151302e-03	6.151302e-03
5.114260e+01	5.530472e+01	5.144352e-02	6.637874e-03	6.637874e-03
5.530472e+01	5.980556e+01	6.138328e-02	6.862858e-03	6.862858e-03
5.980556e+01	6.467270e+01	5.392541e-02	6.185667e-03	6.185667e-03
6.467270e+01	6.993594e+01	6.102158e-02	6.327643e-03	6.327643e-03
6.993594e+01	7.562751e+01	6.613753e-02	6.334827e-03	6.334827e-03
7.562751e+01	8.178228e+01	6.845443e-02	6.197575e-03	6.197575e-03
8.178228e+01	8.843794e+01	7.368021e-02	6.226496e-03	6.226496e-03
8.843794e+01	9.563525e+01	7.389314e-02	6.031314e-03	6.031314e-03
9.563525e+01	1.034183e+02	8.608065e-02	6.180230e-03	6.180230e-03
1.034183e+02	1.118348e+02	8.903932e-02	6.072173e-03	6.072173e-03
1.118348e+02	1.209362e+02	9.030719e-02	5.878290e-03	5.878290e-03
1.209362e+02	1.307783e+02	9.333563e-02	5.765643e-03	5.765643e-03
1.307783e+02	1.414214e+02	8.923149e-02	5.439245e-03	5.439245e-03
1.414214e+02	1.529306e+02	9.781966e-02	5.450865e-03	5.450865e-03
1.529306e+02	1.653765e+02	1.109908e-01	5.618485e-03	5.618485e-03
1.653765e+02	1.788353e+02	1.157241e-01	5.497353e-03	5.497353e-03
1.788353e+02	1.933894e+02	1.309807e-01	5.595071e-03	5.595071e-03
1.933894e+02	2.091279e+02	1.143215e-01	5.056355e-03	5.056355e-03
2.091279e+02	2.261473e+02	1.304729e-01	5.161328e-03	5.161328e-03
2.261473e+02	2.445518e+02	1.219672e-01	4.827903e-03	4.827903e-03
2.445518e+02	2.644540e+02	1.313555e-01	4.811890e-03	4.811890e-03
2.644540e+02	2.859760e+02	1.277274e-01	4.566816e-03	4.566816e-03
2.859760e+02	3.092495e+02	1.317665e-01	4.481148e-03	4.481148e-03
3.092495e+02	3.344170e+02	1.273390e-01	4.215990e-03	4.215990e-03
3.344170e+02	3.616328e+02	1.167402e-01	3.894555e-03	3.894555e-03
3.616328e+02	3.910634e+02	1.154648e-01	3.714397e-03	3.714397e-03
3.910634e+02	4.228892e+02	1.126346e-01	3.536197e-03	3.536197e-03
4.228892e+02	4.573051e+02	1.025523e-01	3.229791e-03	3.229791e-03
4.573051e+02	4.945218e+02	9.103005e-02	2.924088e-03	2.924088e-03
4.945218e+02	5.347672e+02	7.594175e-02	2.570003e-03	2.570003e-03
5.347672e+02	5.782880e+02	5.419728e-02	2.100950e-03	2.100950e-03
5.782880e+02	6.253506e+02	2.949875e-02	1.485832e-03	1.485832e-03
6.253506e+02	6.762433e+02	1.533580e-02	1.020123e-03	1.020123e-03
6.762433e+02	7.312778e+02	9.287104e-03	7.685360e-04	7.685360e-04
