# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bjet_eta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bjet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bjet_eta
ScaledBy=8.46504408586937597e-06
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	2.453952e+00	2.045939e-01	2.045939e-01
-2.400000e+00	-2.300000e+00	3.229718e+00	2.316015e-01	2.316015e-01
-2.300000e+00	-2.200000e+00	4.021315e+00	2.562625e-01	2.562625e-01
-2.200000e+00	-2.100000e+00	4.132139e+00	2.606268e-01	2.606268e-01
-2.100000e+00	-2.000000e+00	4.622929e+00	2.787502e-01	2.787502e-01
-2.000000e+00	-1.900000e+00	5.588678e+00	3.057657e-01	3.057657e-01
-1.900000e+00	-1.800000e+00	6.063637e+00	3.154494e-01	3.154494e-01
-1.800000e+00	-1.700000e+00	6.886898e+00	3.332239e-01	3.332239e-01
-1.700000e+00	-1.600000e+00	7.615168e+00	3.500974e-01	3.500974e-01
-1.600000e+00	-1.500000e+00	9.024212e+00	3.839044e-01	3.839044e-01
-1.500000e+00	-1.400000e+00	9.847473e+00	4.017698e-01	4.017698e-01
-1.400000e+00	-1.300000e+00	1.086072e+01	4.200692e-01	4.200692e-01
-1.300000e+00	-1.200000e+00	1.207978e+01	4.413112e-01	4.413112e-01
-1.200000e+00	-1.100000e+00	1.279222e+01	4.544624e-01	4.544624e-01
-1.100000e+00	-1.000000e+00	1.359965e+01	4.693846e-01	4.693846e-01
-1.000000e+00	-9.000000e-01	1.428042e+01	4.796846e-01	4.796846e-01
-9.000000e-01	-8.000000e-01	1.572113e+01	5.043911e-01	5.043911e-01
-8.000000e-01	-7.000000e-01	1.663938e+01	5.152077e-01	5.152077e-01
-7.000000e-01	-6.000000e-01	1.697185e+01	5.207725e-01	5.207725e-01
-6.000000e-01	-5.000000e-01	1.752597e+01	5.286544e-01	5.286544e-01
-5.000000e-01	-4.000000e-01	1.857088e+01	5.482063e-01	5.482063e-01
-4.000000e-01	-3.000000e-01	1.841256e+01	5.436148e-01	5.436148e-01
-3.000000e-01	-2.000000e-01	1.906167e+01	5.511702e-01	5.511702e-01
-2.000000e-01	-1.000000e-01	1.931498e+01	5.538920e-01	5.538920e-01
-1.000000e-01	0.000000e+00	1.929915e+01	5.563753e-01	5.563753e-01
0.000000e+00	1.000000e-01	1.929915e+01	5.536657e-01	5.536657e-01
1.000000e-01	2.000000e-01	1.934664e+01	5.561501e-01	5.561501e-01
2.000000e-01	3.000000e-01	1.779511e+01	5.336095e-01	5.336095e-01
3.000000e-01	4.000000e-01	1.953663e+01	5.597440e-01	5.597440e-01
4.000000e-01	5.000000e-01	1.695602e+01	5.190852e-01	5.190852e-01
5.000000e-01	6.000000e-01	1.808009e+01	5.382863e-01	5.382863e-01
6.000000e-01	7.000000e-01	1.808009e+01	5.368875e-01	5.368875e-01
7.000000e-01	8.000000e-01	1.681353e+01	5.193266e-01	5.193266e-01
8.000000e-01	9.000000e-01	1.549948e+01	4.978890e-01	4.978890e-01
9.000000e-01	1.000000e+00	1.437541e+01	4.807285e-01	4.807285e-01
1.000000e+00	1.100000e+00	1.378963e+01	4.715157e-01	4.715157e-01
1.100000e+00	1.200000e+00	1.283971e+01	4.558392e-01	4.558392e-01
1.200000e+00	1.300000e+00	1.182647e+01	4.378901e-01	4.378901e-01
1.300000e+00	1.400000e+00	1.081322e+01	4.167744e-01	4.167744e-01
1.400000e+00	1.500000e+00	1.027494e+01	4.101056e-01	4.101056e-01
1.500000e+00	1.600000e+00	9.040044e+00	3.816124e-01	3.816124e-01
1.600000e+00	1.700000e+00	7.947639e+00	3.589351e-01	3.589351e-01
1.700000e+00	1.800000e+00	7.741824e+00	3.550737e-01	3.550737e-01
1.800000e+00	1.900000e+00	6.807739e+00	3.313382e-01	3.313382e-01
1.900000e+00	2.000000e+00	5.715334e+00	3.041218e-01	3.041218e-01
2.000000e+00	2.100000e+00	4.765417e+00	2.791995e-01	2.791995e-01
2.100000e+00	2.200000e+00	3.989651e+00	2.582113e-01	2.582113e-01
2.200000e+00	2.300000e+00	3.372205e+00	2.321420e-01	2.321420e-01
2.300000e+00	2.400000e+00	3.150558e+00	2.288799e-01	2.288799e-01
2.400000e+00	2.500000e+00	1.947330e+00	1.839506e-01	1.839506e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bjet_eta
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bjet_eta
ScaledBy=8.37523427731026437e-06
Title=X600_Qd300
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	5.908290e-01	5.099296e-02	5.099296e-02
-2.400000e+00	-2.300000e+00	7.554171e-01	5.893199e-02	5.893199e-02
-2.300000e+00	-2.200000e+00	8.989042e-01	6.302113e-02	6.302113e-02
-2.200000e+00	-2.100000e+00	1.093034e+00	6.921654e-02	6.921654e-02
-2.100000e+00	-2.000000e+00	1.278723e+00	7.394401e-02	7.394401e-02
-2.000000e+00	-1.900000e+00	1.401109e+00	7.804531e-02	7.804531e-02
-1.900000e+00	-1.800000e+00	1.650101e+00	8.450959e-02	8.450959e-02
