# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=$b$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{b\mathrm{-jet}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{b\mathrm{-jet}}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bjet_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/bjet_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bjet_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bjet_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bjet_pt
ScaledBy=8.46504408586937597e-06
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	6.225202e-02	7.902151e-03	7.902151e-03
2.162765e+01	2.338777e+01	3.328081e-02	5.617259e-03	5.617259e-03
2.338777e+01	2.529113e+01	5.073917e-02	6.496484e-03	6.496484e-03
2.529113e+01	2.734939e+01	3.845955e-02	5.439001e-03	5.439001e-03
2.734939e+01	2.957515e+01	7.041923e-02	7.077398e-03	7.077398e-03
2.957515e+01	3.198206e+01	5.196389e-02	5.846394e-03	5.846394e-03
3.198206e+01	3.458484e+01	5.413612e-02	5.738415e-03	5.738415e-03
3.458484e+01	3.739945e+01	5.681167e-02	5.708669e-03	5.708669e-03
3.739945e+01	4.044311e+01	7.126213e-02	6.088335e-03	6.088335e-03
4.044311e+01	4.373448e+01	6.301282e-02	5.547324e-03	5.547324e-03
4.373448e+01	4.729371e+01	7.339430e-02	5.713738e-03	5.713738e-03
4.729371e+01	5.114260e+01	6.787079e-02	5.347395e-03	5.347395e-03
5.114260e+01	5.530472e+01	7.341369e-02	5.338914e-03	5.338914e-03
5.530472e+01	5.980556e+01	7.984849e-02	5.346220e-03	5.346220e-03
5.980556e+01	6.467270e+01	7.611608e-02	5.039254e-03	5.039254e-03
6.467270e+01	6.993594e+01	7.790781e-02	4.859611e-03	4.859611e-03
6.993594e+01	7.562751e+01	8.150231e-02	4.825981e-03	4.825981e-03
7.562751e+01	8.178228e+01	9.311747e-02	4.961284e-03	4.961284e-03
8.178228e+01	8.843794e+01	9.633815e-02	4.857483e-03	4.857483e-03
8.843794e+01	9.563525e+01	1.014063e-01	4.773916e-03	4.773916e-03
9.563525e+01	1.034183e+02	1.153367e-01	4.877738e-03	4.877738e-03
1.034183e+02	1.118348e+02	1.237738e-01	4.861733e-03	4.861733e-03
1.118348e+02	1.209362e+02	1.168949e-01	4.536079e-03	4.536079e-03
1.209362e+02	1.307783e+02	1.286876e-01	4.589431e-03	4.589431e-03
1.307783e+02	1.414214e+02	1.377455e-01	4.550972e-03	4.550972e-03
1.414214e+02	1.529306e+02	1.488389e-01	4.562319e-03	4.562319e-03
1.529306e+02	1.653765e+02	1.526474e-01	4.435830e-03	4.435830e-03
1.653765e+02	1.788353e+02	1.608039e-01	4.374608e-03	4.374608e-03
1.788353e+02	1.933894e+02	1.613207e-01	4.220047e-03	4.220047e-03
1.933894e+02	2.091279e+02	1.530031e-01	3.964212e-03	3.964212e-03
2.091279e+02	2.261473e+02	1.569297e-01	3.859052e-03	3.859052e-03
2.261473e+02	2.445518e+02	1.483882e-01	3.593421e-03	3.593421e-03
2.445518e+02	2.644540e+02	1.400853e-01	3.358992e-03	3.358992e-03
2.644540e+02	2.859760e+02	1.366776e-01	3.194645e-03	3.194645e-03
2.859760e+02	3.092495e+02	1.227863e-01	2.904464e-03	2.904464e-03
3.092495e+02	3.344170e+02	1.183268e-01	2.762870e-03	2.762870e-03
3.344170e+02	3.616328e+02	1.085488e-01	2.532984e-03	2.532984e-03
3.616328e+02	3.910634e+02	9.763644e-02	2.305631e-03	2.305631e-03
3.910634e+02	4.228892e+02	8.252804e-02	2.052875e-03	2.052875e-03
4.228892e+02	4.573051e+02	6.638066e-02	1.765536e-03	1.765536e-03
4.573051e+02	4.945218e+02	5.398313e-02	1.532027e-03	1.532027e-03
4.945218e+02	5.347672e+02	3.973192e-02	1.257603e-03	1.257603e-03
5.347672e+02	5.782880e+02	3.008451e-02	1.057465e-03	1.057465e-03
5.782880e+02	6.253506e+02	2.230344e-02	8.714045e-04	8.714045e-04
6.253506e+02	6.762433e+02	1.412325e-02	6.700974e-04	6.700974e-04
6.762433e+02	7.312778e+02	8.889102e-03	5.154089e-04	5.154089e-04
7.312778e+02	7.907911e+02	5.852522e-03	4.051953e-04	4.051953e-04
7.907911e+02	8.551478e+02	4.034452e-03	3.188565e-04	3.188565e-04
8.551478e+02	9.247420e+02	2.138401e-03	2.319947e-04	2.319947e-04
9.247420e+02	1.000000e+03	1.220140e-03	1.656447e-04	1.656447e-04
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bjet_pt
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/bjet_pt
ScaledBy=8.37523427731026437e-06
Title=X600_Qd300
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	1.996473e-02	2.275193e-03	2.275193e-03
2.162765e+01	2.338777e+01	2.709380e-02	2.548771e-03	2.548771e-03
2.338777e+01	2.529113e+01	2.239413e-02	2.250253e-03	2.250253e-03
2.529113e+01	2.734939e+01	2.398940e-02	2.217821e-03	2.217821e-03
2.734939e+01	2.957515e+01	2.483858e-02	2.219299e-03	2.219299e-03
2.957515e+01	3.198206e+01	2.314450e-02	2.014471e-03	2.014471e-03
3.198206e+01	3.458484e+01	2.464563e-02	2.012133e-03	2.012133e-03
3.458484e+01	3.739945e+01	2.593950e-02	1.994813e-03	1.994813e-03
3.739945e+01	4.044311e+01	2.176894e-02	1.748382e-03	1.748382e-03
4.044311e+01	4.373448e+01	2.897781e-02	1.944559e-03	1.944559e-03
4.373448e+01	4.729371e+01	3.142126e-02	1.930193e-03	1.930193e-03
4.729371e+01	5.114260e+01	3.179774e-02	1.886445e-03	1.886445e-03
5.114260e+01	5.530472e+01	3.163544e-02	1.796735e-03	1.796735e-03
5.530472e+01	5.980556e+01	3.141123e-02	1.736550e-03	1.736550e-03
5.980556e+01	6.467270e+01	3.494340e-02	1.749271e-03	1.749271e-03
6.467270e+01	6.993594e+01	3.528038e-02	1.697148e-03	1.697148e-03
6.993594e+01	7.562751e+01	3.944694e-02	1.726241e-03	1.726241e-03
7.562751e+01	8.178228e+01	3.997519e-02	1.666924e-03	1.666924e-03
8.178228e+01	8.843794e+01	4.089803e-02	1.620314e-03	1.620314e-03
8.843794e+01	9.563525e+01	4.485647e-02	1.626024e-03	1.626024e-03
9.563525e+01	1.034183e+02	4.885497e-02	1.636602e-03	1.636602e-03
1.034183e+02	1.118348e+02	5.224804e-02	1.629424e-03	1.629424e-03
1.118348e+02	1.209362e+02	5.536432e-02	1.615604e-03	1.615604e-03
1.209362e+02	1.307783e+02	5.308437e-02	1.514793e-03	1.514793e-03
1.307783e+02	1.414214e+02	5.733687e-02	1.516140e-03	1.516140e-03
1.414214e+02	1.529306e+02	5.595555e-02	1.441761e-03	1.441761e-03
1.529306e+02	1.653765e+02	5.408392e-02	1.360146e-03	1.360146e-03
1.653765e+02	1.788353e+02	5.017039e-02	1.264409e-03	1.264409e-03
1.788353e+02	1.933894e+02	5.065722e-02	1.215442e-03	1.215442e-03
1.933894e+02	2.091279e+02	4.864159e-02	1.149591e-03	1.149591e-03
2.091279e+02	2.261473e+02	4.307144e-02	1.039382e-03	1.039382e-03
2.261473e+02	2.445518e+02	4.299432e-02	9.987192e-04	9.987192e-04
2.445518e+02	2.644540e+02	3.933477e-02	9.181916e-04	9.181916e-04
2.644540e+02	2.859760e+02	3.776656e-02	8.659014e-04	8.659014e-04
2.859760e+02	3.092495e+02	3.088067e-02	7.557393e-04	7.557393e-04
3.092495e+02	3.344170e+02	2.604145e-02	6.667448e-04	6.667448e-04
3.344170e+02	3.616328e+02	2.169354e-02	5.882245e-04	5.882245e-04
3.616328e+02	3.910634e+02	1.575914e-02	4.809622e-04	4.809622e-04
3.910634e+02	4.228892e+02	1.208016e-02	4.037331e-04	4.037331e-04
4.228892e+02	4.573051e+02	8.792125e-03	3.328959e-04	3.328959e-04
4.573051e+02	4.945218e+02	6.520242e-03	2.742672e-04	2.742672e-04
4.945218e+02	5.347672e+02	4.047668e-03	2.123291e-04	2.123291e-04
5.347672e+02	5.782880e+02	2.889703e-03	1.701815e-04	1.701815e-04
5.782880e+02	6.253506e+02	1.614100e-03	1.203079e-04	1.203079e-04
6.253506e+02	6.762433e+02	9.784989e-04	9.308154e-05	9.308154e-05
6.762433e+02	7.312778e+02	7.361562e-04	7.591225e-05	7.591225e-05
7.312778e+02	7.907911e+02	4.112896e-04	5.760919e-05	5.760919e-05
7.907911e+02	8.551478e+02	2.623011e-04	4.249763e-05	4.249763e-05
