# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta R$
XLabel=$\Delta R_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/jet12_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=1.71288025274201010e-05
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	9.610665e-02	5.548721e-02	5.548721e-02
4.000000e-01	5.000000e-01	6.278968e+00	4.553108e-01	4.553108e-01
5.000000e-01	6.000000e-01	9.546594e+00	5.603933e-01	5.603933e-01
6.000000e-01	7.000000e-01	8.585528e+00	5.283438e-01	5.283438e-01
7.000000e-01	8.000000e-01	9.001990e+00	5.370137e-01	5.370137e-01
8.000000e-01	9.000000e-01	7.912781e+00	5.034782e-01	5.034782e-01
9.000000e-01	1.000000e+00	8.008888e+00	5.145671e-01	5.145671e-01
1.000000e+00	1.100000e+00	9.898985e+00	5.667667e-01	5.667667e-01
1.100000e+00	1.200000e+00	1.105226e+01	6.035961e-01	6.035961e-01
1.200000e+00	1.300000e+00	1.153280e+01	6.145485e-01	6.145485e-01
1.300000e+00	1.400000e+00	1.159687e+01	6.162161e-01	6.162161e-01
1.400000e+00	1.500000e+00	1.364714e+01	6.658464e-01	6.658464e-01
1.500000e+00	1.600000e+00	1.367918e+01	6.712193e-01	6.712193e-01
1.600000e+00	1.700000e+00	1.412768e+01	6.773076e-01	6.773076e-01
1.700000e+00	1.800000e+00	1.569742e+01	7.149026e-01	7.149026e-01
1.800000e+00	1.900000e+00	1.701088e+01	7.437493e-01	7.437493e-01
1.900000e+00	2.000000e+00	1.681866e+01	7.423682e-01	7.423682e-01
2.000000e+00	2.100000e+00	2.011833e+01	8.079059e-01	8.079059e-01
2.100000e+00	2.200000e+00	2.024647e+01	8.142325e-01	8.142325e-01
2.200000e+00	2.300000e+00	2.111143e+01	8.261198e-01	8.261198e-01
2.300000e+00	2.400000e+00	2.146382e+01	8.366126e-01	8.366126e-01
2.400000e+00	2.500000e+00	2.325781e+01	8.714612e-01	8.714612e-01
2.500000e+00	2.600000e+00	2.517994e+01	9.038341e-01	9.038341e-01
2.600000e+00	2.700000e+00	2.687783e+01	9.367318e-01	9.367318e-01
2.700000e+00	2.800000e+00	2.546826e+01	9.145574e-01	9.145574e-01
2.800000e+00	2.900000e+00	2.828739e+01	9.626670e-01	9.626670e-01
2.900000e+00	3.000000e+00	2.918439e+01	9.711581e-01	9.711581e-01
3.000000e+00	3.100000e+00	3.075413e+01	9.967124e-01	9.967124e-01
3.100000e+00	3.200000e+00	2.735836e+01	9.416490e-01	9.416490e-01
3.200000e+00	3.300000e+00	2.079107e+01	8.248765e-01	8.248765e-01
3.300000e+00	3.400000e+00	1.431989e+01	6.803313e-01	6.803313e-01
3.400000e+00	3.500000e+00	1.207740e+01	6.285829e-01	6.285829e-01
3.500000e+00	3.600000e+00	9.226239e+00	5.492953e-01	5.492953e-01
3.600000e+00	3.700000e+00	7.976852e+00	5.115667e-01	5.115667e-01
3.700000e+00	3.800000e+00	6.118790e+00	4.473521e-01	4.473521e-01
3.800000e+00	3.900000e+00	5.766399e+00	4.298020e-01	4.298020e-01
3.900000e+00	4.000000e+00	3.940373e+00	3.666636e-01	3.666636e-01
4.000000e+00	4.100000e+00	3.267626e+00	3.266999e-01	3.266999e-01
4.100000e+00	4.200000e+00	2.530808e+00	2.918578e-01	2.918578e-01
4.200000e+00	4.300000e+00	2.338595e+00	2.811108e-01	2.811108e-01
4.300000e+00	4.400000e+00	1.697884e+00	2.332223e-01	2.332223e-01
4.400000e+00	4.500000e+00	1.217351e+00	2.026106e-01	2.026106e-01
4.500000e+00	4.600000e+00	1.121244e+00	2.000619e-01	2.000619e-01
4.600000e+00	4.700000e+00	8.329243e-01	1.633499e-01	1.633499e-01
4.700000e+00	4.800000e+00	5.446044e-01	1.320860e-01	1.320860e-01
4.800000e+00	4.900000e+00	5.446044e-01	1.320860e-01	1.320860e-01
4.900000e+00	5.000000e+00	1.281422e-01	9.061022e-02	9.061022e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=1.69265217551531578e-05
Title=X600_Qd300
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	1.663180e+00	1.209213e-01	1.209213e-01
5.000000e-01	6.000000e-01	2.422272e+00	1.447441e-01	1.447441e-01
6.000000e-01	7.000000e-01	2.422272e+00	1.447441e-01	1.447441e-01
7.000000e-01	8.000000e-01	2.029932e+00	1.326821e-01	1.326821e-01
8.000000e-01	9.000000e-01	2.345510e+00	1.434821e-01	1.434821e-01
9.000000e-01	1.000000e+00	2.737850e+00	1.532872e-01	1.532872e-01
1.000000e+00	1.100000e+00	2.567267e+00	1.489548e-01	1.489548e-01
1.100000e+00	1.200000e+00	2.763437e+00	1.539974e-01	1.539974e-01
1.200000e+00	1.300000e+00	3.036369e+00	1.627254e-01	1.627254e-01
1.300000e+00	1.400000e+00	3.394592e+00	1.714333e-01	1.714333e-01
1.400000e+00	1.500000e+00	3.164306e+00	1.647248e-01	1.647248e-01
1.500000e+00	1.600000e+00	3.727228e+00	1.791116e-01	1.791116e-01
1.600000e+00	1.700000e+00	4.017219e+00	1.858880e-01	1.858880e-01
1.700000e+00	1.800000e+00	4.213388e+00	1.903353e-01	1.903353e-01
1.800000e+00	1.900000e+00	4.358384e+00	1.939322e-01	1.939322e-01
1.900000e+00	2.000000e+00	4.435146e+00	1.956129e-01	1.956129e-01
2.000000e+00	2.100000e+00	5.100418e+00	2.096153e-01	2.096153e-01
2.100000e+00	2.200000e+00	5.415995e+00	2.166129e-01	2.166129e-01
2.200000e+00	2.300000e+00	5.927743e+00	2.248521e-01	2.248521e-01
2.300000e+00	2.400000e+00	5.902155e+00	2.256595e-01	2.256595e-01
2.400000e+00	2.500000e+00	6.712422e+00	2.407874e-01	2.407874e-01
2.500000e+00	2.600000e+00	6.516253e+00	2.375940e-01	2.375940e-01
2.600000e+00	2.700000e+00	7.155937e+00	2.476386e-01	2.476386e-01
2.700000e+00	2.800000e+00	7.215641e+00	2.498321e-01	2.498321e-01
2.800000e+00	2.900000e+00	7.863855e+00	2.623313e-01	2.623313e-01
2.900000e+00	3.000000e+00	8.477952e+00	2.710599e-01	2.710599e-01
3.000000e+00	3.100000e+00	8.025908e+00	2.649526e-01	2.649526e-01
3.100000e+00	3.200000e+00	7.480044e+00	2.551620e-01	2.551620e-01
3.200000e+00	3.300000e+00	4.767782e+00	2.034514e-01	2.034514e-01
3.300000e+00	3.400000e+00	3.684583e+00	1.780934e-01	1.780934e-01
3.400000e+00	3.500000e+00	2.934019e+00	1.604745e-01	1.604745e-01
3.500000e+00	3.600000e+00	2.422272e+00	1.442406e-01	1.442406e-01
3.600000e+00	3.700000e+00	2.106694e+00	1.351268e-01	1.351268e-01
3.700000e+00	3.800000e+00	1.671709e+00	1.206201e-01	1.206201e-01
3.800000e+00	3.900000e+00	1.364660e+00	1.078859e-01	1.078859e-01
3.900000e+00	4.000000e+00	1.014966e+00	9.382039e-02	9.382039e-02
4.000000e+00	4.100000e+00	8.443835e-01	8.486374e-02	8.486374e-02
4.100000e+00	4.200000e+00	6.652719e-01	7.628683e-02	7.628683e-02
4.200000e+00	4.300000e+00	4.605728e-01	6.495589e-02	6.495589e-02
4.300000e+00	4.400000e+00	4.264563e-01	6.031003e-02	6.031003e-02
4.400000e+00	4.500000e+00	2.388155e-01	4.513190e-02	4.513190e-02
4.500000e+00	4.600000e+00	3.155777e-01	5.326438e-02	5.326438e-02
4.600000e+00	4.700000e+00	2.132282e-01	4.431864e-02	4.431864e-02
4.700000e+00	4.800000e+00	1.023495e-01	2.954576e-02	2.954576e-02
4.800000e+00	4.900000e+00	8.529126e-02	2.697147e-02	2.697147e-02
4.900000e+00	5.000000e+00	3.411651e-02	1.705825e-02	1.705825e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=1.46067922390884243e-05
Title=X1200_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	2.682906e-01	1.991235e-02	1.991235e-02
5.000000e-01	6.000000e-01	3.819507e-01	2.433376e-02	2.433376e-02
6.000000e-01	7.000000e-01	3.964886e-01	2.393571e-02	2.393571e-02
7.000000e-01	8.000000e-01	3.647695e-01	2.250653e-02	2.250653e-02
8.000000e-01	9.000000e-01	4.255644e-01	2.436963e-02	2.436963e-02
9.000000e-01	1.000000e+00	4.414240e-01	2.549065e-02	2.549065e-02
1.000000e+00	1.100000e+00	4.704998e-01	2.596588e-02	2.596588e-02
1.100000e+00	1.200000e+00	4.744647e-01	2.633327e-02	2.633327e-02
1.200000e+00	1.300000e+00	4.744647e-01	2.646559e-02	2.646559e-02
1.300000e+00	1.400000e+00	5.207217e-01	2.714974e-02	2.714974e-02
