# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta\eta$
XLabel=$\Delta\eta_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/jet12_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_deta
ScaledBy=1.71288025274201010e-05
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.841553e+01	9.637324e-01	9.637324e-01
1.000000e-01	2.000000e-01	2.700597e+01	9.400128e-01	9.400128e-01
2.000000e-01	3.000000e-01	2.780686e+01	9.546379e-01	9.546379e-01
3.000000e-01	4.000000e-01	2.966492e+01	9.811460e-01	9.811460e-01
4.000000e-01	5.000000e-01	2.988917e+01	9.961975e-01	9.961975e-01
5.000000e-01	6.000000e-01	2.947271e+01	9.811460e-01	9.811460e-01
6.000000e-01	7.000000e-01	2.658951e+01	9.306865e-01	9.306865e-01
7.000000e-01	8.000000e-01	2.556437e+01	9.151184e-01	9.151184e-01
8.000000e-01	9.000000e-01	2.594880e+01	9.162392e-01	9.162392e-01
9.000000e-01	1.000000e+00	2.380241e+01	8.802493e-01	8.802493e-01
1.000000e+00	1.100000e+00	2.322577e+01	8.673296e-01	8.673296e-01
1.100000e+00	1.200000e+00	2.123957e+01	8.286006e-01	8.286006e-01
1.200000e+00	1.300000e+00	2.328985e+01	8.685121e-01	8.685121e-01
1.300000e+00	1.400000e+00	2.172010e+01	8.402846e-01	8.402846e-01
1.400000e+00	1.500000e+00	2.024647e+01	8.117078e-01	8.117078e-01
1.500000e+00	1.600000e+00	1.934947e+01	7.938097e-01	7.938097e-01
1.600000e+00	1.700000e+00	1.665849e+01	7.361209e-01	7.361209e-01
1.700000e+00	1.800000e+00	1.739530e+01	7.547076e-01	7.547076e-01
1.800000e+00	1.900000e+00	1.534503e+01	7.040537e-01	7.040537e-01
1.900000e+00	2.000000e+00	1.374325e+01	6.712193e-01	6.712193e-01
2.000000e+00	2.100000e+00	1.313458e+01	6.549684e-01	6.549684e-01
2.100000e+00	2.200000e+00	1.230165e+01	6.342716e-01	6.342716e-01
2.200000e+00	2.300000e+00	1.005916e+01	5.694764e-01	5.694764e-01
2.300000e+00	2.400000e+00	9.866950e+00	5.622217e-01	5.622217e-01
2.400000e+00	2.500000e+00	8.777741e+00	5.341394e-01	5.341394e-01
2.500000e+00	2.600000e+00	7.880745e+00	5.044964e-01	5.044964e-01
2.600000e+00	2.700000e+00	7.207999e+00	4.890014e-01	4.890014e-01
2.700000e+00	2.800000e+00	6.407110e+00	4.575592e-01	4.575592e-01
2.800000e+00	2.900000e+00	6.054719e+00	4.404161e-01	4.404161e-01
2.900000e+00	3.000000e+00	5.414008e+00	4.164621e-01	4.164621e-01
3.000000e+00	3.100000e+00	3.716124e+00	3.450335e-01	3.450335e-01
3.100000e+00	3.200000e+00	3.940373e+00	3.638540e-01	3.638540e-01
3.200000e+00	3.300000e+00	3.491875e+00	3.405425e-01	3.405425e-01
3.300000e+00	3.400000e+00	2.402666e+00	2.811108e-01	2.811108e-01
3.400000e+00	3.500000e+00	2.498773e+00	2.865347e-01	2.865347e-01
3.500000e+00	3.600000e+00	2.018240e+00	2.542743e-01	2.542743e-01
3.600000e+00	3.700000e+00	1.313458e+00	2.149010e-01	2.149010e-01
3.700000e+00	3.800000e+00	1.153280e+00	2.076141e-01	2.076141e-01
3.800000e+00	3.900000e+00	1.377529e+00	2.100712e-01	2.100712e-01
3.900000e+00	4.000000e+00	7.047821e-01	1.502600e-01	1.502600e-01
4.000000e+00	4.100000e+00	7.047821e-01	1.502600e-01	1.502600e-01
4.100000e+00	4.200000e+00	4.164622e-01	1.240732e-01	1.240732e-01
4.200000e+00	4.300000e+00	5.125688e-01	1.281422e-01	1.281422e-01
4.300000e+00	4.400000e+00	3.523911e-01	1.240732e-01	1.240732e-01
4.400000e+00	4.500000e+00	2.242489e-01	8.475810e-02	8.475810e-02
4.500000e+00	4.600000e+00	1.281422e-01	6.407110e-02	6.407110e-02
4.600000e+00	4.700000e+00	1.601778e-01	7.163367e-02	7.163367e-02
4.700000e+00	4.800000e+00	3.203555e-02	3.203556e-02	3.203556e-02
4.800000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet12_deta
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet12_deta
ScaledBy=1.69265217551531578e-05
Title=X600_Qd300
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	7.590922e+00	2.553045e-01	2.553045e-01
1.000000e-01	2.000000e-01	7.283874e+00	2.509941e-01	2.509941e-01
2.000000e-01	3.000000e-01	7.650626e+00	2.582791e-01	2.582791e-01
3.000000e-01	4.000000e-01	7.838267e+00	2.602432e-01	2.602432e-01
4.000000e-01	5.000000e-01	8.205020e+00	2.678200e-01	2.678200e-01
5.000000e-01	6.000000e-01	8.051495e+00	2.639899e-01	2.639899e-01
6.000000e-01	7.000000e-01	7.693272e+00	2.581382e-01	2.581382e-01
7.000000e-01	8.000000e-01	7.190054e+00	2.493949e-01	2.493949e-01
8.000000e-01	9.000000e-01	6.900063e+00	2.443859e-01	2.443859e-01
9.000000e-01	1.000000e+00	6.448020e+00	2.354410e-01	2.354410e-01
1.000000e+00	1.100000e+00	6.558898e+00	2.377470e-01	2.377470e-01
1.100000e+00	1.200000e+00	6.567427e+00	2.379000e-01	2.379000e-01
1.200000e+00	1.300000e+00	5.833922e+00	2.256595e-01	2.256595e-01
1.300000e+00	1.400000e+00	5.791277e+00	2.242041e-01	2.242041e-01
1.400000e+00	1.500000e+00	5.074830e+00	2.090941e-01	2.090941e-01
1.500000e+00	1.600000e+00	4.989539e+00	2.073472e-01	2.073472e-01
1.600000e+00	1.700000e+00	4.716607e+00	2.023759e-01	2.023759e-01
1.700000e+00	1.800000e+00	4.051335e+00	1.870583e-01	1.870583e-01
1.800000e+00	1.900000e+00	4.204859e+00	1.916683e-01	1.916683e-01
1.900000e+00	2.000000e+00	3.812519e+00	1.811310e-01	1.811310e-01
2.000000e+00	2.100000e+00	3.369005e+00	1.712210e-01	1.712210e-01
2.100000e+00	2.200000e+00	3.198422e+00	1.656057e-01	1.656057e-01
2.200000e+00	2.300000e+00	2.737850e+00	1.528118e-01	1.528118e-01
2.300000e+00	2.400000e+00	2.635500e+00	1.513770e-01	1.513770e-01
2.400000e+00	2.500000e+00	2.379626e+00	1.434821e-01	1.434821e-01
2.500000e+00	2.600000e+00	1.867879e+00	1.273670e-01	1.273670e-01
2.600000e+00	2.700000e+00	1.782587e+00	1.233041e-01	1.233041e-01
2.700000e+00	2.800000e+00	1.646121e+00	1.197120e-01	1.197120e-01
2.800000e+00	2.900000e+00	1.424364e+00	1.108786e-01	1.108786e-01
2.900000e+00	3.000000e+00	1.296427e+00	1.058437e-01	1.058437e-01
3.000000e+00	3.100000e+00	9.637913e-01	9.066586e-02	9.066586e-02
3.100000e+00	3.200000e+00	8.529126e-01	8.529127e-02	8.529127e-02
3.200000e+00	3.300000e+00	6.993884e-01	7.909587e-02	7.909587e-02
3.300000e+00	3.400000e+00	6.311554e-01	7.435520e-02	7.435520e-02
3.400000e+00	3.500000e+00	5.202767e-01	6.661461e-02	6.661461e-02
3.500000e+00	3.600000e+00	4.691020e-01	6.325370e-02	6.325370e-02
3.600000e+00	3.700000e+00	4.093981e-01	6.031003e-02	6.031003e-02
3.700000e+00	3.800000e+00	2.644029e-01	5.045899e-02	5.045899e-02
3.800000e+00	3.900000e+00	1.876408e-01	4.000515e-02	4.000515e-02
3.900000e+00	4.000000e+00	1.791117e-01	3.908537e-02	3.908537e-02
4.000000e+00	4.100000e+00	2.046990e-01	4.178402e-02	4.178402e-02
4.100000e+00	4.200000e+00	1.535243e-01	3.618602e-02	3.618602e-02
4.200000e+00	4.300000e+00	9.382039e-02	2.828791e-02	2.828791e-02
4.300000e+00	4.400000e+00	5.117476e-02	2.089201e-02	2.089201e-02
4.400000e+00	4.500000e+00	5.117476e-02	2.089201e-02	2.089201e-02
4.500000e+00	4.600000e+00	1.705825e-02	1.206201e-02	1.206201e-02
4.600000e+00	4.700000e+00	3.411651e-02	1.705825e-02	1.705825e-02
4.700000e+00	4.800000e+00	8.529126e-03	8.529127e-03	8.529127e-03
4.800000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_deta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_deta
ScaledBy=1.46067922390884243e-05
Title=X1200_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.078449e+00	3.991232e-02	3.991232e-02
1.000000e-01	2.000000e-01	1.237044e+00	4.175175e-02	4.175175e-02
2.000000e-01	3.000000e-01	1.188144e+00	4.156307e-02	4.156307e-02
3.000000e-01	4.000000e-01	1.297839e+00	4.371375e-02	4.371375e-02
4.000000e-01	5.000000e-01	1.285945e+00	4.300881e-02	4.300881e-02
5.000000e-01	6.000000e-01	1.283301e+00	4.349344e-02	4.349344e-02
6.000000e-01	7.000000e-01	1.082414e+00	3.949437e-02	3.949437e-02
7.000000e-01	8.000000e-01	1.126028e+00	4.030426e-02	4.030426e-02
8.000000e-01	9.000000e-01	1.112811e+00	4.021748e-02	4.021748e-02
9.000000e-01	1.000000e+00	1.045408e+00	3.882530e-02	3.882530e-02
1.000000e+00	1.100000e+00	9.277834e-01	3.691108e-02	3.691108e-02
1.100000e+00	1.200000e+00	8.815264e-01	3.563500e-02	3.563500e-02
