# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta\phi$
XLabel=$\Delta\phi_{jj}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{jj}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/jet12_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi
ScaledBy=1.71288025274201010e-05
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.116597e+01	7.681841e-01	7.681841e-01
6.283185e-02	1.256637e-01	1.055414e+01	7.335631e-01	7.335631e-01
1.256637e-01	1.884956e-01	1.142089e+01	7.630904e-01	7.630904e-01
1.884956e-01	2.513274e-01	1.198176e+01	7.882276e-01	7.882276e-01
2.513274e-01	3.141593e-01	1.269554e+01	8.173698e-01	8.173698e-01
3.141593e-01	3.769911e-01	1.228768e+01	8.013111e-01	8.013111e-01
3.769911e-01	4.398230e-01	1.519386e+01	8.831056e-01	8.831056e-01
4.398230e-01	5.026548e-01	1.565277e+01	8.933505e-01	8.933505e-01
5.026548e-01	5.654867e-01	1.595866e+01	9.020366e-01	9.020366e-01
5.654867e-01	6.283185e-01	1.330740e+01	8.331214e-01	8.331214e-01
6.283185e-01	6.911504e-01	1.473499e+01	8.667641e-01	8.667641e-01
6.911504e-01	7.539822e-01	1.442910e+01	8.637612e-01	8.637612e-01
7.539822e-01	8.168141e-01	1.381724e+01	8.393375e-01	8.393375e-01
8.168141e-01	8.796459e-01	1.305247e+01	8.284278e-01	8.284278e-01
8.796459e-01	9.424778e-01	1.264456e+01	8.157780e-01	8.157780e-01
9.424778e-01	1.005310e+00	1.269548e+01	8.109802e-01	8.109802e-01
1.005310e+00	1.068142e+00	1.478595e+01	8.742285e-01	8.742285e-01
1.068142e+00	1.130973e+00	1.320560e+01	8.393495e-01	8.393495e-01
1.130973e+00	1.193805e+00	1.458201e+01	8.652618e-01	8.652618e-01
1.193805e+00	1.256637e+00	1.366426e+01	8.470437e-01	8.470437e-01
1.256637e+00	1.319469e+00	1.483694e+01	8.757141e-01	8.757141e-01
1.319469e+00	1.382301e+00	1.458201e+01	8.742285e-01	8.742285e-01
1.382301e+00	1.445133e+00	1.519384e+01	8.918915e-01	8.918915e-01
1.445133e+00	1.507964e+00	1.483717e+01	8.757280e-01	8.757280e-01
1.507964e+00	1.570796e+00	1.657046e+01	9.304080e-01	9.304080e-01
1.570796e+00	1.633628e+00	1.504088e+01	8.875087e-01	8.875087e-01
1.633628e+00	1.696460e+00	1.667244e+01	9.276097e-01	9.276097e-01
1.696460e+00	1.759292e+00	1.672342e+01	9.318040e-01	9.318040e-01
1.759292e+00	1.822124e+00	1.871188e+01	9.899698e-01	9.899698e-01
1.822124e+00	1.884956e+00	1.810004e+01	9.633529e-01	9.633529e-01
1.884956e+00	1.947787e+00	1.983389e+01	1.021011e+00	1.021011e+00
1.947787e+00	2.010619e+00	1.952766e+01	1.008184e+00	1.008184e+00
2.010619e+00	2.073451e+00	2.136316e+01	1.048628e+00	1.048628e+00
2.073451e+00	2.136283e+00	1.973160e+01	1.013328e+00	1.013328e+00
2.136283e+00	2.199115e+00	2.075132e+01	1.036159e+00	1.036159e+00
2.199115e+00	2.261947e+00	2.263780e+01	1.081577e+00	1.081577e+00
2.261947e+00	2.324779e+00	2.013948e+01	1.018445e+00	1.018445e+00
2.324779e+00	2.387610e+00	2.274014e+01	1.086391e+00	1.086391e+00
2.387610e+00	2.450442e+00	2.508513e+01	1.140083e+00	1.140083e+00
2.450442e+00	2.513274e+00	2.319866e+01	1.111215e+00	1.111215e+00
2.513274e+00	2.576106e+00	2.641078e+01	1.164894e+00	1.164894e+00
2.576106e+00	2.638938e+00	2.584992e+01	1.159302e+00	1.159302e+00
2.638938e+00	2.701770e+00	2.661472e+01	1.175999e+00	1.175999e+00
2.701770e+00	2.764602e+00	2.717556e+01	1.190281e+00	1.190281e+00
2.764602e+00	2.827433e+00	2.804277e+01	1.208722e+00	1.208722e+00
2.827433e+00	2.890265e+00	2.804232e+01	1.202233e+00	1.202233e+00
2.890265e+00	2.953097e+00	2.946994e+01	1.234241e+00	1.234241e+00
2.953097e+00	3.015929e+00	2.885810e+01	1.227907e+00	1.227907e+00
3.015929e+00	3.078761e+00	2.814429e+01	1.202233e+00	1.202233e+00
3.078761e+00	3.141593e+00	2.819528e+01	1.214068e+00	1.214068e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet12_dphi
ErrorBars=1
LineColor=red
LineStyle=dashed
