# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet invariant mass
XLabel=$m_{jj}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/jet12_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/jet12_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=1.71288025274201010e-05
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	1.877090e-02	3.901459e-03	3.901459e-03
5.426665e+01	5.889739e+01	1.798685e-02	3.527512e-03	3.527512e-03
5.889739e+01	6.392328e+01	2.422160e-02	4.130892e-03	4.130892e-03
6.392328e+01	6.937805e+01	2.172988e-02	3.760518e-03	3.760518e-03
6.937805e+01	7.529829e+01	2.759707e-02	3.939406e-03	3.939406e-03
7.529829e+01	8.172373e+01	3.589731e-02	4.288893e-03	4.288893e-03
8.172373e+01	8.869746e+01	3.445310e-02	3.978302e-03	3.978302e-03
8.869746e+01	9.626628e+01	3.343729e-02	3.809312e-03	3.809312e-03
9.626628e+01	1.044810e+02	4.601733e-02	4.271989e-03	4.271989e-03
1.044810e+02	1.133967e+02	4.527383e-02	4.065198e-03	4.065198e-03
1.133967e+02	1.230731e+02	4.370110e-02	3.832400e-03	3.832400e-03
1.230731e+02	1.335753e+02	5.033104e-02	3.988871e-03	3.988871e-03
1.335753e+02	1.449737e+02	4.946534e-02	3.749715e-03	3.749715e-03
1.449737e+02	1.573448e+02	5.541632e-02	3.805842e-03	3.805842e-03
1.573448e+02	1.707715e+02	5.392266e-02	3.586882e-03	3.586882e-03
1.707715e+02	1.853439e+02	5.605847e-02	3.537944e-03	3.537944e-03
1.853439e+02	2.011599e+02	5.246085e-02	3.284834e-03	3.284834e-03
2.011599e+02	2.183255e+02	5.748095e-02	3.317545e-03	3.317545e-03
2.183255e+02	2.369559e+02	6.551411e-02	3.365189e-03	3.365189e-03
2.369559e+02	2.571760e+02	6.337367e-02	3.208048e-03	3.208048e-03
2.571760e+02	2.791217e+02	6.525146e-02	3.100067e-03	3.100067e-03
2.791217e+02	3.029400e+02	6.630838e-02	3.004497e-03	3.004497e-03
3.029400e+02	3.287907e+02	6.444116e-02	2.842188e-03	2.842188e-03
3.287907e+02	3.568475e+02	7.159152e-02	2.886320e-03	2.886320e-03
3.568475e+02	3.872983e+02	7.206494e-02	2.769492e-03	2.769492e-03
3.872983e+02	4.203477e+02	7.279618e-02	2.677509e-03	2.677509e-03
4.203477e+02	4.562172e+02	6.921633e-02	2.521367e-03	2.521367e-03
4.562172e+02	4.951476e+02	6.830012e-02	2.373586e-03	2.373586e-03
