# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet $\phi$ distribution
XLabel=$\phi^\mathrm{jet}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi^\mathrm{jet}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/jet_phi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/jet_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet_phi
ScaledBy=6.58186216892465549e-06
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.890265e+00	-2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.764602e+00	-2.638938e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.638938e+00	-2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e+00	-2.387610e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.387610e+00	-2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.261947e+00	-2.136283e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.136283e+00	-2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.010619e+00	-1.884956e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.884956e+00	-1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.759292e+00	-1.633628e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.633628e+00	-1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.507964e+00	-1.382301e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.382301e+00	-1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e+00	-1.130973e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.130973e+00	-1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.005310e+00	-8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.796459e-01	-7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.539822e-01	-6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.283185e-01	-5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.026548e-01	-3.769911e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.769911e-01	-2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e-01	-1.256637e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e-01	4.440892e-16	0.000000e+00	0.000000e+00	0.000000e+00
4.440892e-16	1.256637e-01	9.100385e+00	3.008154e-01	3.008154e-01
1.256637e-01	2.513274e-01	9.903648e+00	3.136217e-01	3.136217e-01
2.513274e-01	3.769911e-01	9.364876e+00	3.066600e-01	3.066600e-01
3.769911e-01	5.026548e-01	9.423652e+00	3.069728e-01	3.069728e-01
5.026548e-01	6.283185e-01	9.286508e+00	3.050915e-01	3.050915e-01
6.283185e-01	7.539822e-01	9.276712e+00	3.039886e-01	3.039886e-01
7.539822e-01	8.796459e-01	9.472632e+00	3.055629e-01	3.055629e-01
8.796459e-01	1.005310e+00	9.149335e+00	3.028808e-01	3.028808e-01
1.005310e+00	1.130973e+00	9.041659e+00	3.004979e-01	3.004979e-01
1.130973e+00	1.256637e+00	9.208118e+00	3.035140e-01	3.035140e-01
1.256637e+00	1.382301e+00	8.669348e+00	2.950168e-01	2.950168e-01
1.382301e+00	1.507964e+00	8.875134e+00	2.968027e-01	2.968027e-01
1.507964e+00	1.633628e+00	8.963219e+00	2.985733e-01	2.985733e-01
1.633628e+00	1.759292e+00	9.345262e+00	3.044610e-01	3.044610e-01
1.759292e+00	1.884956e+00	9.188527e+00	3.038300e-01	3.038300e-01
1.884956e+00	2.010619e+00	9.306152e+00	3.035164e-01	3.035164e-01
2.010619e+00	2.136283e+00	9.599957e+00	3.097727e-01	3.097727e-01
2.136283e+00	2.261947e+00	8.865268e+00	2.972849e-01	2.972849e-01
2.261947e+00	2.387610e+00	9.149416e+00	3.035164e-01	3.035164e-01
2.387610e+00	2.513274e+00	9.413834e+00	3.065028e-01	3.065028e-01
2.513274e+00	2.638938e+00	8.943627e+00	2.988946e-01	2.988946e-01
2.638938e+00	2.764602e+00	9.129751e+00	3.019291e-01	3.019291e-01
2.764602e+00	2.890265e+00	9.364928e+00	3.057215e-01	3.057215e-01
2.890265e+00	3.015929e+00	9.217914e+00	3.043034e-01	3.043034e-01
3.015929e+00	3.141593e+00	9.266894e+00	3.047760e-01	3.047760e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/jet_phi
ErrorBars=1
LineColor=red
