# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Missing transverse energy
XLabel=$E_\mathrm{T}^\mathrm{miss}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}E_\mathrm{T}^\mathrm{miss}$ [pb/GeV]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/met
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/met
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/met
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/met
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/met
ScaledBy=1.57525677826006370e-05
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.178465e-03	8.333002e-04	8.333002e-04
5.000000e+00	1.000000e+01	7.660020e-03	2.429467e-03	2.429467e-03
1.000000e+01	1.500000e+01	1.414158e-02	3.004507e-03	3.004507e-03
1.500000e+01	2.000000e+01	9.427716e-03	2.356929e-03	2.356929e-03
2.000000e+01	2.500000e+01	1.767697e-02	3.333201e-03	3.333201e-03
2.500000e+01	3.000000e+01	3.064008e-02	4.249014e-03	4.249014e-03
3.000000e+01	3.500000e+01	3.947856e-02	4.894531e-03	4.894531e-03
3.500000e+01	4.000000e+01	3.771086e-02	4.786946e-03	4.786946e-03
4.000000e+01	4.500000e+01	3.712164e-02	4.676887e-03	4.676887e-03
4.500000e+01	5.000000e+01	4.654936e-02	5.303091e-03	5.303091e-03
5.000000e+01	5.500000e+01	4.301396e-02	5.034403e-03	5.034403e-03
5.500000e+01	6.000000e+01	4.419242e-02	5.102902e-03	5.102902e-03
6.000000e+01	6.500000e+01	5.597706e-02	5.803265e-03	5.803265e-03
6.500000e+01	7.000000e+01	6.010170e-02	6.009014e-03	6.009014e-03
7.000000e+01	7.500000e+01	6.069092e-02	6.151766e-03	6.151766e-03
7.500000e+01	8.000000e+01	7.247558e-02	6.534903e-03	6.534903e-03
8.000000e+01	8.500000e+01	7.601096e-02	6.744073e-03	6.744073e-03
8.500000e+01	9.000000e+01	6.304786e-02	6.151766e-03	6.151766e-03
9.000000e+01	9.500000e+01	7.483250e-02	6.692393e-03	6.692393e-03
9.500000e+01	1.000000e+02	6.952942e-02	6.454716e-03	6.454716e-03
1.000000e+02	1.050000e+02	9.015254e-02	7.335882e-03	7.335882e-03
1.050000e+02	1.100000e+02	9.309870e-02	7.453265e-03	7.453265e-03
1.100000e+02	1.150000e+02	7.129710e-02	6.481555e-03	6.481555e-03
1.150000e+02	1.200000e+02	9.074178e-02	7.359508e-03	7.359508e-03
1.200000e+02	1.250000e+02	8.249252e-02	7.119722e-03	7.119722e-03
1.250000e+02	1.300000e+02	7.601096e-02	6.692393e-03	6.692393e-03
1.300000e+02	1.350000e+02	8.661714e-02	7.192496e-03	7.192496e-03
