# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=MET $\phi$ distribution
XLabel=$\phi^\mathrm{miss}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi^\mathrm{miss}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/met_phi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd600.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd1000.yoda.gz/JetMETAnalysis/met_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/met_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/met_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/met_phi
ScaledBy=1.57525677826006370e-05
Title=X600_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.890265e+00	-2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.764602e+00	-2.638938e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.638938e+00	-2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e+00	-2.387610e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.387610e+00	-2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.261947e+00	-2.136283e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.136283e+00	-2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.010619e+00	-1.884956e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.884956e+00	-1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.759292e+00	-1.633628e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.633628e+00	-1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.507964e+00	-1.382301e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.382301e+00	-1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e+00	-1.130973e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.130973e+00	-1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.005310e+00	-8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.796459e-01	-7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.539822e-01	-6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.283185e-01	-5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.026548e-01	-3.769911e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.769911e-01	-2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e-01	-1.256637e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e-01	4.440892e-16	0.000000e+00	0.000000e+00	0.000000e+00
4.440892e-16	1.256637e-01	9.776483e+00	4.867269e-01	4.867269e-01
1.256637e-01	2.513274e-01	9.049694e+00	4.629979e-01	4.629979e-01
2.513274e-01	3.769911e-01	9.213806e+00	4.694819e-01	4.694819e-01
3.769911e-01	5.026548e-01	8.979363e+00	4.635911e-01	4.635911e-01
5.026548e-01	6.283185e-01	9.729596e+00	4.821885e-01	4.821885e-01
6.283185e-01	7.539822e-01	8.416687e+00	4.515789e-01	4.515789e-01
7.539822e-01	8.796459e-01	9.518596e+00	4.816182e-01	4.816182e-01
8.796459e-01	1.005310e+00	1.008123e+01	4.872897e-01	4.872897e-01
1.005310e+00	1.130973e+00	9.964102e+00	4.855990e-01	4.855990e-01
1.130973e+00	1.256637e+00	8.791786e+00	4.576234e-01	4.576234e-01
1.256637e+00	1.382301e+00	9.237236e+00	4.712337e-01	4.712337e-01
1.382301e+00	1.507964e+00	8.580847e+00	4.521896e-01	4.521896e-01
1.507964e+00	1.633628e+00	9.565460e+00	4.781810e-01	4.781810e-01
1.633628e+00	1.759292e+00	9.706129e+00	4.781810e-01	4.781810e-01
1.759292e+00	1.884956e+00	9.166897e+00	4.706502e-01	4.706502e-01
1.884956e+00	2.010619e+00	8.838743e+00	4.588265e-01	4.588265e-01
2.010619e+00	2.136283e+00	9.495122e+00	4.764537e-01	4.764537e-01
2.136283e+00	2.261947e+00	8.979342e+00	4.612126e-01	4.612126e-01
2.261947e+00	2.387610e+00	9.307640e+00	4.718203e-01	4.718203e-01
2.387610e+00	2.513274e+00	9.706129e+00	4.861608e-01	4.861608e-01
2.513274e+00	2.638938e+00	9.307566e+00	4.718165e-01	4.718165e-01
2.638938e+00	2.764602e+00	9.917128e+00	4.821874e-01	4.821874e-01
2.764602e+00	2.890265e+00	8.768404e+00	4.630004e-01	4.630004e-01
2.890265e+00	3.015929e+00	8.791786e+00	4.600193e-01	4.600193e-01
3.015929e+00	3.141593e+00	8.909003e+00	4.618081e-01	4.618081e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd300.yoda.gz/JetMETAnalysis/met_phi
ErrorBars=1
LineColor=red
LineStyle=dashed
