# BEGIN PLOT
Legend=1
LogY=1
Title=1D differential xsection vs $p_{T}^{\gamma\gamma}$ in bins of $|y_{\gamma\gamma}|$
XLabel=Bin number
YLabel=$d\sigma/dp_{T}^{\gamma\gamma}$ [fb/GeV]
DrawOnly=/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r21.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_pw.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
LegendOnly=/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r21.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_pw.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2022_I2023464/d09-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2022_I2023464/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2022_I2023464/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	3.235000e-01	5.156537e-02	5.156537e-02
1.500000e+00	2.500000e+00	7.347100e-02	1.586440e-02	1.586440e-02
2.500000e+00	3.500000e+00	8.806500e-03	1.583469e-03	1.583469e-03
3.500000e+00	4.500000e+00	2.766800e-01	5.475413e-02	5.475413e-02
4.500000e+00	5.500000e+00	8.380500e-02	1.693382e-02	1.693382e-02
5.500000e+00	6.500000e+00	7.463500e-03	1.510624e-03	1.510624e-03
6.500000e+00	7.500000e+00	1.966900e-01	5.298663e-02	5.298663e-02
7.500000e+00	8.500000e+00	4.613500e-02	1.706571e-02	1.706571e-02
8.500000e+00	9.500000e+00	4.028300e-03	1.450918e-03	1.450918e-03
9.500000e+00	1.050000e+01	1.740400e-01	4.483363e-02	4.483363e-02
1.050000e+01	1.150000e+01	1.325300e-03	1.406225e-02	1.406225e-02
1.150000e+01	1.250000e+01	2.320900e-03	1.418965e-03	1.418965e-03
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r21.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r21.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
ScaledBy=6.56693827362898538e-03
Title=r21
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	2.317243e-01	5.269879e-03	5.269879e-03
1.500000e+00	2.500000e+00	6.118769e-02	2.099271e-03	2.099271e-03
2.500000e+00	3.500000e+00	5.574517e-03	3.645536e-04	3.645536e-04
3.500000e+00	4.500000e+00	1.946692e-01	4.799649e-03	4.799649e-03
4.500000e+00	5.500000e+00	5.088076e-02	1.939623e-03	1.939623e-03
5.500000e+00	6.500000e+00	4.934818e-03	3.349264e-04	3.349264e-04
6.500000e+00	7.500000e+00	1.555901e-01	4.270164e-03	4.270164e-03
7.500000e+00	8.500000e+00	3.630781e-02	1.669921e-03	1.669921e-03
8.500000e+00	9.500000e+00	3.025876e-03	2.795564e-04	2.795564e-04
9.500000e+00	1.050000e+01	1.085187e-01	3.553778e-03	3.553778e-03
1.050000e+01	1.150000e+01	2.905248e-02	1.449542e-03	1.449542e-03
1.150000e+01	1.250000e+01	2.122175e-03	2.304297e-04	2.304297e-04
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
ScaledBy=5.14555106965377314e-03
Title=r23
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	2.382464e-01	5.470299e-03	5.470299e-03
1.500000e+00	2.500000e+00	5.489006e-02	2.403740e-03	2.403740e-03
2.500000e+00	3.500000e+00	7.867908e-03	4.966986e-04	4.966986e-04
3.500000e+00	4.500000e+00	2.160200e-01	5.118239e-03	5.118239e-03
4.500000e+00	5.500000e+00	5.217476e-02	2.242805e-03	2.242805e-03
5.500000e+00	6.500000e+00	5.346140e-03	4.679191e-04	4.679191e-04
6.500000e+00	7.500000e+00	1.693331e-01	4.572010e-03	4.572010e-03
7.500000e+00	8.500000e+00	3.457695e-02	1.907498e-03	1.907498e-03
