# BEGIN PLOT
Legend=1
LogY=1
Title=1D differential xsection vs $p_{T}^{\gamma\gamma}$ in bins of $\tau_{C,j1}$
XLabel=Bin number
YLabel=$d\sigma/dp_{T}^{\gamma\gamma}$ [fb/GeV]
DrawOnly=/ATLAS_2022_I2023464/d49-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r21.yoda.gz/ATLAS_2022_I2023464/d49-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23.yoda.gz/ATLAS_2022_I2023464/d49-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_pw.yoda.gz/ATLAS_2022_I2023464/d49-x01-y01
LegendOnly=/ATLAS_2022_I2023464/d49-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r21.yoda.gz/ATLAS_2022_I2023464/d49-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23.yoda.gz/ATLAS_2022_I2023464/d49-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_pw.yoda.gz/ATLAS_2022_I2023464/d49-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2022_I2023464/d49-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2022_I2023464/d49-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2022_I2023464/d49-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	1.124700e-01	1.636555e-02	1.636555e-02
1.500000e+00	2.500000e+00	1.272300e-01	3.513476e-02	3.513476e-02
2.500000e+00	3.500000e+00	5.687200e-03	1.737628e-03	1.737628e-03
3.500000e+00	4.500000e+00	6.103300e-02	2.028973e-02	2.028973e-02
4.500000e+00	5.500000e+00	4.673900e-03	1.477443e-03	1.477443e-03
5.500000e+00	6.500000e+00	3.415500e-03	7.526295e-03	7.526295e-03
6.500000e+00	7.500000e+00	3.013300e-03	8.731137e-04	8.731137e-04
7.500000e+00	8.500000e+00	9.043600e-03	3.860129e-03	3.860129e-03
8.500000e+00	9.500000e+00	1.065000e-03	3.544834e-04	3.544834e-04
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r21.yoda.gz/ATLAS_2022_I2023464/d49-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r21.yoda.gz/ATLAS_2022_I2023464/d49-x01-y01
ScaledBy=6.56693827362898538e-03
Title=r21
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	7.995773e-02	1.096439e-03	1.096439e-03
1.500000e+00	2.500000e+00	9.140784e-02	2.322058e-03	2.322058e-03
2.500000e+00	3.500000e+00	4.250442e-03	3.215747e-04	3.215747e-04
3.500000e+00	4.500000e+00	3.444727e-02	1.222531e-03	1.222531e-03
4.500000e+00	5.500000e+00	2.690796e-03	2.505784e-04	2.505784e-04
5.500000e+00	6.500000e+00	1.277468e-02	5.782199e-04	5.782199e-04
6.500000e+00	7.500000e+00	1.074287e-03	1.963225e-04	1.963225e-04
7.500000e+00	8.500000e+00	7.762896e-03	3.999484e-04	3.999484e-04
8.500000e+00	9.500000e+00	1.769071e-03	1.424168e-04	1.424168e-04
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23.yoda.gz/ATLAS_2022_I2023464/d49-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23.yoda.gz/ATLAS_2022_I2023464/d49-x01-y01
ScaledBy=5.14555106965377314e-03
Title=r23
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	8.763064e-02	1.151605e-03	1.151605e-03
1.500000e+00	2.500000e+00	8.532533e-02	2.712703e-03	2.712703e-03
2.500000e+00	3.500000e+00	6.166109e-03	4.664045e-04	4.664045e-04
3.500000e+00	4.500000e+00	3.265219e-02	1.382194e-03	1.382194e-03
4.500000e+00	5.500000e+00	3.945162e-03	3.727346e-04	3.727346e-04
5.500000e+00	6.500000e+00	1.228324e-02	6.370620e-04	6.370620e-04
6.500000e+00	7.500000e+00	2.130985e-03	3.196662e-04	3.196662e-04
7.500000e+00	8.500000e+00	8.032437e-03	4.944012e-04	4.944012e-04
8.500000e+00	9.500000e+00	1.914020e-03	2.259259e-04	2.259259e-04
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_pw.yoda.gz/ATLAS_2022_I2023464/d49-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_pw.yoda.gz/ATLAS_2022_I2023464/d49-x01-y01
ScaledBy=3.24345023330643270e-05
Title=NNLO PhPy8
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	8.041330e-02	4.813757e-04	4.813757e-04
1.500000e+00	2.500000e+00	9.417056e-02	9.709834e-04	9.709834e-04
2.500000e+00	3.500000e+00	4.275604e-03	1.307701e-04	1.307701e-04
3.500000e+00	4.500000e+00	3.751913e-02	5.594220e-04	5.594220e-04
4.500000e+00	5.500000e+00	2.730730e-03	1.100701e-04	1.100701e-04
5.500000e+00	6.500000e+00	1.486862e-02	2.726466e-04	2.726466e-04
6.500000e+00	7.500000e+00	1.126562e-03	8.665861e-05	8.665861e-05
7.500000e+00	8.500000e+00	9.375128e-03	1.936415e-04	1.936415e-04
8.500000e+00	9.500000e+00	1.079900e-03	5.195669e-05	5.195669e-05
# END HISTO1D

