# BEGIN PLOT
Legend=1
LogY=1
Title=1D differential xsection vs $p_{T}^{\gamma\gamma}$ in bins of $p_{T}^{\gamma\gamma j}$
XLabel=Bin number
YLabel=$d\sigma/dp_{T}^{\gamma\gamma}$ [fb/GeV]
DrawOnly=/ATLAS_2022_I2023464/d47-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_pw.yoda.gz/ATLAS_2022_I2023464/d47-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23.yoda.gz/ATLAS_2022_I2023464/d47-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23626.yoda.gz/ATLAS_2022_I2023464/d47-x01-y01
LegendOnly=/ATLAS_2022_I2023464/d47-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_pw.yoda.gz/ATLAS_2022_I2023464/d47-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23.yoda.gz/ATLAS_2022_I2023464/d47-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23626.yoda.gz/ATLAS_2022_I2023464/d47-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2022_I2023464/d47-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2022_I2023464/d47-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2022_I2023464/d47-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	1.139700e-01	1.640878e-02	1.640878e-02
1.500000e+00	2.500000e+00	1.190100e-01	3.166153e-02	3.166153e-02
2.500000e+00	3.500000e+00	4.520800e-03	2.352710e-03	2.352710e-03
3.500000e+00	4.500000e+00	1.577100e-02	5.027273e-02	5.027273e-02
4.500000e+00	5.500000e+00	6.036700e-02	2.179631e-02	2.179631e-02
5.500000e+00	6.500000e+00	8.582600e-03	2.211993e-03	2.211993e-03
6.500000e+00	7.500000e+00	2.392900e-02	1.820627e-02	1.820627e-02
7.500000e+00	8.500000e+00	2.068100e-02	4.847041e-03	4.847041e-03
8.500000e+00	9.500000e+00	1.608500e-03	6.247275e-04	6.247275e-04
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_pw.yoda.gz/ATLAS_2022_I2023464/d47-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_pw.yoda.gz/ATLAS_2022_I2023464/d47-x01-y01
ScaledBy=3.24345023330643270e-05
Title=NNLO PhPy8
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	8.041330e-02	4.813757e-04	4.813757e-04
1.500000e+00	2.500000e+00	9.476946e-02	9.742256e-04	9.742256e-04
2.500000e+00	3.500000e+00	5.999948e-03	1.555760e-04	1.555760e-04
3.500000e+00	4.500000e+00	3.419683e-02	8.716988e-04	8.716988e-04
4.500000e+00	5.500000e+00	5.363256e-02	8.457508e-04	8.457508e-04
5.500000e+00	6.500000e+00	4.916934e-03	1.462053e-04	1.462053e-04
6.500000e+00	7.500000e+00	1.356124e-02	4.117034e-04	4.117034e-04
7.500000e+00	8.500000e+00	1.415751e-02	2.885684e-04	2.885684e-04
8.500000e+00	9.500000e+00	1.429867e-03	8.454981e-05	8.454981e-05
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23.yoda.gz/ATLAS_2022_I2023464/d47-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23.yoda.gz/ATLAS_2022_I2023464/d47-x01-y01
ScaledBy=5.14555106965377314e-03
Title=r23
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	8.763064e-02	1.151605e-03	1.151605e-03
1.500000e+00	2.500000e+00	8.313420e-02	2.542374e-03	2.542374e-03
2.500000e+00	3.500000e+00	5.196852e-03	4.968681e-04	4.968681e-04
3.500000e+00	4.500000e+00	2.583533e-02	2.324793e-03	2.324793e-03
4.500000e+00	5.500000e+00	5.141861e-02	2.367841e-03	2.367841e-03
5.500000e+00	6.500000e+00	6.500550e-03	5.118932e-04	5.118932e-04
6.500000e+00	7.500000e+00	1.208346e-02	9.455001e-04	9.455001e-04
7.500000e+00	8.500000e+00	1.583075e-02	7.347678e-04	7.347678e-04
8.500000e+00	9.500000e+00	2.616472e-03	2.936322e-04	2.936322e-04
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23626.yoda.gz/ATLAS_2022_I2023464/d47-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_13TeV_r23626.yoda.gz/ATLAS_2022_I2023464/d47-x01-y01
ScaledBy=5.54453616512823669e-03
Title=r23626
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	8.605248e-02	1.185535e-03	1.185535e-03
1.500000e+00	2.500000e+00	7.996568e-02	2.610011e-03	2.610011e-03
