# BEGIN PLOT
Legend=1
LogY=1
Title=1D differential xsection vs $p_{T}^{\gamma\gamma}$ ($p_{T}^{j1}<60$ GeV)
XLabel=$p_{T}^{\gamma\gamma}$ [GeV]
YLabel=$d\sigma/dp_{T}^{\gamma\gamma}$ [fb/GeV]
XMin=1
LogX=1
DrawOnly=/ATLAS_2022_I2023464/d41-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r21.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r23.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_pw.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
LegendOnly=/ATLAS_2022_I2023464/d41-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r21.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r23.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_pw.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2022_I2023464/d41-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2022_I2023464/d41-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2022_I2023464/d41-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	3.926200e-01	3.040533e-01	3.040533e-01
5.000000e+00	1.000000e+01	1.009400e+00	4.224643e-01	4.224643e-01
1.000000e+01	1.500000e+01	1.332200e+00	4.415788e-01	4.415788e-01
1.500000e+01	2.000000e+01	1.713900e+00	4.531047e-01	4.531047e-01
2.000000e+01	3.000000e+01	1.015900e+00	2.309808e-01	2.309808e-01
3.000000e+01	4.000000e+01	9.012100e-01	1.936672e-01	1.936672e-01
4.000000e+01	5.000000e+01	5.445000e-01	1.617715e-01	1.617715e-01
5.000000e+01	6.000000e+01	2.550800e-01	1.243577e-01	1.243577e-01
6.000000e+01	7.000000e+01	2.117900e-01	1.001388e-01	1.001388e-01
7.000000e+01	8.000000e+01	3.246000e-01	8.580725e-02	8.580725e-02
8.000000e+01	1.000000e+02	2.896500e-02	3.607204e-02	3.607204e-02
1.000000e+02	1.300000e+04	7.056000e-05	2.822713e-05	2.822713e-05
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r21.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r21.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
ScaledBy=1.00008175702771592e-02
Title=r21
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	3.748658e-01	2.179707e-02	2.179707e-02
5.000000e+00	1.000000e+01	9.211600e-01	3.745762e-02	3.745762e-02
1.000000e+01	1.500000e+01	1.241966e+00	4.637242e-02	4.637242e-02
1.500000e+01	2.000000e+01	1.476701e+00	4.976194e-02	4.976194e-02
2.000000e+01	3.000000e+01	1.313098e+00	3.277482e-02	3.277482e-02
3.000000e+01	4.000000e+01	9.684628e-01	2.772097e-02	2.772097e-02
4.000000e+01	5.000000e+01	6.515696e-01	2.322981e-02	2.322981e-02
5.000000e+01	6.000000e+01	4.324829e-01	1.868486e-02	1.868486e-02
6.000000e+01	7.000000e+01	2.585650e-01	1.496734e-02	1.496734e-02
7.000000e+01	8.000000e+01	1.682273e-01	1.170441e-02	1.170441e-02
8.000000e+01	1.000000e+02	7.628910e-02	5.337867e-03	5.337867e-03
1.000000e+02	1.300000e+04	4.659425e-05	5.381559e-06	5.381559e-06
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r23.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r23.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
ScaledBy=3.07024839239755524e-03
Title=r23
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	3.257748e-01	1.163701e-02	1.163701e-02
5.000000e+00	1.000000e+01	5.884866e-01	1.692497e-02	1.692497e-02
1.000000e+01	1.500000e+01	6.315540e-01	1.884564e-02	1.884564e-02
1.500000e+01	2.000000e+01	5.977154e-01	1.980063e-02	1.980063e-02
2.000000e+01	3.000000e+01	4.597455e-01	1.328231e-02	1.328231e-02
3.000000e+01	4.000000e+01	3.191609e-01	1.152362e-02	1.152362e-02
4.000000e+01	5.000000e+01	2.165680e-01	9.774054e-03	9.774054e-03
5.000000e+01	6.000000e+01	1.482752e-01	8.007118e-03	8.007118e-03
6.000000e+01	7.000000e+01	9.982431e-02	6.663828e-03	6.663828e-03
7.000000e+01	8.000000e+01	6.014068e-02	5.308202e-03	5.308202e-03
8.000000e+01	1.000000e+02	3.060869e-02	2.626098e-03	2.626098e-03
1.000000e+02	1.300000e+04	3.004709e-05	2.750159e-06	2.750159e-06
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_pw.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_pw.yoda.gz/ATLAS_2022_I2023464/d41-x01-y01
ScaledBy=2.28242794195637878e-05
Title=NNLO PW
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	2.841492e-01	6.680632e-03	6.680632e-03
5.000000e+00	1.000000e+01	6.444978e-01	9.526871e-03	9.526871e-03
1.000000e+01	1.500000e+01	7.007958e-01	9.931886e-03	9.931886e-03
1.500000e+01	2.000000e+01	6.449914e-01	9.529183e-03	9.529183e-03
2.000000e+01	3.000000e+01	5.258577e-01	6.083730e-03	6.083730e-03
3.000000e+01	4.000000e+01	3.799804e-01	5.170887e-03	5.170887e-03
4.000000e+01	5.000000e+01	2.717034e-01	4.373780e-03	4.373780e-03
5.000000e+01	6.000000e+01	1.901387e-01	3.663418e-03	3.663418e-03
6.000000e+01	7.000000e+01	1.208147e-01	2.915645e-03	2.915645e-03
7.000000e+01	8.000000e+01	7.191184e-02	2.249443e-03	2.249443e-03
8.000000e+01	1.000000e+02	3.426763e-02	1.098006e-03	1.098006e-03
1.000000e+02	1.300000e+04	2.089098e-05	1.067478e-06	1.067478e-06
# END HISTO1D

