# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta R$
XLabel=$\Delta R_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=1.03949231414651749e-07
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	2.078985e-06	1.470064e-06	1.470064e-06
4.000000e-01	5.000000e-01	4.532186e-04	2.170524e-05	2.170524e-05
5.000000e-01	6.000000e-01	9.885572e-04	3.205617e-05	3.205617e-05
6.000000e-01	7.000000e-01	8.950029e-04	3.050162e-05	3.050162e-05
7.000000e-01	8.000000e-01	7.702638e-04	2.829635e-05	2.829635e-05
8.000000e-01	9.000000e-01	6.735910e-04	2.646115e-05	2.646115e-05
9.000000e-01	1.000000e+00	5.426150e-04	2.374961e-05	2.374961e-05
1.000000e+00	1.100000e+00	5.031143e-04	2.286883e-05	2.286883e-05
1.100000e+00	1.200000e+00	4.469817e-04	2.155537e-05	2.155537e-05
1.200000e+00	1.300000e+00	3.419930e-04	1.885468e-05	1.885468e-05
1.300000e+00	1.400000e+00	3.045712e-04	1.779324e-05	1.779324e-05
1.400000e+00	1.500000e+00	2.806629e-04	1.708060e-05	1.708060e-05
1.500000e+00	1.600000e+00	2.151749e-04	1.495569e-05	1.495569e-05
1.600000e+00	1.700000e+00	1.933456e-04	1.417678e-05	1.417678e-05
1.700000e+00	1.800000e+00	1.881481e-04	1.398494e-05	1.398494e-05
1.800000e+00	1.900000e+00	1.715162e-04	1.335252e-05	1.335252e-05
1.900000e+00	2.000000e+00	1.902271e-04	1.406199e-05	1.406199e-05
2.000000e+00	2.100000e+00	1.735952e-04	1.343320e-05	1.343320e-05
2.100000e+00	2.200000e+00	1.694372e-04	1.327135e-05	1.327135e-05
2.200000e+00	2.300000e+00	2.047800e-04	1.458997e-05	1.458997e-05
2.300000e+00	2.400000e+00	1.964640e-04	1.429066e-05	1.429066e-05
2.400000e+00	2.500000e+00	2.130959e-04	1.488327e-05	1.488327e-05
2.500000e+00	2.600000e+00	2.484387e-04	1.607016e-05	1.607016e-05
2.600000e+00	2.700000e+00	2.629916e-04	1.653414e-05	1.653414e-05
2.700000e+00	2.800000e+00	2.993738e-04	1.764077e-05	1.764077e-05
2.800000e+00	2.900000e+00	4.126784e-04	2.071174e-05	2.071174e-05
2.900000e+00	3.000000e+00	3.762962e-04	1.977769e-05	1.977769e-05
3.000000e+00	3.100000e+00	4.792060e-04	2.231885e-05	2.231885e-05
3.100000e+00	3.200000e+00	4.656926e-04	2.200190e-05	2.200190e-05
3.200000e+00	3.300000e+00	2.422017e-04	1.586716e-05	1.586716e-05
3.300000e+00	3.400000e+00	1.943851e-04	1.421484e-05	1.421484e-05
3.400000e+00	3.500000e+00	1.091467e-04	1.065162e-05	1.065162e-05
3.500000e+00	3.600000e+00	8.835685e-05	9.583645e-06	9.583645e-06
3.600000e+00	3.700000e+00	5.509309e-05	7.567619e-06	7.567619e-06
3.700000e+00	3.800000e+00	5.197462e-05	7.350320e-06	7.350320e-06
3.800000e+00	3.900000e+00	3.742172e-05	6.236954e-06	6.236954e-06
3.900000e+00	4.000000e+00	2.078985e-05	4.648751e-06	4.648751e-06
4.000000e+00	4.100000e+00	1.975035e-05	4.531042e-06	4.531042e-06
4.100000e+00	4.200000e+00	1.455289e-05	3.889424e-06	3.889424e-06
4.200000e+00	4.300000e+00	7.276446e-06	2.750238e-06	2.750238e-06
4.300000e+00	4.400000e+00	5.197462e-06	2.324375e-06	2.324375e-06
4.400000e+00	4.500000e+00	3.118477e-06	1.800454e-06	1.800454e-06
4.500000e+00	4.600000e+00	1.039492e-06	1.039492e-06	1.039492e-06
4.600000e+00	4.700000e+00	3.118477e-06	1.800454e-06	1.800454e-06
4.700000e+00	4.800000e+00	3.118477e-06	1.800454e-06	1.800454e-06
4.800000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.000000e+00	1.039492e-06	1.039492e-06	1.039492e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=1.96730639154521465e-08
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	8.990590e-05	4.205621e-06	4.205621e-06
5.000000e-01	6.000000e-01	2.018456e-04	6.301525e-06	6.301525e-06
6.000000e-01	7.000000e-01	1.774510e-04	5.908474e-06	5.908474e-06
7.000000e-01	8.000000e-01	1.355474e-04	5.163945e-06	5.163945e-06
8.000000e-01	9.000000e-01	1.217763e-04	4.894601e-06	4.894601e-06
9.000000e-01	1.000000e+00	1.013163e-04	4.464529e-06	4.464529e-06
1.000000e+00	1.100000e+00	7.987264e-05	3.964013e-06	3.964013e-06
1.100000e+00	1.200000e+00	7.416745e-05	3.819818e-06	3.819818e-06
1.200000e+00	1.300000e+00	7.082303e-05	3.732701e-06	3.732701e-06
1.300000e+00	1.400000e+00	5.193689e-05	3.196495e-06	3.196495e-06
1.400000e+00	1.500000e+00	4.564151e-05	2.996512e-06	2.996512e-06
1.500000e+00	1.600000e+00	4.996958e-05	3.135370e-06	3.135370e-06
1.600000e+00	1.700000e+00	4.052651e-05	2.823616e-06	2.823616e-06
1.700000e+00	1.800000e+00	3.639517e-05	2.675826e-06	2.675826e-06
1.800000e+00	1.900000e+00	4.072324e-05	2.830461e-06	2.830461e-06
1.900000e+00	2.000000e+00	3.639517e-05	2.675826e-06	2.675826e-06
2.000000e+00	2.100000e+00	3.875594e-05	2.761246e-06	2.761246e-06
2.100000e+00	2.200000e+00	3.600171e-05	2.661323e-06	2.661323e-06
2.200000e+00	2.300000e+00	3.816574e-05	2.740141e-06	2.740141e-06
2.300000e+00	2.400000e+00	4.091997e-05	2.837290e-06	2.837290e-06
2.400000e+00	2.500000e+00	3.875594e-05	2.761246e-06	2.761246e-06
2.500000e+00	2.600000e+00	5.055977e-05	3.153832e-06	3.153832e-06
2.600000e+00	2.700000e+00	5.449439e-05	3.274251e-06	3.274251e-06
2.700000e+00	2.800000e+00	6.393746e-05	3.546612e-06	3.546612e-06
2.800000e+00	2.900000e+00	7.810206e-05	3.919830e-06	3.919830e-06
2.900000e+00	3.000000e+00	9.167648e-05	4.246831e-06	4.246831e-06
3.000000e+00	3.100000e+00	1.009228e-04	4.455851e-06	4.455851e-06
3.100000e+00	3.200000e+00	1.028901e-04	4.499071e-06	4.499071e-06
3.200000e+00	3.300000e+00	5.842900e-05	3.390394e-06	3.390394e-06
3.300000e+00	3.400000e+00	4.524805e-05	2.983568e-06	2.983568e-06
3.400000e+00	3.500000e+00	3.049325e-05	2.449277e-06	2.449277e-06
3.500000e+00	3.600000e+00	2.596844e-05	2.260263e-06	2.260263e-06
3.600000e+00	3.700000e+00	1.396788e-05	1.657682e-06	1.657682e-06
3.700000e+00	3.800000e+00	1.298422e-05	1.598247e-06	1.598247e-06
3.800000e+00	3.900000e+00	8.459417e-06	1.290049e-06	1.290049e-06
3.900000e+00	4.000000e+00	6.885572e-06	1.163874e-06	1.163874e-06
4.000000e+00	4.100000e+00	2.557498e-06	7.093224e-07	7.093224e-07
4.100000e+00	4.200000e+00	5.114997e-06	1.003134e-06	1.003134e-06
4.200000e+00	4.300000e+00	1.377114e-06	5.205003e-07	5.205003e-07
4.300000e+00	4.400000e+00	1.967306e-06	6.221169e-07	6.221169e-07
4.400000e+00	4.500000e+00	1.573845e-06	5.564383e-07	5.564383e-07
4.500000e+00	4.600000e+00	9.836532e-07	4.399031e-07	4.399031e-07
4.600000e+00	4.700000e+00	1.180384e-06	4.818897e-07	4.818897e-07
4.700000e+00	4.800000e+00	3.934613e-07	2.782191e-07	2.782191e-07
4.800000e+00	4.900000e+00	1.967306e-07	1.967306e-07	1.967306e-07
4.900000e+00	5.000000e+00	5.901919e-07	3.407474e-07	3.407474e-07
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=1.53604633671142634e-09
Title=X3000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	6.082743e-06	3.056694e-07	3.056694e-07
5.000000e-01	6.000000e-01	1.383978e-05	4.610698e-07	4.610698e-07
6.000000e-01	7.000000e-01	1.301031e-05	4.470396e-07	4.470396e-07
7.000000e-01	8.000000e-01	1.001502e-05	3.922186e-07	3.922186e-07
8.000000e-01	9.000000e-01	8.233208e-06	3.556204e-07	3.556204e-07
9.000000e-01	1.000000e+00	6.205627e-06	3.087415e-07	3.087415e-07
1.000000e+00	1.100000e+00	5.683371e-06	2.954644e-07	2.954644e-07
1.100000e+00	1.200000e+00	4.823185e-06	2.721881e-07	2.721881e-07
1.200000e+00	1.300000e+00	4.316290e-06	2.574883e-07	2.574883e-07
1.300000e+00	1.400000e+00	4.654220e-06	2.673780e-07	2.673780e-07
1.400000e+00	1.500000e+00	3.686511e-06	2.379633e-07	2.379633e-07
1.500000e+00	1.600000e+00	3.763314e-06	2.404293e-07	2.404293e-07
