# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta\eta$
XLabel=$\Delta\eta_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta
ScaledBy=1.03949231414651749e-07
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	9.854387e-04	3.200556e-05	3.200556e-05
1.000000e-01	2.000000e-01	9.802413e-04	3.192104e-05	3.192104e-05
2.000000e-01	3.000000e-01	1.056124e-03	3.313356e-05	3.313356e-05
3.000000e-01	4.000000e-01	1.022860e-03	3.260761e-05	3.260761e-05
4.000000e-01	5.000000e-01	1.166310e-03	3.481912e-05	3.481912e-05
5.000000e-01	6.000000e-01	1.091467e-03	3.368339e-05	3.368339e-05
6.000000e-01	7.000000e-01	9.313851e-04	3.111539e-05	3.111539e-05
7.000000e-01	8.000000e-01	7.016573e-04	2.700680e-05	2.700680e-05
8.000000e-01	9.000000e-01	6.226559e-04	2.544103e-05	2.544103e-05
9.000000e-01	1.000000e+00	4.677715e-04	2.205096e-05	2.205096e-05
1.000000e+00	1.100000e+00	3.960466e-04	2.029008e-05	2.029008e-05
1.100000e+00	1.200000e+00	3.201636e-04	1.824302e-05	1.824302e-05
1.200000e+00	1.300000e+00	2.640310e-04	1.656678e-05	1.656678e-05
1.300000e+00	1.400000e+00	1.954246e-04	1.425280e-05	1.425280e-05
1.400000e+00	1.500000e+00	2.027010e-04	1.451572e-05	1.451572e-05
1.500000e+00	1.600000e+00	1.569633e-04	1.277350e-05	1.277350e-05
1.600000e+00	1.700000e+00	1.392920e-04	1.203299e-05	1.203299e-05
1.700000e+00	1.800000e+00	1.205811e-04	1.119567e-05	1.119567e-05
1.800000e+00	1.900000e+00	1.205811e-04	1.119567e-05	1.119567e-05
1.900000e+00	2.000000e+00	8.523837e-05	9.413003e-06	9.413003e-06
2.000000e+00	2.100000e+00	7.276446e-05	8.697017e-06	8.697017e-06
2.100000e+00	2.200000e+00	5.925106e-05	7.847995e-06	7.847995e-06
2.200000e+00	2.300000e+00	6.860649e-05	8.444875e-06	8.444875e-06
2.300000e+00	2.400000e+00	6.133005e-05	7.984492e-06	7.984492e-06
2.400000e+00	2.500000e+00	4.261918e-05	6.655999e-06	6.655999e-06
2.500000e+00	2.600000e+00	4.365868e-05	6.736680e-06	6.736680e-06
2.600000e+00	2.700000e+00	3.950071e-05	6.407861e-06	6.407861e-06
2.700000e+00	2.800000e+00	1.559238e-05	4.025936e-06	4.025936e-06
2.800000e+00	2.900000e+00	3.014528e-05	5.597837e-06	5.597837e-06
2.900000e+00	3.000000e+00	1.351340e-05	3.747943e-06	3.747943e-06
3.000000e+00	3.100000e+00	9.355431e-06	3.118477e-06	3.118477e-06
3.100000e+00	3.200000e+00	8.315939e-06	2.940128e-06	2.940128e-06
3.200000e+00	3.300000e+00	7.276446e-06	2.750238e-06	2.750238e-06
3.300000e+00	3.400000e+00	4.157969e-06	2.078985e-06	2.078985e-06
3.400000e+00	3.500000e+00	5.197462e-06	2.324375e-06	2.324375e-06
3.500000e+00	3.600000e+00	3.118477e-06	1.800454e-06	1.800454e-06
3.600000e+00	3.700000e+00	4.157969e-06	2.078985e-06	2.078985e-06
3.700000e+00	3.800000e+00	1.039492e-06	1.039492e-06	1.039492e-06
3.800000e+00	3.900000e+00	1.039492e-06	1.039492e-06	1.039492e-06
3.900000e+00	4.000000e+00	1.039492e-06	1.039492e-06	1.039492e-06
4.000000e+00	4.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.100000e+00	4.200000e+00	1.039492e-06	1.039492e-06	1.039492e-06
4.200000e+00	4.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.300000e+00	4.400000e+00	1.039492e-06	1.039492e-06	1.039492e-06
4.400000e+00	4.500000e+00	1.039492e-06	1.039492e-06	1.039492e-06
4.500000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_deta
ScaledBy=1.96730639154521465e-08
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.947633e-04	6.189985e-06	6.189985e-06
1.000000e-01	2.000000e-01	1.973208e-04	6.230494e-06	6.230494e-06
2.000000e-01	3.000000e-01	1.953535e-04	6.199356e-06	6.199356e-06
3.000000e-01	4.000000e-01	2.020424e-04	6.304595e-06	6.304595e-06
4.000000e-01	5.000000e-01	2.126658e-04	6.468221e-06	6.468221e-06
5.000000e-01	6.000000e-01	2.020424e-04	6.304595e-06	6.304595e-06
6.000000e-01	7.000000e-01	1.766641e-04	5.895357e-06	5.895357e-06
7.000000e-01	8.000000e-01	1.339736e-04	5.133879e-06	5.133879e-06
8.000000e-01	9.000000e-01	1.188253e-04	4.834933e-06	4.834933e-06
9.000000e-01	1.000000e+00	9.502090e-05	4.323600e-06	4.323600e-06
1.000000e+00	1.100000e+00	7.947918e-05	3.954237e-06	3.954237e-06
1.100000e+00	1.200000e+00	7.160995e-05	3.753381e-06	3.753381e-06
1.200000e+00	1.300000e+00	6.826553e-05	3.664686e-06	3.664686e-06
1.300000e+00	1.400000e+00	5.036304e-05	3.147690e-06	3.147690e-06
1.400000e+00	1.500000e+00	4.367420e-05	2.931221e-06	2.931221e-06
1.500000e+00	1.600000e+00	3.698536e-05	2.697435e-06	2.697435e-06
1.600000e+00	1.700000e+00	2.852594e-05	2.368951e-06	2.368951e-06
1.700000e+00	1.800000e+00	3.009979e-05	2.433424e-06	2.433424e-06
1.800000e+00	1.900000e+00	2.341095e-05	2.146078e-06	2.146078e-06
1.900000e+00	2.000000e+00	2.026326e-05	1.996598e-06	1.996598e-06
2.000000e+00	2.100000e+00	1.908287e-05	1.937572e-06	1.937572e-06
2.100000e+00	2.200000e+00	2.065672e-05	2.015889e-06	2.015889e-06
2.200000e+00	2.300000e+00	1.298422e-05	1.598247e-06	1.598247e-06
