# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta\phi$
XLabel=$\Delta\phi_{bb}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{bb}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bb_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_dphi
ScaledBy=1.03949231414651749e-07
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	4.020200e-04	2.578960e-05	2.578960e-05
6.283185e-02	1.256637e-01	4.466889e-04	2.718463e-05	2.718463e-05
1.256637e-01	1.884956e-01	4.632325e-04	2.768344e-05	2.768344e-05
1.884956e-01	2.513274e-01	5.426448e-04	2.996254e-05	2.996254e-05
2.513274e-01	3.141593e-01	4.715046e-04	2.792952e-05	2.792952e-05
3.141593e-01	3.769911e-01	5.575344e-04	3.037083e-05	3.037083e-05
3.769911e-01	4.398230e-01	6.948490e-04	3.390516e-05	3.390516e-05
4.398230e-01	5.026548e-01	8.536728e-04	3.758085e-05	3.758085e-05
5.026548e-01	5.654867e-01	7.841867e-04	3.601889e-05	3.601889e-05
5.654867e-01	6.283185e-01	6.650707e-04	3.317071e-05	3.317071e-05
6.283185e-01	6.911504e-01	6.154375e-04	3.190895e-05	3.190895e-05
6.911504e-01	7.539822e-01	5.194831e-04	2.931613e-05	2.931613e-05
7.539822e-01	8.168141e-01	5.393351e-04	2.987101e-05	2.987101e-05
8.168141e-01	8.796459e-01	4.516525e-04	2.733525e-05	2.733525e-05
8.796459e-01	9.424778e-01	3.788580e-04	2.503565e-05	2.503565e-05
9.424778e-01	1.005310e+00	3.523860e-04	2.414509e-05	2.414509e-05
1.005310e+00	1.068142e+00	3.457695e-04	2.391738e-05	2.391738e-05
1.068142e+00	1.130973e+00	2.779435e-04	2.144381e-05	2.144381e-05
1.130973e+00	1.193805e+00	2.597407e-04	2.072957e-05	2.072957e-05
1.193805e+00	1.256637e+00	2.696670e-04	2.112196e-05	2.112196e-05
1.256637e+00	1.319469e+00	2.415424e-04	1.999019e-05	1.999019e-05
1.319469e+00	1.382301e+00	1.985280e-04	1.812304e-05	1.812304e-05
1.382301e+00	1.445133e+00	2.034912e-04	1.834818e-05	1.834818e-05
1.445133e+00	1.507964e+00	1.836412e-04	1.743046e-05	1.743046e-05
1.507964e+00	1.570796e+00	1.919103e-04	1.781843e-05	1.781843e-05
1.570796e+00	1.633628e+00	1.902559e-04	1.774146e-05	1.774146e-05
