# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet invariant mass
XLabel=$m_{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bb_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bb_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=1.03949231414651749e-07
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	9.258015e-06	4.749261e-07	4.749261e-07
5.426665e+01	5.889739e+01	1.304208e-05	5.410768e-07	5.410768e-07
5.889739e+01	6.392328e+01	1.460202e-05	5.495544e-07	5.495544e-07
6.392328e+01	6.937805e+01	1.932336e-05	6.068255e-07	6.068255e-07
6.937805e+01	7.529829e+01	2.024470e-05	5.962065e-07	5.962065e-07
7.529829e+01	8.172373e+01	1.464087e-05	4.866791e-07	4.866791e-07
8.172373e+01	8.869746e+01	6.439319e-06	3.098118e-07	3.098118e-07
8.869746e+01	9.626628e+01	4.724454e-06	2.547254e-07	2.547254e-07
9.626628e+01	1.044810e+02	4.669334e-06	2.430758e-07	2.430758e-07
1.044810e+02	1.133967e+02	4.208943e-06	2.215233e-07	2.215233e-07
1.133967e+02	1.230731e+02	3.942517e-06	2.057977e-07	2.057977e-07
1.230731e+02	1.335753e+02	2.810990e-06	1.668016e-07	1.668016e-07
1.335753e+02	1.449737e+02	2.653814e-06	1.555693e-07	1.555693e-07
1.449737e+02	1.573448e+02	2.184672e-06	1.354876e-07	1.354876e-07
1.573448e+02	1.707715e+02	1.796139e-06	1.179223e-07	1.179223e-07
1.707715e+02	1.853439e+02	1.647791e-06	1.084167e-07	1.084167e-07
1.853439e+02	2.011599e+02	1.452503e-06	9.770590e-08	9.770590e-08
2.011599e+02	2.183255e+02	1.368582e-06	9.103670e-08	9.103670e-08
2.183255e+02	2.369559e+02	1.227501e-06	8.275808e-08	8.275808e-08
2.369559e+02	2.571760e+02	1.048741e-06	7.342654e-08	7.342654e-08
2.571760e+02	2.791217e+02	7.910215e-07	6.121109e-08	6.121109e-08
2.791217e+02	3.029400e+02	8.335733e-07	6.031527e-08	6.031527e-08
3.029400e+02	3.287907e+02	7.197836e-07	5.379916e-08	5.379916e-08
3.287907e+02	3.568475e+02	5.816782e-07	4.642298e-08	4.642298e-08
3.568475e+02	3.872983e+02	5.086382e-07	4.166925e-08	4.166925e-08
3.872983e+02	4.203477e+02	4.906619e-07	3.928439e-08	3.928439e-08
4.203477e+02	4.562172e+02	4.231057e-07	3.501648e-08	3.501648e-08
4.562172e+02	4.951476e+02	3.257560e-07	2.949255e-08	2.949255e-08
4.951476e+02	5.374001e+02	2.509395e-07	2.484671e-08	2.484671e-08
5.374001e+02	5.832581e+02	2.085422e-07	2.174203e-08	2.174203e-08
5.832581e+02	6.330293e+02	1.482865e-07	1.759837e-08	1.759837e-08
6.330293e+02	6.870476e+02	9.814102e-08	1.374249e-08	1.374249e-08
6.870476e+02	7.456754e+02	4.787198e-08	9.212969e-09	9.212969e-09
7.456754e+02	8.093062e+02	6.697885e-08	1.046034e-08	1.046034e-08
8.093062e+02	8.783667e+02	3.160901e-08	6.897651e-09	6.897651e-09
8.783667e+02	9.533204e+02	2.635007e-08	6.045121e-09	6.045121e-09
9.533204e+02	1.034670e+03	1.150028e-08	3.833426e-09	3.833426e-09
1.034670e+03	1.122962e+03	5.886674e-09	2.632600e-09	2.632600e-09
1.122962e+03	1.218787e+03	1.084782e-09	1.084782e-09	1.084782e-09
1.218787e+03	1.322790e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.322790e+03	1.435668e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.435668e+03	1.558178e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.558178e+03	1.691142e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.691142e+03	1.835452e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.835452e+03	1.992077e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.992077e+03	2.162067e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.162067e+03	2.346563e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.346563e+03	2.546802e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.546802e+03	2.764129e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.764129e+03	3.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=1.96730639154521465e-08
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	1.493929e-06	8.299605e-08	8.299605e-08
5.426665e+01	5.889739e+01	2.141175e-06	9.537550e-08	9.537550e-08
5.889739e+01	6.392328e+01	2.559980e-06	1.001032e-07	1.001032e-07
6.392328e+01	6.937805e+01	2.906903e-06	1.023913e-07	1.023913e-07
6.937805e+01	7.529829e+01	3.416063e-06	1.065441e-07	1.065441e-07
7.529829e+01	8.172373e+01	2.703522e-06	9.098074e-08	9.098074e-08
8.172373e+01	8.869746e+01	1.311776e-06	6.083218e-08	6.083218e-08
8.869746e+01	9.626628e+01	9.409193e-07	4.945363e-08	4.945363e-08
9.626628e+01	1.044810e+02	9.028604e-07	4.649967e-08	4.649967e-08
1.044810e+02	1.133967e+02	7.612646e-07	4.098512e-08	4.098512e-08
1.133967e+02	1.230731e+02	7.156502e-07	3.814429e-08	3.814429e-08
1.230731e+02	1.335753e+02	6.443920e-07	3.474329e-08	3.474329e-08
1.335753e+02	1.449737e+02	5.523038e-07	3.087472e-08	3.087472e-08
1.449737e+02	1.573448e+02	5.215999e-07	2.880054e-08	2.880054e-08
1.573448e+02	1.707715e+02	4.805920e-07	2.653626e-08	2.653626e-08
1.707715e+02	1.853439e+02	3.807063e-07	2.267073e-08	2.267073e-08
1.853439e+02	2.011599e+02	3.159432e-07	1.982404e-08	1.982404e-08
2.011599e+02	2.183255e+02	3.037099e-07	1.865675e-08	1.865675e-08
2.183255e+02	2.369559e+02	2.713832e-07	1.692842e-08	1.692842e-08
2.369559e+02	2.571760e+02	2.121022e-07	1.436537e-08	1.436537e-08
2.571760e+02	2.791217e+02	2.008032e-07	1.341673e-08	1.341673e-08
2.791217e+02	3.029400e+02	1.841900e-07	1.233428e-08	1.233428e-08
3.029400e+02	3.287907e+02	1.666648e-07	1.126216e-08	1.126216e-08
3.287907e+02	3.568475e+02	1.458469e-07	1.011266e-08	1.011266e-08
3.568475e+02	3.872983e+02	1.246897e-07	8.975361e-09	8.975361e-09
3.872983e+02	4.203477e+02	1.184572e-07	8.397209e-09	8.397209e-09
