# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=$b$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=1.03949231414651749e-07
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	3.448689e-06	4.693071e-07	4.693071e-07
2.162765e+01	2.338777e+01	3.130076e-06	4.299490e-07	4.299490e-07
2.338777e+01	2.529113e+01	3.549880e-06	4.403085e-07	4.403085e-07
2.529113e+01	2.734939e+01	3.787759e-06	4.373727e-07	4.373727e-07
2.734939e+01	2.957515e+01	3.736224e-06	4.177226e-07	4.177226e-07
2.957515e+01	3.198206e+01	3.930093e-06	4.119857e-07	4.119857e-07
3.198206e+01	3.458484e+01	3.834026e-06	3.913087e-07	3.913087e-07
3.458484e+01	3.739945e+01	3.914795e-06	3.802384e-07	3.802384e-07
3.739945e+01	4.044311e+01	4.713072e-06	4.012035e-07	4.012035e-07
4.044311e+01	4.373448e+01	4.737353e-06	3.868033e-07	3.868033e-07
4.373448e+01	4.729371e+01	4.760502e-06	3.728713e-07	3.728713e-07
4.729371e+01	5.114260e+01	4.240191e-06	3.384041e-07	3.384041e-07
5.114260e+01	5.530472e+01	5.644366e-06	3.754576e-07	3.754576e-07
5.530472e+01	5.980556e+01	5.381255e-06	3.525378e-07	3.525378e-07
5.980556e+01	6.467270e+01	5.552912e-06	3.443770e-07	3.443770e-07
6.467270e+01	6.993594e+01	5.095512e-06	3.172327e-07	3.172327e-07
6.993594e+01	7.562751e+01	5.387796e-06	3.136897e-07	3.136897e-07
7.562751e+01	8.178228e+01	5.184988e-06	2.959230e-07	2.959230e-07
8.178228e+01	8.843794e+01	5.653777e-06	2.971559e-07	2.971559e-07
8.843794e+01	9.563525e+01	4.881663e-06	2.655275e-07	2.655275e-07
9.563525e+01	1.034183e+02	4.834817e-06	2.541123e-07	2.541123e-07
1.034183e+02	1.118348e+02	5.014363e-06	2.488587e-07	2.488587e-07
1.118348e+02	1.209362e+02	4.694127e-06	2.315442e-07	2.315442e-07
1.209362e+02	1.307783e+02	4.192991e-06	2.104402e-07	2.104402e-07
1.307783e+02	1.414214e+02	4.219266e-06	2.029995e-07	2.029995e-07
1.414214e+02	1.529306e+02	4.046264e-06	1.911680e-07	1.911680e-07
1.529306e+02	1.653765e+02	3.716679e-06	1.761875e-07	1.761875e-07
1.653765e+02	1.788353e+02	3.413793e-06	1.623776e-07	1.623776e-07
1.788353e+02	1.933894e+02	3.142596e-06	1.498174e-07	1.498174e-07
1.933894e+02	2.091279e+02	2.740981e-06	1.345495e-07	1.345495e-07
2.091279e+02	2.261473e+02	2.589661e-06	1.257651e-07	1.257651e-07
2.261473e+02	2.445518e+02	2.326990e-06	1.146426e-07	1.146426e-07
2.445518e+02	2.644540e+02	1.948180e-06	1.008729e-07	1.008729e-07
2.644540e+02	2.859760e+02	1.772576e-06	9.252768e-08	9.252768e-08
2.859760e+02	3.092495e+02	1.536449e-06	8.283975e-08	8.283975e-08
3.092495e+02	3.344170e+02	1.007792e-06	6.451729e-08	6.451729e-08
3.344170e+02	3.616328e+02	8.593751e-07	5.729167e-08	5.729167e-08
3.616328e+02	3.910634e+02	5.121418e-07	4.253105e-08	4.253105e-08
3.910634e+02	4.228892e+02	4.703319e-07	3.919433e-08	3.919433e-08
4.228892e+02	4.573051e+02	3.352625e-07	3.182172e-08	3.182172e-08
4.573051e+02	4.945218e+02	2.262395e-07	2.513772e-08	2.513772e-08
4.945218e+02	5.347672e+02	1.498073e-07	1.967066e-08	1.967066e-08
5.347672e+02	5.782880e+02	8.598583e-08	1.433097e-08	1.433097e-08
5.782880e+02	6.253506e+02	3.533991e-08	8.834976e-09	8.834976e-09
6.253506e+02	6.762433e+02	8.170070e-09	4.085035e-09	4.085035e-09
6.762433e+02	7.312778e+02	7.555204e-09	3.777602e-09	3.777602e-09
7.312778e+02	7.907911e+02	1.746655e-09	1.746655e-09	1.746655e-09
7.907911e+02	8.551478e+02	1.615204e-09	1.615204e-09	1.615204e-09
8.551478e+02	9.247420e+02	4.480944e-09	2.587074e-09	2.587074e-09
9.247420e+02	1.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=1.96730639154521465e-08
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	7.131208e-07	9.284040e-08	9.284040e-08
2.162765e+01	2.338777e+01	5.476786e-07	7.823980e-08	7.823980e-08
2.338777e+01	2.529113e+01	5.581419e-07	7.595353e-08	7.595353e-08
2.529113e+01	2.734939e+01	7.455321e-07	8.441490e-08	8.441490e-08
2.734939e+01	2.957515e+01	7.336209e-07	8.052536e-08	8.052536e-08
2.957515e+01	3.198206e+01	7.111014e-07	7.623805e-08	7.623805e-08
3.198206e+01	3.458484e+01	8.087576e-07	7.818554e-08	7.818554e-08
3.458484e+01	3.739945e+01	7.758482e-07	7.364025e-08	7.364025e-08
3.739945e+01	4.044311e+01	8.273434e-07	7.312752e-08	7.312752e-08
4.044311e+01	4.373448e+01	8.248489e-07	7.021580e-08	7.021580e-08
4.373448e+01	4.729371e+01	7.793545e-07	6.563349e-08	6.563349e-08
4.729371e+01	5.114260e+01	8.944880e-07	6.761694e-08	6.761694e-08
5.114260e+01	5.530472e+01	9.642454e-07	6.751068e-08	6.751068e-08
5.530472e+01	5.980556e+01	1.053405e-06	6.785580e-08	6.785580e-08
5.980556e+01	6.467270e+01	8.488235e-07	5.857439e-08	5.857439e-08
6.467270e+01	6.993594e+01	8.634374e-07	5.681000e-08	5.681000e-08
6.993594e+01	7.562751e+01	8.883273e-07	5.541234e-08	5.541234e-08
7.562751e+01	8.178228e+01	9.269541e-07	5.443260e-08	5.443260e-08
8.178228e+01	8.843794e+01	8.158118e-07	4.910609e-08	4.910609e-08
8.843794e+01	9.563525e+01	8.801520e-07	4.904896e-08	4.904896e-08
9.563525e+01	1.034183e+02	8.619391e-07	4.667661e-08	4.667661e-08
1.034183e+02	1.118348e+02	8.110917e-07	4.354168e-08	4.354168e-08
1.118348e+02	1.209362e+02	8.970402e-07	4.403397e-08	4.403397e-08
1.209362e+02	1.307783e+02	8.834999e-07	4.202380e-08	4.202380e-08
1.307783e+02	1.414214e+02	7.597062e-07	3.747354e-08	3.747354e-08
1.414214e+02	1.529306e+02	7.589441e-07	3.601790e-08	3.601790e-08
1.529306e+02	1.653765e+02	7.128895e-07	3.356866e-08	3.356866e-08
1.653765e+02	1.788353e+02	6.270800e-07	3.027571e-08	3.027571e-08
1.788353e+02	1.933894e+02	5.379844e-07	2.696672e-08	2.696672e-08
1.933894e+02	2.091279e+02	5.649983e-07	2.657528e-08	2.657528e-08
2.091279e+02	2.261473e+02	4.762390e-07	2.346261e-08	2.346261e-08
2.261473e+02	2.445518e+02	4.981199e-07	2.307496e-08	2.307496e-08
2.445518e+02	2.644540e+02	4.042911e-07	1.999091e-08	1.999091e-08
2.644540e+02	2.859760e+02	3.811759e-07	1.866627e-08	1.866627e-08
2.859760e+02	3.092495e+02	3.144512e-07	1.630354e-08	1.630354e-08
3.092495e+02	3.344170e+02	2.618645e-07	1.430719e-08	1.430719e-08
3.344170e+02	3.616328e+02	1.864964e-07	1.161076e-08	1.161076e-08
3.616328e+02	3.910634e+02	1.504026e-07	1.002684e-08	1.002684e-08
3.910634e+02	4.228892e+02	1.316656e-07	9.021577e-09	9.021577e-09
4.228892e+02	4.573051e+02	1.120389e-07	8.002780e-09	8.002780e-09
4.573051e+02	4.945218e+02	9.250648e-08	6.992833e-09	6.992833e-09
4.945218e+02	5.347672e+02	6.599174e-08	5.679664e-09	5.679664e-09
5.347672e+02	5.782880e+02	6.192924e-08	5.290971e-09	5.290971e-09
5.782880e+02	6.253506e+02	3.302350e-08	3.715435e-09	3.715435e-09
6.253506e+02	6.762433e+02	2.280702e-08	2.969221e-09	2.969221e-09
6.762433e+02	7.312778e+02	1.751592e-08	2.502275e-09	2.502275e-09
7.312778e+02	7.907911e+02	9.916975e-09	1.810583e-09	1.810583e-09
7.907911e+02	8.551478e+02	3.668255e-09	1.058934e-09	1.058934e-09
8.551478e+02	9.247420e+02	2.826825e-09	8.939206e-10	8.939206e-10
9.247420e+02	1.000000e+03	2.614082e-10	2.614083e-10	2.614083e-10
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=1.53604633671142634e-09
Title=X3000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	5.473578e-08	7.187159e-09	7.187159e-09
2.162765e+01	2.338777e+01	6.807013e-08	7.707426e-09	7.707426e-09
2.338777e+01	2.529113e+01	6.052638e-08	6.988984e-09	6.988984e-09
2.529113e+01	2.734939e+01	7.089697e-08	7.273875e-09	7.273875e-09
2.734939e+01	2.957515e+01	5.313942e-08	6.055798e-09	6.055798e-09
2.957515e+01	3.198206e+01	5.679818e-08	6.020596e-09	6.020596e-09
3.198206e+01	3.458484e+01	5.783528e-08	5.842247e-09	5.842247e-09
3.458484e+01	3.739945e+01	6.003144e-08	5.723773e-09	5.723773e-09
3.739945e+01	4.044311e+01	5.854182e-08	5.435470e-09	5.435470e-09
4.044311e+01	4.373448e+01	5.740275e-08	5.175832e-09	5.175832e-09
4.373448e+01	4.729371e+01	6.689290e-08	5.372966e-09	5.372966e-09
4.729371e+01	5.114260e+01	7.542767e-08	5.486554e-09	5.486554e-09
5.114260e+01	5.530472e+01	6.679875e-08	4.965111e-09	4.965111e-09
5.530472e+01	5.980556e+01	6.689087e-08	4.777919e-09	4.777919e-09
5.980556e+01	6.467270e+01	5.996310e-08	4.350181e-09	4.350181e-09
6.467270e+01	6.993594e+01	6.333021e-08	4.299134e-09	4.299134e-09
6.993594e+01	7.562751e+01	5.721476e-08	3.929526e-09	3.929526e-09
7.562751e+01	8.178228e+01	6.189338e-08	3.930233e-09	3.930233e-09
8.178228e+01	8.843794e+01	6.254355e-08	3.799250e-09	3.799250e-09
8.843794e+01	9.563525e+01	5.805010e-08	3.519805e-09	3.519805e-09
9.563525e+01	1.034183e+02	6.137830e-08	3.480444e-09	3.480444e-09
1.034183e+02	1.118348e+02	6.205142e-08	3.365211e-09	3.365211e-09
1.118348e+02	1.209362e+02	5.552544e-08	3.061217e-09	3.061217e-09
1.209362e+02	1.307783e+02	5.072242e-08	2.813573e-09	2.813573e-09
1.307783e+02	1.414214e+02	4.906990e-08	2.661188e-09	2.661188e-09
1.414214e+02	1.529306e+02	4.764610e-08	2.521699e-09	2.521699e-09
1.529306e+02	1.653765e+02	4.702221e-08	2.409020e-09	2.409020e-09
1.653765e+02	1.788353e+02	4.234205e-08	2.198290e-09	2.198290e-09
1.788353e+02	1.933894e+02	4.158294e-08	2.094918e-09	2.094918e-09
1.933894e+02	2.091279e+02	3.796563e-08	1.924934e-09	1.924934e-09
2.091279e+02	2.261473e+02	4.016244e-08	1.903882e-09	1.903882e-09
2.261473e+02	2.445518e+02	3.171494e-08	1.626942e-09	1.626942e-09
2.445518e+02	2.644540e+02	3.118061e-08	1.551293e-09	1.551293e-09
2.644540e+02	2.859760e+02	2.840565e-08	1.423847e-09	1.423847e-09
2.859760e+02	3.092495e+02	2.197793e-08	1.204383e-09	1.204383e-09
3.092495e+02	3.344170e+02	1.995777e-08	1.103667e-09	1.103667e-09
3.344170e+02	3.616328e+02	1.664966e-08	9.693804e-10	9.693804e-10
3.616328e+02	3.910634e+02	1.325681e-08	8.318060e-10	8.318060e-10
3.910634e+02	4.228892e+02	1.153514e-08	7.461462e-10	7.461462e-10
4.228892e+02	4.573051e+02	9.461958e-09	6.498500e-10	6.498500e-10
4.573051e+02	4.945218e+02	1.060717e-08	6.616572e-10	6.616572e-10
4.945218e+02	5.347672e+02	7.289899e-09	5.274785e-10	5.274785e-10
5.347672e+02	5.782880e+02	6.564783e-09	4.813532e-10	4.813532e-10
5.782880e+02	6.253506e+02	4.732563e-09	3.930180e-10	3.930180e-10
6.253506e+02	6.762433e+02	4.738583e-09	3.781801e-10	3.781801e-10
6.762433e+02	7.312778e+02	3.740021e-09	3.230886e-10	3.230886e-10
7.312778e+02	7.907911e+02	2.529393e-09	2.555073e-10	2.555073e-10
7.907911e+02	8.551478e+02	1.933284e-09	2.148093e-10	2.148093e-10
8.551478e+02	9.247420e+02	1.765718e-09	1.974133e-10	1.974133e-10
9.247420e+02	1.000000e+03	1.020520e-09	1.443234e-10	1.443234e-10
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=orange
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=1.07186602773497680e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
