# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bjet_eta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bjet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bjet_eta
ScaledBy=3.08496648013280490e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	3.856208e-05	3.449097e-06	3.449097e-06
-2.400000e+00	-2.300000e+00	4.380652e-05	3.676162e-06	3.676162e-06
-2.300000e+00	-2.200000e+00	5.336992e-05	4.057640e-06	4.057640e-06
-2.200000e+00	-2.100000e+00	5.830587e-05	4.241127e-06	4.241127e-06
-2.100000e+00	-2.000000e+00	8.020913e-05	4.974359e-06	4.974359e-06
-2.000000e+00	-1.900000e+00	9.439997e-05	5.396488e-06	5.396488e-06
-1.900000e+00	-1.800000e+00	9.964442e-05	5.544364e-06	5.544364e-06
-1.800000e+00	-1.700000e+00	1.190797e-04	6.060997e-06	6.060997e-06
-1.700000e+00	-1.600000e+00	1.394405e-04	6.558729e-06	6.558729e-06
-1.600000e+00	-1.500000e+00	1.554823e-04	6.925732e-06	6.925732e-06
-1.500000e+00	-1.400000e+00	1.795450e-04	7.442382e-06	7.442382e-06
-1.400000e+00	-1.300000e+00	2.088522e-04	8.026843e-06	8.026843e-06
-1.300000e+00	-1.200000e+00	2.276705e-04	8.380668e-06	8.380668e-06
-1.200000e+00	-1.100000e+00	2.680836e-04	9.094113e-06	9.094113e-06
-1.100000e+00	-1.000000e+00	2.791895e-04	9.280572e-06	9.280572e-06
-1.000000e+00	-9.000000e-01	3.017097e-04	9.647613e-06	9.647613e-06
-9.000000e-01	-8.000000e-01	3.128156e-04	9.823572e-06	9.823572e-06
-8.000000e-01	-7.000000e-01	3.276234e-04	1.005339e-05	1.005339e-05
-7.000000e-01	-6.000000e-01	3.572391e-04	1.049796e-05	1.049796e-05
-6.000000e-01	-5.000000e-01	3.825358e-04	1.086329e-05	1.086329e-05
-5.000000e-01	-4.000000e-01	3.967267e-04	1.106295e-05	1.106295e-05
-4.000000e-01	-3.000000e-01	3.942587e-04	1.102849e-05	1.102849e-05
-3.000000e-01	-2.000000e-01	4.164705e-04	1.133489e-05	1.133489e-05
