# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=$b$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{b\mathrm{-jet}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{b\mathrm{-jet}}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt
ScaledBy=3.08496648013280490e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	2.282002e-05	6.576619e-07	6.576619e-07
2.162765e+01	2.338777e+01	2.050662e-05	5.995164e-07	5.995164e-07
2.338777e+01	2.529113e+01	1.909303e-05	5.562912e-07	5.562912e-07
2.529113e+01	2.734939e+01	1.675684e-05	5.011540e-07	5.011540e-07
2.734939e+01	2.957515e+01	1.722833e-05	4.886609e-07	4.886609e-07
2.957515e+01	3.198206e+01	1.593168e-05	4.518831e-07	4.518831e-07
3.198206e+01	3.458484e+01	1.556244e-05	4.294823e-07	4.294823e-07
3.458484e+01	3.739945e+01	1.386509e-05	3.898320e-07	3.898320e-07
3.739945e+01	4.044311e+01	1.317643e-05	3.654483e-07	3.654483e-07
4.044311e+01	4.373448e+01	1.226912e-05	3.391124e-07	3.391124e-07
4.373448e+01	4.729371e+01	1.145845e-05	3.151448e-07	3.151448e-07
4.729371e+01	5.114260e+01	1.078847e-05	2.940611e-07	2.940611e-07
5.114260e+01	5.530472e+01	1.050282e-05	2.790106e-07	2.790106e-07
5.530472e+01	5.980556e+01	9.746674e-06	2.584679e-07	2.584679e-07
5.980556e+01	6.467270e+01	8.968774e-06	2.384267e-07	2.384267e-07
6.467270e+01	6.993594e+01	7.842479e-06	2.144003e-07	2.144003e-07
6.993594e+01	7.562751e+01	7.122193e-06	1.964789e-07	1.964789e-07
7.562751e+01	8.178228e+01	6.806727e-06	1.847092e-07	1.847092e-07
8.178228e+01	8.843794e+01	5.678000e-06	1.622286e-07	1.622286e-07
8.843794e+01	9.563525e+01	5.002086e-06	1.464251e-07	1.464251e-07
9.563525e+01	1.034183e+02	4.518617e-06	1.338299e-07	1.338299e-07
1.034183e+02	1.118348e+02	3.716695e-06	1.167180e-07	1.167180e-07
1.118348e+02	1.209362e+02	3.199736e-06	1.041426e-07	1.041426e-07
1.209362e+02	1.307783e+02	2.814745e-06	9.392925e-08	9.392925e-08
1.307783e+02	1.414214e+02	2.385515e-06	8.315382e-08	8.315382e-08
1.414214e+02	1.529306e+02	2.101461e-06	7.505218e-08	7.505218e-08
1.529306e+02	1.653765e+02	1.787144e-06	6.655670e-08	6.655670e-08
1.653765e+02	1.788353e+02	1.354664e-06	5.572343e-08	5.572343e-08
1.788353e+02	1.933894e+02	1.114938e-06	4.861362e-08	4.861362e-08
1.933894e+02	2.091279e+02	8.879436e-07	4.171922e-08	4.171922e-08
2.091279e+02	2.261473e+02	7.721753e-07	3.741201e-08	3.741201e-08
2.261473e+02	2.445518e+02	6.704811e-07	3.352404e-08	3.352404e-08
2.445518e+02	2.644540e+02	5.378717e-07	2.887447e-08	2.887447e-08
2.644540e+02	2.859760e+02	4.429210e-07	2.519690e-08	2.519690e-08
2.859760e+02	3.092495e+02	4.400752e-07	2.415226e-08	2.415226e-08
3.092495e+02	3.344170e+02	4.376013e-07	2.316031e-08	2.316031e-08
3.344170e+02	3.616328e+02	4.080674e-07	2.150704e-08	2.150704e-08
3.616328e+02	3.910634e+02	3.165616e-07	1.821607e-08	1.821607e-08
3.910634e+02	4.228892e+02	2.655961e-07	1.604525e-08	1.604525e-08
4.228892e+02	4.573051e+02	1.936177e-07	1.317402e-08	1.317402e-08
4.573051e+02	4.945218e+02	1.367718e-07	1.064767e-08	1.064767e-08
4.945218e+02	5.347672e+02	1.034828e-07	8.906376e-09	8.906376e-09
5.347672e+02	5.782880e+02	6.096099e-08	6.573593e-09	6.573593e-09
5.782880e+02	6.253506e+02	2.687561e-08	4.197265e-09	4.197265e-09
6.253506e+02	6.762433e+02	1.151724e-08	2.642237e-09	2.642237e-09
6.762433e+02	7.312778e+02	3.923860e-09	1.483080e-09	1.483080e-09
7.312778e+02	7.907911e+02	3.628562e-09	1.371467e-09	1.371467e-09
7.907911e+02	8.551478e+02	9.587087e-10	6.779095e-10	6.779095e-10
8.551478e+02	9.247420e+02	8.865585e-10	6.268916e-10	6.268916e-10
9.247420e+02	1.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt
ScaledBy=5.79683213842638003e-09
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	4.198977e-06	1.222888e-07	1.222888e-07
2.162765e+01	2.338777e+01	3.780858e-06	1.115885e-07	1.115885e-07
2.338777e+01	2.529113e+01	3.411048e-06	1.019245e-07	1.019245e-07
2.529113e+01	2.734939e+01	3.388099e-06	9.768398e-08	9.768398e-08
2.734939e+01	2.957515e+01	3.190424e-06	9.115499e-08	9.115499e-08
2.957515e+01	3.198206e+01	2.945489e-06	8.422560e-08	8.422560e-08
3.198206e+01	3.458484e+01	2.804006e-06	7.902530e-08	7.902530e-08
3.458484e+01	3.739945e+01	2.617689e-06	7.342523e-08	7.342523e-08
3.739945e+01	4.044311e+01	2.588297e-06	7.021086e-08	7.021086e-08
4.044311e+01	4.373448e+01	2.358276e-06	6.444724e-08	6.444724e-08
4.373448e+01	4.729371e+01	2.157996e-06	5.928470e-08	5.928470e-08
4.729371e+01	5.114260e+01	2.087461e-06	5.607081e-08	5.607081e-08
5.114260e+01	5.530472e+01	2.008359e-06	5.288820e-08	5.288820e-08
5.530472e+01	5.980556e+01	1.858504e-06	4.892494e-08	4.892494e-08
5.980556e+01	6.467270e+01	1.610251e-06	4.379305e-08	4.379305e-08
6.467270e+01	6.993594e+01	1.588191e-06	4.182348e-08	4.182348e-08
6.993594e+01	7.562751e+01	1.448299e-06	3.840683e-08	3.840683e-08
7.562751e+01	8.178228e+01	1.289384e-06	3.484822e-08	3.484822e-08
8.178228e+01	8.843794e+01	1.134864e-06	3.143922e-08	3.143922e-08
8.843794e+01	9.563525e+01	1.001938e-06	2.840735e-08	2.840735e-08
9.563525e+01	1.034183e+02	8.751425e-07	2.553053e-08	2.553053e-08
1.034183e+02	1.118348e+02	7.672632e-07	2.298803e-08	2.298803e-08
1.118348e+02	1.209362e+02	6.178090e-07	1.983665e-08	1.983665e-08
1.209362e+02	1.307783e+02	5.395086e-07	1.782587e-08	1.782587e-08
1.307783e+02	1.414214e+02	4.498861e-07	1.565354e-08	1.565354e-08
1.414214e+02	1.529306e+02	4.170383e-07	1.449308e-08	1.449308e-08
1.529306e+02	1.653765e+02	3.511848e-07	1.278940e-08	1.278940e-08
1.653765e+02	1.788353e+02	2.872832e-07	1.112365e-08	1.112365e-08
1.788353e+02	1.933894e+02	2.270284e-07	9.509174e-09	9.509174e-09
1.933894e+02	2.091279e+02	2.088385e-07	8.770390e-09	8.770390e-09
2.091279e+02	2.261473e+02	1.576985e-07	7.328869e-09	7.328869e-09
2.261473e+02	2.445518e+02	1.373261e-07	6.576728e-09	6.576728e-09
2.445518e+02	2.644540e+02	1.089334e-07	5.632814e-09	5.632814e-09
2.644540e+02	2.859760e+02	1.080072e-07	5.393620e-09	5.393620e-09
2.859760e+02	3.092495e+02	8.767418e-08	4.673050e-09	4.673050e-09
3.092495e+02	3.344170e+02	8.591310e-08	4.448413e-09	4.448413e-09
3.344170e+02	3.616328e+02	8.306811e-08	4.206316e-09	4.206316e-09
3.616328e+02	3.910634e+02	7.051389e-08	3.726775e-09	3.726775e-09
3.910634e+02	4.228892e+02	6.520703e-08	3.446299e-09	3.446299e-09
4.228892e+02	4.573051e+02	6.282614e-08	3.253015e-09	3.253015e-09
4.573051e+02	4.945218e+02	5.062163e-08	2.807983e-09	2.807983e-09
4.945218e+02	5.347672e+02	4.508361e-08	2.548277e-09	2.548277e-09
5.347672e+02	5.782880e+02	3.383198e-08	2.122808e-09	2.122808e-09
5.782880e+02	6.253506e+02	2.709801e-08	1.826948e-09	1.826948e-09
6.253506e+02	6.762433e+02	1.788277e-08	1.427201e-09	1.427201e-09
6.762433e+02	7.312778e+02	1.200772e-08	1.124626e-09	1.124626e-09
7.312778e+02	7.907911e+02	7.207895e-09	8.379006e-10	8.379006e-10
7.907911e+02	8.551478e+02	2.341910e-09	4.592864e-10	4.592864e-10
8.551478e+02	9.247420e+02	1.082832e-09	3.003235e-10	3.003235e-10
9.247420e+02	1.000000e+03	1.540522e-10	1.089314e-10	1.089314e-10
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/bjet_pt
ScaledBy=4.42689107554884833e-10
Title=X3000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	3.174013e-07	9.291230e-09	9.291230e-09
2.162765e+01	2.338777e+01	2.922555e-07	8.573529e-09	8.573529e-09
2.338777e+01	2.529113e+01	2.995669e-07	8.347105e-09	8.347105e-09
2.529113e+01	2.734939e+01	2.808936e-07	7.772670e-09	7.772670e-09
2.734939e+01	2.957515e+01	2.521969e-07	7.082395e-09	7.082395e-09
2.957515e+01	3.198206e+01	2.405729e-07	6.651856e-09	6.651856e-09
3.198206e+01	3.458484e+01	2.243397e-07	6.177087e-09	6.177087e-09
3.458484e+01	3.739945e+01	2.176791e-07	5.851250e-09	5.851250e-09
3.739945e+01	4.044311e+01	1.963525e-07	5.344038e-09	5.344038e-09
4.044311e+01	4.373448e+01	1.961009e-07	5.135715e-09	5.135715e-09
4.373448e+01	4.729371e+01	1.700244e-07	4.598615e-09	4.598615e-09
4.729371e+01	5.114260e+01	1.625195e-07	4.323490e-09	4.323490e-09
5.114260e+01	5.530472e+01	1.467788e-07	3.951152e-09	3.951152e-09
5.530472e+01	5.980556e+01	1.384867e-07	3.690682e-09	3.690682e-09
5.980556e+01	6.467270e+01	1.300652e-07	3.439482e-09	3.439482e-09
6.467270e+01	6.993594e+01	1.169965e-07	3.136962e-09	3.136962e-09
6.993594e+01	7.562751e+01	1.045360e-07	2.851454e-09	2.851454e-09
7.562751e+01	8.178228e+01	9.113047e-08	2.560208e-09	2.560208e-09
8.178228e+01	8.843794e+01	7.675620e-08	2.259491e-09	2.259491e-09
8.843794e+01	9.563525e+01	7.467020e-08	2.143078e-09	2.143078e-09
9.563525e+01	1.034183e+02	6.324902e-08	1.896712e-09	1.896712e-09
1.034183e+02	1.118348e+02	5.333414e-08	1.674890e-09	1.674890e-09
1.118348e+02	1.209362e+02	4.523490e-08	1.483311e-09	1.483311e-09
1.209362e+02	1.307783e+02	4.007641e-08	1.342610e-09	1.342610e-09
1.307783e+02	1.414214e+02	3.443983e-08	1.196867e-09	1.196867e-09
1.414214e+02	1.529306e+02	3.165581e-08	1.103452e-09	1.103452e-09
1.529306e+02	1.653765e+02	2.564530e-08	9.550809e-10	9.550809e-10
1.653765e+02	1.788353e+02	2.157727e-08	8.424505e-10	8.424505e-10
1.788353e+02	1.933894e+02	1.803716e-08	7.406975e-10	7.406975e-10
1.933894e+02	2.091279e+02	1.471083e-08	6.432596e-10	6.432596e-10
2.091279e+02	2.261473e+02	1.261526e-08	5.728296e-10	5.728296e-10
2.261473e+02	2.445518e+02	9.813752e-09	4.858530e-10	4.858530e-10
2.445518e+02	2.644540e+02	9.008507e-09	4.476363e-10	4.476363e-10
2.644540e+02	2.859760e+02	7.281475e-09	3.870061e-10	3.870061e-10
2.859760e+02	3.092495e+02	6.961746e-09	3.638963e-10	3.638963e-10
3.092495e+02	3.344170e+02	7.176605e-09	3.552948e-10	3.552948e-10
3.344170e+02	3.616328e+02	6.457558e-09	3.240955e-10	3.240955e-10
3.616328e+02	3.910634e+02	6.137055e-09	3.038294e-10	3.038294e-10
3.910634e+02	4.228892e+02	4.771047e-09	2.576123e-10	2.576123e-10
4.228892e+02	4.573051e+02	4.720693e-09	2.464182e-10	2.464182e-10
4.573051e+02	4.945218e+02	4.377325e-09	2.281838e-10	2.281838e-10
4.945218e+02	5.347672e+02	3.640915e-09	2.001228e-10	2.001228e-10
5.347672e+02	5.782880e+02	3.193976e-09	1.802465e-10	1.802465e-10
