# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta R$
XLabel=$\Delta R_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=7.40852161136831314e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	1.481704e-06	1.047723e-06	1.047723e-06
4.000000e-01	5.000000e-01	3.563499e-04	1.624816e-05	1.624816e-05
5.000000e-01	6.000000e-01	6.208341e-04	2.144636e-05	2.144636e-05
6.000000e-01	7.000000e-01	5.341544e-04	1.989295e-05	1.989295e-05
7.000000e-01	8.000000e-01	5.022978e-04	1.929063e-05	1.929063e-05
8.000000e-01	9.000000e-01	4.074687e-04	1.737452e-05	1.737452e-05
9.000000e-01	1.000000e+00	3.748712e-04	1.666506e-05	1.666506e-05
1.000000e+00	1.100000e+00	3.667218e-04	1.648292e-05	1.648292e-05
1.100000e+00	1.200000e+00	3.244932e-04	1.550489e-05	1.550489e-05
1.200000e+00	1.300000e+00	2.867098e-04	1.457428e-05	1.457428e-05
1.300000e+00	1.400000e+00	2.822647e-04	1.446086e-05	1.446086e-05
1.400000e+00	1.500000e+00	2.467038e-04	1.351928e-05	1.351928e-05
1.500000e+00	1.600000e+00	2.585574e-04	1.384026e-05	1.384026e-05
1.600000e+00	1.700000e+00	2.444812e-04	1.345825e-05	1.345825e-05
1.700000e+00	1.800000e+00	2.504080e-04	1.362040e-05	1.362040e-05
1.800000e+00	1.900000e+00	2.696702e-04	1.413456e-05	1.413456e-05
1.900000e+00	2.000000e+00	2.600391e-04	1.387986e-05	1.387986e-05
2.000000e+00	2.100000e+00	2.741153e-04	1.425058e-05	1.425058e-05
2.100000e+00	2.200000e+00	2.926366e-04	1.472415e-05	1.472415e-05
2.200000e+00	2.300000e+00	3.141213e-04	1.525508e-05	1.525508e-05
2.300000e+00	2.400000e+00	2.926366e-04	1.472415e-05	1.472415e-05
2.400000e+00	2.500000e+00	3.326426e-04	1.569838e-05	1.569838e-05
2.500000e+00	2.600000e+00	3.682035e-04	1.651619e-05	1.651619e-05
2.600000e+00	2.700000e+00	3.600542e-04	1.633239e-05	1.633239e-05
2.700000e+00	2.800000e+00	3.941333e-04	1.708785e-05	1.708785e-05
2.800000e+00	2.900000e+00	4.808131e-04	1.887356e-05	1.887356e-05
2.900000e+00	3.000000e+00	4.534015e-04	1.832767e-05	1.832767e-05
3.000000e+00	3.100000e+00	5.267459e-04	1.975451e-05	1.975451e-05
3.100000e+00	3.200000e+00	5.037795e-04	1.931906e-05	1.931906e-05
3.200000e+00	3.300000e+00	3.015268e-04	1.494613e-05	1.494613e-05
3.300000e+00	3.400000e+00	2.452221e-04	1.347862e-05	1.347862e-05
3.400000e+00	3.500000e+00	1.659509e-04	1.108806e-05	1.108806e-05
3.500000e+00	3.600000e+00	1.289083e-04	9.772511e-06	9.772511e-06
3.600000e+00	3.700000e+00	9.927419e-05	8.575984e-06	8.575984e-06
3.700000e+00	3.800000e+00	8.816141e-05	8.081743e-06	8.081743e-06
3.800000e+00	3.900000e+00	6.741755e-05	7.067280e-06	7.067280e-06
3.900000e+00	4.000000e+00	5.111880e-05	6.153980e-06	6.153980e-06
4.000000e+00	4.100000e+00	4.667369e-05	5.880332e-06	5.880332e-06
4.100000e+00	4.200000e+00	3.111579e-05	4.801271e-06	4.801271e-06
4.200000e+00	4.300000e+00	3.037494e-05	4.743769e-06	4.743769e-06
4.300000e+00	4.400000e+00	1.629875e-05	3.474904e-06	3.474904e-06
4.400000e+00	4.500000e+00	1.778045e-05	3.629420e-06	3.629420e-06
4.500000e+00	4.600000e+00	8.890226e-06	2.566387e-06	2.566387e-06
4.600000e+00	4.700000e+00	1.037193e-05	2.772015e-06	2.772015e-06
4.700000e+00	4.800000e+00	8.149374e-06	2.457129e-06	2.457129e-06
4.800000e+00	4.900000e+00	8.149374e-06	2.457129e-06	2.457129e-06
4.900000e+00	5.000000e+00	4.445113e-06	1.814710e-06	1.814710e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=1.43574086533557273e-08
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	2.871482e-07	2.030444e-07	2.030444e-07
4.000000e-01	5.000000e-01	6.747982e-05	3.112612e-06	3.112612e-06
5.000000e-01	6.000000e-01	1.256273e-04	4.246979e-06	4.246979e-06
6.000000e-01	7.000000e-01	1.082549e-04	3.942409e-06	3.942409e-06
7.000000e-01	8.000000e-01	9.088240e-05	3.612251e-06	3.612251e-06
8.000000e-01	9.000000e-01	8.226795e-05	3.436794e-06	3.436794e-06
9.000000e-01	1.000000e+00	7.063845e-05	3.184627e-06	3.184627e-06
1.000000e+00	1.100000e+00	5.656819e-05	2.849864e-06	2.849864e-06
1.100000e+00	1.200000e+00	5.613747e-05	2.838994e-06	2.838994e-06
1.200000e+00	1.300000e+00	5.757321e-05	2.875069e-06	2.875069e-06
1.300000e+00	1.400000e+00	5.139952e-05	2.716549e-06	2.716549e-06
1.400000e+00	1.500000e+00	4.623086e-05	2.576345e-06	2.576345e-06
1.500000e+00	1.600000e+00	5.412743e-05	2.787704e-06	2.787704e-06
1.600000e+00	1.700000e+00	4.881519e-05	2.647375e-06	2.647375e-06
1.700000e+00	1.800000e+00	5.154310e-05	2.720341e-06	2.720341e-06
1.800000e+00	1.900000e+00	5.326599e-05	2.765432e-06	2.765432e-06
1.900000e+00	2.000000e+00	5.441458e-05	2.795089e-06	2.795089e-06
2.000000e+00	2.100000e+00	5.541960e-05	2.820783e-06	2.820783e-06
2.100000e+00	2.200000e+00	5.685534e-05	2.857088e-06	2.857088e-06
2.200000e+00	2.300000e+00	5.585032e-05	2.831724e-06	2.831724e-06
2.300000e+00	2.400000e+00	6.245473e-05	2.994475e-06	2.994475e-06
2.400000e+00	2.500000e+00	6.231115e-05	2.991031e-06	2.991031e-06
2.500000e+00	2.600000e+00	7.307921e-05	3.239179e-06	3.239179e-06
2.600000e+00	2.700000e+00	7.207419e-05	3.216829e-06	3.216829e-06
2.700000e+00	2.800000e+00	8.097578e-05	3.409695e-06	3.409695e-06
2.800000e+00	2.900000e+00	9.389745e-05	3.671681e-06	3.671681e-06
2.900000e+00	3.000000e+00	1.039476e-04	3.863184e-06	3.863184e-06
3.000000e+00	3.100000e+00	1.122749e-04	4.014943e-06	4.014943e-06
3.100000e+00	3.200000e+00	1.055270e-04	3.892421e-06	3.892421e-06
3.200000e+00	3.300000e+00	6.403404e-05	3.032100e-06	3.032100e-06
3.300000e+00	3.400000e+00	5.340956e-05	2.769157e-06	2.769157e-06
3.400000e+00	3.500000e+00	3.589352e-05	2.270106e-06	2.270106e-06
3.500000e+00	3.600000e+00	3.287847e-05	2.172670e-06	2.172670e-06
3.600000e+00	3.700000e+00	2.584334e-05	1.926248e-06	1.926248e-06
3.700000e+00	3.800000e+00	1.708532e-05	1.566208e-06	1.566208e-06
3.800000e+00	3.900000e+00	1.421383e-05	1.428544e-06	1.428544e-06
3.900000e+00	4.000000e+00	1.177308e-05	1.300119e-06	1.300119e-06
4.000000e+00	4.100000e+00	8.901593e-06	1.130503e-06	1.130503e-06
4.100000e+00	4.200000e+00	8.327297e-06	1.093428e-06	1.093428e-06
4.200000e+00	4.300000e+00	4.881519e-06	8.371736e-07	8.371736e-07
4.300000e+00	4.400000e+00	6.173686e-06	9.414783e-07	9.414783e-07
4.400000e+00	4.500000e+00	4.307223e-06	7.863876e-07	7.863876e-07
4.500000e+00	4.600000e+00	2.727908e-06	6.258249e-07	6.258249e-07
4.600000e+00	4.700000e+00	2.584334e-06	6.091332e-07	6.091332e-07
4.700000e+00	4.800000e+00	1.579315e-06	4.761814e-07	4.761814e-07
4.800000e+00	4.900000e+00	1.148593e-06	4.060888e-07	4.060888e-07
4.900000e+00	5.000000e+00	8.614445e-07	3.516832e-07	3.516832e-07
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=1.16353151695240519e-09
Title=X3000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	4.979915e-06	2.407133e-07	2.407133e-07
5.000000e-01	6.000000e-01	8.912651e-06	3.220272e-07	3.220272e-07
6.000000e-01	7.000000e-01	8.074909e-06	3.065193e-07	3.065193e-07
7.000000e-01	8.000000e-01	6.690306e-06	2.790051e-07	2.790051e-07
8.000000e-01	9.000000e-01	5.480233e-06	2.525158e-07	2.525158e-07
9.000000e-01	1.000000e+00	4.537773e-06	2.297791e-07	2.297791e-07
1.000000e+00	1.100000e+00	4.305067e-06	2.238098e-07	2.238098e-07
1.100000e+00	1.200000e+00	3.641854e-06	2.058497e-07	2.058497e-07
1.200000e+00	1.300000e+00	4.049090e-06	2.170540e-07	2.170540e-07
1.300000e+00	1.400000e+00	4.281796e-06	2.232041e-07	2.232041e-07
1.400000e+00	1.500000e+00	3.816383e-06	2.107245e-07	2.107245e-07
1.500000e+00	1.600000e+00	4.060725e-06	2.173656e-07	2.173656e-07
