# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta\eta$
XLabel=$\Delta\eta_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet12_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_deta
ScaledBy=7.40852161136831314e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	7.571509e-04	2.368411e-05	2.368411e-05
1.000000e-01	2.000000e-01	7.690045e-04	2.386878e-05	2.386878e-05
2.000000e-01	3.000000e-01	7.690045e-04	2.386878e-05	2.386878e-05
3.000000e-01	4.000000e-01	8.104923e-04	2.450418e-05	2.450418e-05
4.000000e-01	5.000000e-01	8.860592e-04	2.562106e-05	2.562106e-05
5.000000e-01	6.000000e-01	8.112331e-04	2.451538e-05	2.451538e-05
6.000000e-01	7.000000e-01	7.371479e-04	2.336916e-05	2.336916e-05
7.000000e-01	8.000000e-01	5.941634e-04	2.098064e-05	2.098064e-05
8.000000e-01	9.000000e-01	5.578617e-04	2.032961e-05	2.032961e-05
9.000000e-01	1.000000e+00	4.667369e-04	1.859524e-05	1.859524e-05
1.000000e+00	1.100000e+00	4.511790e-04	1.828269e-05	1.828269e-05
1.100000e+00	1.200000e+00	3.711669e-04	1.658251e-05	1.658251e-05
1.200000e+00	1.300000e+00	3.407920e-04	1.588951e-05	1.588951e-05
1.300000e+00	1.400000e+00	3.044902e-04	1.501940e-05	1.501940e-05
1.400000e+00	1.500000e+00	2.770787e-04	1.432740e-05	1.432740e-05
1.500000e+00	1.600000e+00	2.800421e-04	1.440381e-05	1.440381e-05
1.600000e+00	1.700000e+00	2.311459e-04	1.308606e-05	1.308606e-05
1.700000e+00	1.800000e+00	2.415178e-04	1.337643e-05	1.337643e-05
1.800000e+00	1.900000e+00	2.170697e-04	1.268134e-05	1.268134e-05
1.900000e+00	2.000000e+00	1.970667e-04	1.208293e-05	1.208293e-05
2.000000e+00	2.100000e+00	1.652100e-04	1.106328e-05	1.106328e-05
2.100000e+00	2.200000e+00	1.533564e-04	1.065901e-05	1.065901e-05
2.200000e+00	2.300000e+00	1.503930e-04	1.055552e-05	1.055552e-05
2.300000e+00	2.400000e+00	1.437253e-04	1.031888e-05	1.031888e-05
2.400000e+00	2.500000e+00	1.103870e-04	9.043253e-06	9.043253e-06
2.500000e+00	2.600000e+00	1.000150e-04	8.607924e-06	8.607924e-06
