# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta\phi$
XLabel=$\Delta\phi_{jj}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{jj}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_dphi
ScaledBy=7.40852161136831314e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	3.501936e-04	2.032029e-05	2.032029e-05
6.283185e-02	1.256637e-01	3.714174e-04	2.092700e-05	2.092700e-05
1.256637e-01	1.884956e-01	3.832082e-04	2.125656e-05	2.125656e-05
1.884956e-01	2.513274e-01	4.280146e-04	2.246495e-05	2.246495e-05
2.513274e-01	3.141593e-01	4.162230e-04	2.215332e-05	2.215332e-05
3.141593e-01	3.769911e-01	4.622086e-04	2.334507e-05	2.334507e-05
3.769911e-01	4.398230e-01	5.553571e-04	2.558950e-05	2.558950e-05
4.398230e-01	5.026548e-01	5.966265e-04	2.652328e-05	2.652328e-05
5.026548e-01	5.654867e-01	5.624317e-04	2.575197e-05	2.575197e-05
5.654867e-01	6.283185e-01	4.964028e-04	2.419319e-05	2.419319e-05
6.283185e-01	6.911504e-01	4.457005e-04	2.292436e-05	2.292436e-05
6.911504e-01	7.539822e-01	4.315520e-04	2.255759e-05	2.255759e-05
7.539822e-01	8.168141e-01	3.985364e-04	2.167752e-05	2.167752e-05
8.168141e-01	8.796459e-01	3.761341e-04	2.105947e-05	2.105947e-05
8.796459e-01	9.424778e-01	3.313277e-04	1.976535e-05	1.976535e-05
9.424778e-01	1.005310e+00	3.065651e-04	1.901236e-05	1.901236e-05
1.005310e+00	1.068142e+00	3.395808e-04	2.000999e-05	2.000999e-05
1.068142e+00	1.130973e+00	2.971379e-04	1.871793e-05	1.871793e-05
1.130973e+00	1.193805e+00	2.641184e-04	1.764716e-05	1.764716e-05
1.193805e+00	1.256637e+00	2.594021e-04	1.748888e-05	1.748888e-05
1.256637e+00	1.319469e+00	2.900586e-04	1.849346e-05	1.849346e-05
1.319469e+00	1.382301e+00	2.641184e-04	1.764716e-05	1.764716e-05
1.382301e+00	1.445133e+00	2.311036e-04	1.650740e-05	1.650740e-05
1.445133e+00	1.507964e+00	2.570480e-04	1.740948e-05	1.740948e-05
1.507964e+00	1.570796e+00	2.558647e-04	1.736923e-05	1.736923e-05
1.570796e+00	1.633628e+00	2.322828e-04	1.654946e-05	1.654946e-05
1.633628e+00	1.696460e+00	2.464319e-04	1.704605e-05	1.704605e-05
