# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet invariant mass
XLabel=$m_{jj}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet12_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet12_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=7.40852161136831314e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	5.035499e-06	2.956947e-07	2.956947e-07
5.426665e+01	5.889739e+01	6.847387e-06	3.309810e-07	3.309810e-07
5.889739e+01	6.392328e+01	8.549616e-06	3.550034e-07	3.550034e-07
6.392328e+01	6.937805e+01	1.116418e-05	3.893956e-07	3.893956e-07
6.937805e+01	7.529829e+01	1.245132e-05	3.947333e-07	3.947333e-07
7.529829e+01	8.172373e+01	1.014639e-05	3.420346e-07	3.420346e-07
8.172373e+01	8.869746e+01	5.439217e-06	2.403817e-07	2.403817e-07
8.869746e+01	9.626628e+01	4.678765e-06	2.140017e-07	2.140017e-07
9.626628e+01	1.044810e+02	4.599482e-06	2.036685e-07	2.036685e-07
1.044810e+02	1.133967e+02	4.254476e-06	1.880230e-07	1.880230e-07
1.133967e+02	1.230731e+02	3.996577e-06	1.749254e-07	1.749254e-07
1.230731e+02	1.335753e+02	3.477748e-06	1.566299e-07	1.566299e-07
1.335753e+02	1.449737e+02	3.314804e-06	1.467820e-07	1.467820e-07
1.449737e+02	1.573448e+02	2.766720e-06	1.287195e-07	1.287195e-07
1.573448e+02	1.707715e+02	2.593344e-06	1.196220e-07	1.196220e-07
1.707715e+02	1.853439e+02	2.430123e-06	1.111513e-07	1.111513e-07
1.853439e+02	2.011599e+02	2.168782e-06	1.007918e-07	1.007918e-07
2.011599e+02	2.183255e+02	2.101849e-06	9.524388e-08	9.524388e-08
2.183255e+02	2.369559e+02	1.896827e-06	8.684974e-08	8.684974e-08
2.369559e+02	2.571760e+02	1.619461e-06	7.702991e-08	7.702991e-08
2.571760e+02	2.791217e+02	1.417854e-06	6.918417e-08	6.918417e-08
2.791217e+02	3.029400e+02	1.228621e-06	6.181863e-08	6.181863e-08
3.029400e+02	3.287907e+02	1.189343e-06	5.838258e-08	5.838258e-08
3.287907e+02	3.568475e+02	9.373931e-07	4.975166e-08	4.975166e-08
3.568475e+02	3.872983e+02	8.393671e-07	4.519001e-08	4.519001e-08
3.872983e+02	4.203477e+02	7.576779e-07	4.121225e-08	4.121225e-08
