# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet $\eta$ distribution
XLabel=$\eta^\mathrm{jet}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta^\mathrm{jet}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet_eta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_eta
ScaledBy=2.10361921637362851e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	6.815726e-05	3.786514e-06	3.786514e-06
-2.400000e+00	-2.300000e+00	7.657174e-05	4.013450e-06	4.013450e-06
-2.300000e+00	-2.200000e+00	8.309296e-05	4.180860e-06	4.180860e-06
-2.200000e+00	-2.100000e+00	9.929083e-05	4.570231e-06	4.570231e-06
-2.100000e+00	-2.000000e+00	1.089675e-04	4.787756e-06	4.787756e-06
-2.000000e+00	-1.900000e+00	1.268482e-04	5.165660e-06	5.165660e-06
-1.900000e+00	-1.800000e+00	1.274793e-04	5.178494e-06	5.178494e-06
-1.800000e+00	-1.700000e+00	1.409425e-04	5.445083e-06	5.445083e-06
-1.700000e+00	-1.600000e+00	1.548264e-04	5.706976e-06	5.706976e-06
-1.600000e+00	-1.500000e+00	1.754418e-04	6.075054e-06	6.075054e-06
-1.500000e+00	-1.400000e+00	1.897465e-04	6.317866e-06	6.317866e-06
-1.400000e+00	-1.300000e+00	2.177246e-04	6.767641e-06	6.767641e-06
-1.300000e+00	-1.200000e+00	2.328706e-04	6.999080e-06	6.999080e-06
-1.200000e+00	-1.100000e+00	2.553794e-04	7.329536e-06	7.329536e-06
-1.100000e+00	-1.000000e+00	2.673700e-04	7.499631e-06	7.499631e-06
-1.000000e+00	-9.000000e-01	2.825161e-04	7.709126e-06	7.709126e-06
-9.000000e-01	-8.000000e-01	3.077595e-04	8.046172e-06	8.046172e-06
-8.000000e-01	-7.000000e-01	3.035523e-04	7.990985e-06	7.990985e-06
-7.000000e-01	-6.000000e-01	3.285853e-04	8.313955e-06	8.313955e-06
-6.000000e-01	-5.000000e-01	3.485697e-04	8.563048e-06	8.563048e-06
-5.000000e-01	-4.000000e-01	3.614018e-04	8.719241e-06	8.719241e-06
-4.000000e-01	-3.000000e-01	3.630847e-04	8.739519e-06	8.739519e-06
-3.000000e-01	-2.000000e-01	3.788618e-04	8.927379e-06	8.927379e-06
-2.000000e-01	-1.000000e-01	3.620329e-04	8.726851e-06	8.726851e-06
