# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet multiplicity ($p_\mathrm{T} > 25$ GeV)
XLabel=$N_\mathrm{jets}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}N_\mathrm{jets}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult
ScaledBy=5.76086640499999995e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	2.845868e-05	1.280417e-06	1.280417e-06
5.000000e-01	1.500000e+00	2.277847e-04	3.622481e-06	3.622481e-06
1.500000e+00	2.500000e+00	3.193824e-04	4.289429e-06	4.289429e-06
2.500000e+00	3.500000e+00	2.622922e-04	3.887198e-06	3.887198e-06
3.500000e+00	4.500000e+00	1.640119e-04	3.073842e-06	3.073842e-06
4.500000e+00	5.500000e+00	8.791082e-05	2.250428e-06	2.250428e-06
5.500000e+00	6.500000e+00	3.934672e-05	1.505560e-06	1.505560e-06
6.500000e+00	7.500000e+00	1.589999e-05	9.570670e-07	9.570670e-07
7.500000e+00	8.500000e+00	5.472823e-06	5.614998e-07	5.614998e-07
8.500000e+00	9.500000e+00	1.209782e-06	2.639961e-07	2.639961e-07
9.500000e+00	1.050000e+01	2.880433e-07	1.288169e-07	1.288169e-07
1.050000e+01	1.150000e+01	5.760866e-08	5.760866e-08	5.760866e-08
1.150000e+01	1.250000e+01	5.760866e-08	5.760866e-08	5.760866e-08
1.250000e+01	1.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+01	1.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+01	1.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+01	2.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.050000e+01	2.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+01	2.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+01	2.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+01	2.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult
ScaledBy=1.15412029460000010e-08
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	5.585942e-06	2.539065e-07	2.539065e-07
5.000000e-01	1.500000e+00	3.969020e-05	6.768106e-07	6.768106e-07
1.500000e+00	2.500000e+00	6.131841e-05	8.412421e-07	8.412421e-07
2.500000e+00	3.500000e+00	5.195850e-05	7.743794e-07	7.743794e-07
3.500000e+00	4.500000e+00	3.498139e-05	6.353954e-07	6.353954e-07
4.500000e+00	5.500000e+00	2.043947e-05	4.856914e-07	4.856914e-07
5.500000e+00	6.500000e+00	1.001776e-05	3.400250e-07	3.400250e-07
6.500000e+00	7.500000e+00	4.420281e-06	2.258658e-07	2.258658e-07
7.500000e+00	8.500000e+00	1.719639e-06	1.408784e-07	1.408784e-07
8.500000e+00	9.500000e+00	4.731893e-07	7.389976e-08	7.389976e-08
9.500000e+00	1.050000e+01	1.269532e-07	3.827784e-08	3.827784e-08
1.050000e+01	1.150000e+01	5.770601e-08	2.580691e-08	2.580691e-08
1.150000e+01	1.250000e+01	1.154120e-08	1.154120e-08	1.154120e-08
1.250000e+01	1.350000e+01	2.308241e-08	1.632172e-08	1.632172e-08
1.350000e+01	1.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+01	1.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+01	2.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.050000e+01	2.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+01	2.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+01	2.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+01	2.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet_mult
ScaledBy=9.09416233649999910e-10
Title=X3000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	6.629644e-07	2.455424e-08	2.455424e-08
5.000000e-01	1.500000e+00	3.309366e-06	5.485974e-08	5.485974e-08
1.500000e+00	2.500000e+00	4.400665e-06	6.326165e-08	6.326165e-08
2.500000e+00	3.500000e+00	3.843193e-06	5.911905e-08	5.911905e-08
3.500000e+00	4.500000e+00	2.713698e-06	4.967777e-08	4.967777e-08
4.500000e+00	5.500000e+00	1.619670e-06	3.837908e-08	3.837908e-08
5.500000e+00	6.500000e+00	9.212386e-07	2.894459e-08	2.894459e-08
6.500000e+00	7.500000e+00	4.192409e-07	1.952600e-08	1.952600e-08
7.500000e+00	8.500000e+00	1.691514e-07	1.240278e-08	1.240278e-08
8.500000e+00	9.500000e+00	7.820980e-08	8.433579e-09	8.433579e-09
9.500000e+00	1.050000e+01	3.182957e-08	5.380179e-09	5.380179e-09
1.050000e+01	1.150000e+01	1.091299e-08	3.150310e-09	3.150310e-09
1.150000e+01	1.250000e+01	6.365914e-09	2.406089e-09	2.406089e-09
1.250000e+01	1.350000e+01	9.094162e-10	9.094162e-10	9.094162e-10
1.350000e+01	1.450000e+01	9.094162e-10	9.094162e-10	9.094162e-10
1.450000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+01	1.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+01	2.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.050000e+01	2.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+01	2.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+01	2.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
