# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet $\phi$ distribution
XLabel=$\phi^\mathrm{jet}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi^\mathrm{jet}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi
ScaledBy=2.10361921637362851e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.890265e+00	-2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.764602e+00	-2.638938e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.638938e+00	-2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e+00	-2.387610e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.387610e+00	-2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.261947e+00	-2.136283e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.136283e+00	-2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.010619e+00	-1.884956e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.884956e+00	-1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.759292e+00	-1.633628e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.633628e+00	-1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.507964e+00	-1.382301e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.382301e+00	-1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e+00	-1.130973e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.130973e+00	-1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.005310e+00	-8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.796459e-01	-7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.539822e-01	-6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.283185e-01	-5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.026548e-01	-3.769911e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.769911e-01	-2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e-01	-1.256637e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e-01	4.440892e-16	0.000000e+00	0.000000e+00	0.000000e+00
4.440892e-16	1.256637e-01	1.839734e-04	5.549529e-06	5.549529e-06
1.256637e-01	2.513274e-01	1.734272e-04	5.388119e-06	5.388119e-06
2.513274e-01	3.769911e-01	1.789514e-04	5.473261e-06	5.473261e-06
3.769911e-01	5.026548e-01	1.791188e-04	5.475820e-06	5.475820e-06
5.026548e-01	6.283185e-01	1.704139e-04	5.341106e-06	5.341106e-06
6.283185e-01	7.539822e-01	1.821320e-04	5.521687e-06	5.521687e-06
7.539822e-01	8.796459e-01	1.869866e-04	5.594791e-06	5.594791e-06
8.796459e-01	1.005310e+00	1.774442e-04	5.450155e-06	5.450155e-06
1.005310e+00	1.130973e+00	1.824678e-04	5.526790e-06	5.526790e-06
1.130973e+00	1.256637e+00	1.828011e-04	5.531814e-06	5.531814e-06
1.256637e+00	1.382301e+00	1.749333e-04	5.411459e-06	5.411459e-06
1.382301e+00	1.507964e+00	1.873224e-04	5.599829e-06	5.599829e-06
1.507964e+00	1.633628e+00	1.839730e-04	5.549516e-06	5.549516e-06
1.633628e+00	1.759292e+00	1.761051e-04	5.429554e-06	5.429554e-06
1.759292e+00	1.884956e+00	1.866513e-04	5.589766e-06	5.589766e-06
1.884956e+00	2.010619e+00	1.829700e-04	5.534391e-06	5.534391e-06
2.010619e+00	2.136283e+00	1.821316e-04	5.521673e-06	5.521673e-06
2.136283e+00	2.261947e+00	1.839730e-04	5.549516e-06	5.549516e-06
2.261947e+00	2.387610e+00	1.851462e-04	5.567205e-06	5.567205e-06
2.387610e+00	2.513274e+00	1.883254e-04	5.614777e-06	5.614777e-06
2.513274e+00	2.638938e+00	1.913386e-04	5.659517e-06	5.659517e-06
2.638938e+00	2.764602e+00	1.876557e-04	5.604786e-06	5.604786e-06
2.764602e+00	2.890265e+00	1.776131e-04	5.452773e-06	5.452773e-06
2.890265e+00	3.015929e+00	1.838055e-04	5.546991e-06	5.546991e-06
3.015929e+00	3.141593e+00	1.896646e-04	5.634705e-06	5.634705e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/jet_phi
