# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Missing transverse energy
XLabel=$E_\mathrm{T}^\mathrm{miss}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}E_\mathrm{T}^\mathrm{miss}$ [pb/GeV]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/met
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X2000_pi20_L40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X3000_pi20_L40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X600_pi20_L40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X800_pi20_L40.yoda.gz/JetMETAnalysis/met
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/met
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/met
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1500_pi20_L40.yoda.gz/JetMETAnalysis/met
ScaledBy=5.76086640499999995e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.613043e-06	1.363270e-07	1.363270e-07
5.000000e+00	1.000000e+01	2.603912e-06	1.732096e-07	1.732096e-07
1.000000e+01	1.500000e+01	3.191520e-06	1.917598e-07	1.917598e-07
1.500000e+01	2.000000e+01	2.857390e-06	1.814444e-07	1.814444e-07
2.000000e+01	2.500000e+01	3.237606e-06	1.931394e-07	1.931394e-07
2.500000e+01	3.000000e+01	3.905868e-06	2.121376e-07	2.121376e-07
3.000000e+01	3.500000e+01	4.263042e-06	2.216250e-07	2.216250e-07
3.500000e+01	4.000000e+01	4.516520e-06	2.281187e-07	2.281187e-07
4.000000e+01	4.500000e+01	5.127172e-06	2.430512e-07	2.430512e-07
4.500000e+01	5.000000e+01	5.161736e-06	2.438691e-07	2.438691e-07
5.000000e+01	5.500000e+01	5.634128e-06	2.547841e-07	2.547841e-07
5.500000e+01	6.000000e+01	5.507388e-06	2.519020e-07	2.519020e-07
6.000000e+01	6.500000e+01	5.323040e-06	2.476502e-07	2.476502e-07
6.500000e+01	7.000000e+01	5.864562e-06	2.599421e-07	2.599421e-07
7.000000e+01	7.500000e+01	5.242388e-06	2.457670e-07	2.457670e-07
7.500000e+01	8.000000e+01	5.703258e-06	2.563423e-07	2.563423e-07
8.000000e+01	8.500000e+01	5.357606e-06	2.484531e-07	2.484531e-07
8.500000e+01	9.000000e+01	5.184780e-06	2.444128e-07	2.444128e-07
9.000000e+01	9.500000e+01	5.173258e-06	2.441411e-07	2.441411e-07
9.500000e+01	1.000000e+02	5.023476e-06	2.405809e-07	2.405809e-07
1.000000e+02	1.050000e+02	4.574128e-06	2.295689e-07	2.295689e-07
1.050000e+02	1.100000e+02	4.620214e-06	2.307225e-07	2.307225e-07
1.100000e+02	1.150000e+02	4.239998e-06	2.210252e-07	2.210252e-07
1.150000e+02	1.200000e+02	4.781520e-06	2.347156e-07	2.347156e-07
1.200000e+02	1.250000e+02	4.078694e-06	2.167801e-07	2.167801e-07
1.250000e+02	1.300000e+02	4.309128e-06	2.228197e-07	2.228197e-07
1.300000e+02	1.350000e+02	3.756084e-06	2.080303e-07	2.080303e-07
1.350000e+02	1.400000e+02	4.124780e-06	2.180014e-07	2.180014e-07
1.400000e+02	1.450000e+02	3.802172e-06	2.093027e-07	2.093027e-07
1.450000e+02	1.500000e+02	3.525650e-06	2.015480e-07	2.015480e-07
1.500000e+02	1.550000e+02	3.352824e-06	1.965460e-07	1.965460e-07
1.550000e+02	1.600000e+02	3.168476e-06	1.910663e-07	1.910663e-07
1.600000e+02	1.650000e+02	3.053260e-06	1.875602e-07	1.875602e-07
1.650000e+02	1.700000e+02	3.041738e-06	1.872060e-07	1.872060e-07
1.700000e+02	1.750000e+02	3.306738e-06	1.951905e-07	1.951905e-07
1.750000e+02	1.800000e+02	2.857390e-06	1.814444e-07	1.814444e-07
1.800000e+02	1.850000e+02	2.534782e-06	1.708949e-07	1.708949e-07
1.850000e+02	1.900000e+02	2.891954e-06	1.825386e-07	1.825386e-07
1.900000e+02	1.950000e+02	2.523260e-06	1.705061e-07	1.705061e-07
1.950000e+02	2.000000e+02	2.684564e-06	1.758716e-07	1.758716e-07
2.000000e+02	2.050000e+02	2.523260e-06	1.705061e-07	1.705061e-07
2.050000e+02	2.100000e+02	2.373476e-06	1.653680e-07	1.653680e-07
2.100000e+02	2.150000e+02	2.281304e-06	1.621251e-07	1.621251e-07
2.150000e+02	2.200000e+02	2.004782e-06	1.519821e-07	1.519821e-07
2.200000e+02	2.250000e+02	2.039346e-06	1.532867e-07	1.532867e-07
2.250000e+02	2.300000e+02	1.947173e-06	1.497825e-07	1.497825e-07
2.300000e+02	2.350000e+02	1.889564e-06	1.475502e-07	1.475502e-07
2.350000e+02	2.400000e+02	1.947173e-06	1.497825e-07	1.497825e-07
2.400000e+02	2.450000e+02	1.924129e-06	1.488936e-07	1.488936e-07
2.450000e+02	2.500000e+02	1.797390e-06	1.439064e-07	1.439064e-07
2.500000e+02	2.550000e+02	1.843477e-06	1.457397e-07	1.457397e-07
2.550000e+02	2.600000e+02	1.394130e-06	1.267391e-07	1.267391e-07
2.600000e+02	2.650000e+02	1.405651e-06	1.272617e-07	1.272617e-07
2.650000e+02	2.700000e+02	1.613043e-06	1.363270e-07	1.363270e-07
2.700000e+02	2.750000e+02	1.716738e-06	1.406407e-07	1.406407e-07
2.750000e+02	2.800000e+02	1.405651e-06	1.272617e-07	1.272617e-07
2.800000e+02	2.850000e+02	1.509347e-06	1.318723e-07	1.318723e-07
2.850000e+02	2.900000e+02	1.474782e-06	1.303535e-07	1.303535e-07
2.900000e+02	2.950000e+02	1.059999e-06	1.105126e-07	1.105126e-07
2.950000e+02	3.000000e+02	1.152173e-06	1.152173e-07	1.152173e-07
3.000000e+02	3.050000e+02	1.371086e-06	1.256873e-07	1.256873e-07
3.050000e+02	3.100000e+02	1.083043e-06	1.117073e-07	1.117073e-07
3.100000e+02	3.150000e+02	1.152173e-06	1.152173e-07	1.152173e-07
3.150000e+02	3.200000e+02	1.002391e-06	1.074676e-07	1.074676e-07
3.200000e+02	3.250000e+02	8.526082e-07	9.911369e-08	9.911369e-08
3.250000e+02	3.300000e+02	1.152173e-06	1.152173e-07	1.152173e-07
3.300000e+02	3.350000e+02	1.036956e-06	1.093047e-07	1.093047e-07
3.350000e+02	3.400000e+02	1.059999e-06	1.105126e-07	1.105126e-07
3.400000e+02	3.450000e+02	1.117608e-06	1.134759e-07	1.134759e-07
3.450000e+02	3.500000e+02	9.793472e-07	1.062251e-07	1.062251e-07
3.500000e+02	3.550000e+02	7.834778e-07	9.501065e-08	9.501065e-08
3.550000e+02	3.600000e+02	1.071521e-06	1.111116e-07	1.111116e-07
3.600000e+02	3.650000e+02	8.180430e-07	9.708384e-08	9.708384e-08
3.650000e+02	3.700000e+02	7.834778e-07	9.501065e-08	9.501065e-08
3.700000e+02	3.750000e+02	9.447820e-07	1.043337e-07	1.043337e-07
