# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
Title=Di-bjet $\Delta R$
XLabel=$\Delta R_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/bb_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/bb_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=1.57872041894473936e-05
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	4.753153e-01	4.281135e-02	4.281135e-02
5.000000e-01	6.000000e-01	5.747999e-01	4.660710e-02	4.660710e-02
6.000000e-01	7.000000e-01	7.332383e-01	5.352212e-02	5.352212e-02
7.000000e-01	8.000000e-01	7.037614e-01	5.223842e-02	5.223842e-02
8.000000e-01	9.000000e-01	9.469459e-01	6.020710e-02	6.020710e-02
9.000000e-01	1.000000e+00	9.764229e-01	6.110242e-02	6.110242e-02
1.000000e+00	1.100000e+00	1.149600e+00	6.713688e-02	6.713688e-02
1.100000e+00	1.200000e+00	1.197500e+00	6.883428e-02	6.883428e-02
1.200000e+00	1.300000e+00	1.330146e+00	7.097069e-02	7.097069e-02
1.300000e+00	1.400000e+00	1.499638e+00	7.578134e-02	7.578134e-02
1.400000e+00	1.500000e+00	1.400154e+00	7.295165e-02	7.295165e-02
1.500000e+00	1.600000e+00	1.713346e+00	8.147915e-02	8.147915e-02
1.600000e+00	1.700000e+00	1.849677e+00	8.466600e-02	8.466600e-02
1.700000e+00	1.800000e+00	1.820200e+00	8.418357e-02	8.418357e-02
1.800000e+00	1.900000e+00	1.989692e+00	8.858414e-02	8.858414e-02
1.900000e+00	2.000000e+00	2.004430e+00	8.843075e-02	8.843075e-02
2.000000e+00	2.100000e+00	2.100230e+00	9.040456e-02	9.040456e-02
2.100000e+00	2.200000e+00	2.487115e+00	9.783328e-02	9.783328e-02
2.200000e+00	2.300000e+00	2.487115e+00	9.824871e-02	9.824871e-02
2.300000e+00	2.400000e+00	2.523961e+00	9.934803e-02	9.934803e-02
2.400000e+00	2.500000e+00	2.597653e+00	1.003000e-01	1.003000e-01
2.500000e+00	2.600000e+00	2.851892e+00	1.047364e-01	1.047364e-01
2.600000e+00	2.700000e+00	2.686084e+00	1.034977e-01	1.034977e-01
2.700000e+00	2.800000e+00	3.039807e+00	1.088677e-01	1.088677e-01
2.800000e+00	2.900000e+00	3.224038e+00	1.113339e-01	1.113339e-01
2.900000e+00	3.000000e+00	3.047176e+00	1.094895e-01	1.094895e-01
3.000000e+00	3.100000e+00	3.308784e+00	1.134478e-01	1.134478e-01
3.100000e+00	3.200000e+00	2.811361e+00	1.045418e-01	1.045418e-01
3.200000e+00	3.300000e+00	1.779669e+00	8.345469e-02	8.345469e-02
3.300000e+00	3.400000e+00	1.322777e+00	7.267196e-02	7.267196e-02
3.400000e+00	3.500000e+00	1.160654e+00	6.764054e-02	6.764054e-02
3.500000e+00	3.600000e+00	9.801075e-01	6.296272e-02	6.296272e-02
3.600000e+00	3.700000e+00	7.369229e-01	5.314027e-02	5.314027e-02
3.700000e+00	3.800000e+00	5.784845e-01	4.818259e-02	4.818259e-02
3.800000e+00	3.900000e+00	4.237307e-01	4.086435e-02	4.086435e-02
3.900000e+00	4.000000e+00	2.984538e-01	3.628924e-02	3.628924e-02
4.000000e+00	4.100000e+00	2.800307e-01	3.416971e-02	3.416971e-02
4.100000e+00	4.200000e+00	2.358153e-01	3.082770e-02	3.082770e-02
4.200000e+00	4.300000e+00	1.437000e-01	2.526045e-02	2.526045e-02
4.300000e+00	4.400000e+00	1.031692e-01	2.084333e-02	2.084333e-02
4.400000e+00	4.500000e+00	7.737691e-02	2.051507e-02	2.051507e-02
4.500000e+00	4.600000e+00	5.895383e-02	1.473846e-02	1.473846e-02
4.600000e+00	4.700000e+00	7.369229e-02	1.728238e-02	1.728238e-02
4.700000e+00	4.800000e+00	2.579230e-02	1.105385e-02	1.105385e-02
4.800000e+00	4.900000e+00	2.210769e-02	1.165177e-02	1.165177e-02
4.900000e+00	5.000000e+00	1.473846e-02	7.369229e-03	7.369229e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=1.59148787614182405e-05
Title=X1000_Qd20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	5.534201e-01	4.594247e-02	4.594247e-02
5.000000e-01	6.000000e-01	6.685612e-01	5.065533e-02	5.065533e-02
6.000000e-01	7.000000e-01	7.502742e-01	5.382429e-02	5.382429e-02
7.000000e-01	8.000000e-01	8.134161e-01	5.669524e-02	5.669524e-02
8.000000e-01	9.000000e-01	8.802722e-01	5.860954e-02	5.860954e-02
9.000000e-01	1.000000e+00	1.058555e+00	6.379397e-02	6.379397e-02
1.000000e+00	1.100000e+00	1.028841e+00	6.336000e-02	6.336000e-02
1.100000e+00	1.200000e+00	1.229410e+00	6.838620e-02	6.838620e-02
1.200000e+00	1.300000e+00	1.322265e+00	7.125126e-02	7.125126e-02
1.300000e+00	1.400000e+00	1.500548e+00	7.593759e-02	7.593759e-02
1.400000e+00	1.500000e+00	1.652832e+00	7.992067e-02	7.992067e-02
1.500000e+00	1.600000e+00	1.667689e+00	7.992067e-02	7.992067e-02
1.600000e+00	1.700000e+00	1.745688e+00	8.238558e-02	8.238558e-02
1.700000e+00	1.800000e+00	1.764259e+00	8.461597e-02	8.461597e-02
1.800000e+00	1.900000e+00	2.053968e+00	8.937333e-02	8.937333e-02
1.900000e+00	2.000000e+00	1.949970e+00	8.781618e-02	8.781618e-02
2.000000e+00	2.100000e+00	2.146824e+00	9.158417e-02	9.158417e-02
2.100000e+00	2.200000e+00	2.150538e+00	9.210987e-02	9.210987e-02
2.200000e+00	2.300000e+00	2.406820e+00	9.614043e-02	9.614043e-02
2.300000e+00	2.400000e+00	2.481105e+00	9.896869e-02	9.896869e-02
2.400000e+00	2.500000e+00	2.492247e+00	9.917756e-02	9.917756e-02
2.500000e+00	2.600000e+00	2.748529e+00	1.027976e-01	1.027976e-01
2.600000e+00	2.700000e+00	2.952812e+00	1.068123e-01	1.068123e-01
2.700000e+00	2.800000e+00	3.145952e+00	1.109927e-01	1.109927e-01
2.800000e+00	2.900000e+00	3.112524e+00	1.095540e-01	1.095540e-01
2.900000e+00	3.000000e+00	3.138523e+00	1.117359e-01	1.117359e-01
3.000000e+00	3.100000e+00	3.205379e+00	1.134513e-01	1.134513e-01
3.100000e+00	3.200000e+00	2.752243e+00	1.037992e-01	1.037992e-01
3.200000e+00	3.300000e+00	2.042826e+00	9.006526e-02	9.006526e-02
3.300000e+00	3.400000e+00	1.511691e+00	7.782173e-02	7.782173e-02
3.400000e+00	3.500000e+00	1.195982e+00	6.988279e-02	6.988279e-02
3.500000e+00	3.600000e+00	8.765580e-01	6.034908e-02	6.034908e-02
3.600000e+00	3.700000e+00	7.242746e-01	5.620648e-02	5.620648e-02
