# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
Title=Di-bjet $\Delta\eta$
XLabel=$\Delta\eta_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/bb_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/bb_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_deta
ScaledBy=1.57872041894473936e-05
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.921899e+00	1.058325e-01	1.058325e-01
1.000000e-01	2.000000e-01	2.914530e+00	1.058325e-01	1.058325e-01
2.000000e-01	3.000000e-01	3.323522e+00	1.124864e-01	1.124864e-01
3.000000e-01	4.000000e-01	3.095076e+00	1.089301e-01	1.089301e-01
4.000000e-01	5.000000e-01	3.187192e+00	1.113339e-01	1.113339e-01
5.000000e-01	6.000000e-01	3.135607e+00	1.102309e-01	1.102309e-01
6.000000e-01	7.000000e-01	3.069284e+00	1.088677e-01	1.088677e-01
7.000000e-01	8.000000e-01	2.903476e+00	1.072976e-01	1.072976e-01
8.000000e-01	9.000000e-01	2.914530e+00	1.062167e-01	1.062167e-01
9.000000e-01	1.000000e+00	2.859261e+00	1.047364e-01	1.047364e-01
1.000000e+00	1.100000e+00	2.634499e+00	1.016446e-01	1.016446e-01
1.100000e+00	1.200000e+00	2.549753e+00	1.007727e-01	1.007727e-01
1.200000e+00	1.300000e+00	2.402369e+00	9.664654e-02	9.664654e-02
1.300000e+00	1.400000e+00	2.310253e+00	9.415614e-02	9.415614e-02
1.400000e+00	1.500000e+00	2.262353e+00	9.321419e-02	9.321419e-02
1.500000e+00	1.600000e+00	1.916000e+00	8.578112e-02	8.578112e-02
1.600000e+00	1.700000e+00	1.842307e+00	8.562271e-02	8.562271e-02
1.700000e+00	1.800000e+00	1.916000e+00	8.734946e-02	8.734946e-02
1.800000e+00	1.900000e+00	1.595438e+00	7.894024e-02	7.894024e-02
1.900000e+00	2.000000e+00	1.477530e+00	7.684873e-02	7.684873e-02
2.000000e+00	2.100000e+00	1.389100e+00	7.248490e-02	7.248490e-02
2.100000e+00	2.200000e+00	1.282246e+00	7.029797e-02	7.029797e-02
2.200000e+00	2.300000e+00	1.090646e+00	6.652745e-02	6.652745e-02
2.300000e+00	2.400000e+00	1.035377e+00	6.392568e-02	6.392568e-02
2.400000e+00	2.500000e+00	8.364075e-01	5.814224e-02	5.814224e-02
2.500000e+00	2.600000e+00	7.074460e-01	5.210832e-02	5.210832e-02
2.600000e+00	2.700000e+00	7.000768e-01	5.262682e-02	5.262682e-02
2.700000e+00	2.800000e+00	5.858537e-01	4.818259e-02	4.818259e-02
2.800000e+00	2.900000e+00	5.784845e-01	4.902061e-02	4.902061e-02
2.900000e+00	3.000000e+00	3.905691e-01	4.002515e-02	4.002515e-02
3.000000e+00	3.100000e+00	4.568922e-01	4.168665e-02	4.168665e-02
3.100000e+00	3.200000e+00	3.279307e-01	3.775606e-02	3.775606e-02
3.200000e+00	3.300000e+00	2.137076e-01	3.082770e-02	3.082770e-02
3.300000e+00	3.400000e+00	2.026538e-01	2.830206e-02	2.830206e-02
3.400000e+00	3.500000e+00	1.473846e-01	2.552776e-02	2.552776e-02
3.500000e+00	3.600000e+00	1.547538e-01	2.552776e-02	2.552776e-02
3.600000e+00	3.700000e+00	1.289615e-01	2.301041e-02	2.301041e-02
3.700000e+00	3.800000e+00	7.737691e-02	1.842307e-02	1.842307e-02
3.800000e+00	3.900000e+00	1.105384e-01	2.084333e-02	2.084333e-02
3.900000e+00	4.000000e+00	4.053076e-02	1.427045e-02	1.427045e-02
4.000000e+00	4.100000e+00	8.106152e-02	1.805085e-02	1.805085e-02
4.100000e+00	4.200000e+00	4.789999e-02	1.328507e-02	1.328507e-02
4.200000e+00	4.300000e+00	1.473846e-02	1.165177e-02	1.165177e-02
4.300000e+00	4.400000e+00	2.579230e-02	9.748574e-03	9.748574e-03
4.400000e+00	4.500000e+00	2.947692e-02	1.165177e-02	1.165177e-02
4.500000e+00	4.600000e+00	1.105384e-02	6.381939e-03	6.381939e-03
4.600000e+00	4.700000e+00	7.369229e-03	5.210832e-03	5.210832e-03
4.700000e+00	4.800000e+00	3.684615e-03	3.684614e-03	3.684614e-03
4.800000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_deta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_deta
ScaledBy=1.59148787614182405e-05
Title=X1000_Qd20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.030811e+00	1.080324e-01	1.080324e-01
1.000000e-01	2.000000e-01	3.101381e+00	1.097427e-01	1.097427e-01
2.000000e-01	3.000000e-01	3.264807e+00	1.122287e-01	1.122287e-01
3.000000e-01	4.000000e-01	3.119952e+00	1.098056e-01	1.098056e-01
4.000000e-01	5.000000e-01	3.216522e+00	1.120442e-01	1.120442e-01
