# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
Title=Di-bjet $\Delta\phi$
XLabel=$\Delta\phi_{bb}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{bb}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/bb_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_dphi
ScaledBy=1.57872041894473936e-05
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.125935e+00	8.375819e-02	8.375819e-02
6.283185e-02	1.256637e-01	1.184578e+00	8.578653e-02	8.578653e-02
1.256637e-01	1.884956e-01	1.114206e+00	8.293290e-02	8.293290e-02
1.884956e-01	2.513274e-01	1.090751e+00	8.293304e-02	8.293304e-02
2.513274e-01	3.141593e-01	1.243219e+00	8.815889e-02	8.815889e-02
3.141593e-01	3.769911e-01	1.219764e+00	8.737537e-02	8.737537e-02
3.769911e-01	4.398230e-01	1.419146e+00	9.382786e-02	9.382786e-02
4.398230e-01	5.026548e-01	1.419149e+00	9.564304e-02	9.564304e-02
5.026548e-01	5.654867e-01	1.360504e+00	9.235017e-02	9.235017e-02
5.654867e-01	6.283185e-01	1.325321e+00	9.046927e-02	9.046927e-02
6.283185e-01	6.911504e-01	1.489517e+00	9.564289e-02	9.564289e-02
6.911504e-01	7.539822e-01	1.419149e+00	9.272195e-02	9.272195e-02
7.539822e-01	8.168141e-01	1.348776e+00	9.046912e-02	9.046912e-02
8.168141e-01	8.796459e-01	1.530570e+00	9.618086e-02	9.618086e-02
8.796459e-01	9.424778e-01	1.436739e+00	9.582251e-02	9.582251e-02
9.424778e-01	1.005310e+00	1.806177e+00	1.055559e-01	1.055559e-01
1.005310e+00	1.068142e+00	1.729948e+00	1.027497e-01	1.027497e-01
1.068142e+00	1.130973e+00	1.636146e+00	9.969354e-02	9.969354e-02
1.130973e+00	1.193805e+00	1.466058e+00	9.528251e-02	9.528251e-02
1.193805e+00	1.256637e+00	1.683034e+00	1.030838e-01	1.030838e-01
1.256637e+00	1.319469e+00	1.571614e+00	9.707032e-02	9.707032e-02
1.319469e+00	1.382301e+00	1.765134e+00	1.047385e-01	1.047385e-01
1.382301e+00	1.445133e+00	1.636120e+00	1.017406e-01	1.017406e-01
1.445133e+00	1.507964e+00	1.905906e+00	1.095546e-01	1.095546e-01
1.507964e+00	1.570796e+00	1.858962e+00	1.079720e-01	1.079720e-01
1.570796e+00	1.633628e+00	1.970381e+00	1.100228e-01	1.100228e-01
1.633628e+00	1.696460e+00	1.929332e+00	1.092385e-01	1.092385e-01
1.696460e+00	1.759292e+00	1.864825e+00	1.081311e-01	1.081311e-01
1.759292e+00	1.822124e+00	2.034888e+00	1.126482e-01	1.126482e-01
1.822124e+00	1.884956e+00	2.052481e+00	1.140137e-01	1.140137e-01
1.884956e+00	1.947787e+00	2.193258e+00	1.166986e-01	1.166986e-01
1.947787e+00	2.010619e+00	2.152174e+00	1.138628e-01	1.138628e-01
2.010619e+00	2.073451e+00	2.204951e+00	1.161059e-01	1.161059e-01
2.073451e+00	2.136283e+00	2.234272e+00	1.177236e-01	1.177236e-01
2.136283e+00	2.199115e+00	2.204951e+00	1.155120e-01	1.155120e-01
2.199115e+00	2.261947e+00	2.591991e+00	1.271335e-01	1.271335e-01
2.261947e+00	2.324779e+00	2.591991e+00	1.255001e-01	1.255001e-01
2.324779e+00	2.387610e+00	2.597896e+00	1.267292e-01	1.267292e-01
2.387610e+00	2.450442e+00	2.462977e+00	1.252257e-01	1.252257e-01
2.450442e+00	2.513274e+00	2.580262e+00	1.271335e-01	1.271335e-01
2.513274e+00	2.576106e+00	2.439521e+00	1.260469e-01	1.260469e-01
2.576106e+00	2.638938e+00	2.709276e+00	1.284789e-01	1.284789e-01
2.638938e+00	2.701770e+00	2.650633e+00	1.300750e-01	1.300750e-01
2.701770e+00	2.764602e+00	3.049402e+00	1.375284e-01	1.375284e-01
2.764602e+00	2.827433e+00	2.832470e+00	1.315231e-01	1.315231e-01
2.827433e+00	2.890265e+00	2.908660e+00	1.344944e-01	1.344944e-01
2.890265e+00	2.953097e+00	3.096314e+00	1.372782e-01	1.372782e-01
2.953097e+00	3.015929e+00	2.685818e+00	1.300750e-01	1.300750e-01
3.015929e+00	3.078761e+00	2.932116e+00	1.350048e-01	1.350048e-01
3.078761e+00	3.141593e+00	2.773782e+00	1.315210e-01	1.315210e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_dphi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_dphi
ScaledBy=1.59148787614182405e-05
Title=X1000_Qd20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.140896e+00	8.463806e-02	8.463806e-02
6.283185e-02	1.256637e-01	1.111339e+00	8.275930e-02	8.275930e-02
1.256637e-01	1.884956e-01	1.129072e+00	8.297010e-02	8.297010e-02
1.884956e-01	2.513274e-01	1.194099e+00	8.647609e-02	8.647609e-02
2.513274e-01	3.141593e-01	1.270945e+00	8.827564e-02	8.827564e-02
3.141593e-01	3.769911e-01	1.241391e+00	8.728053e-02	8.728053e-02
