# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
Title=Di-bjet invariant mass
XLabel=$m_{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/bb_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/bb_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=1.57872041894473936e-05
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	8.635850e-05	8.635848e-05	8.635848e-05
5.426665e+01	5.889739e+01	1.591372e-04	1.125270e-04	1.125270e-04
5.889739e+01	6.392328e+01	1.466254e-04	1.036798e-04	1.036798e-04
6.392328e+01	6.937805e+01	2.701940e-04	1.350970e-04	1.350970e-04
6.937805e+01	7.529829e+01	3.734256e-04	1.524503e-04	1.524503e-04
7.529829e+01	8.172373e+01	8.028182e-04	2.145622e-04	2.145622e-04
8.172373e+01	8.869746e+01	3.170139e-04	1.294203e-04	1.294203e-04
8.869746e+01	9.626628e+01	9.249484e-04	2.230866e-04	2.230866e-04
9.626628e+01	1.044810e+02	8.970761e-04	2.005923e-04	2.005923e-04
1.044810e+02	1.133967e+02	8.678725e-04	1.893853e-04	1.893853e-04
1.133967e+02	1.230731e+02	9.519590e-04	1.903918e-04	1.903918e-04
1.230731e+02	1.335753e+02	1.087611e-03	2.015435e-04	2.015435e-04
1.335753e+02	1.449737e+02	1.842566e-03	2.524719e-04	2.524719e-04
1.449737e+02	1.573448e+02	1.965748e-03	2.419668e-04	2.419668e-04
1.573448e+02	1.707715e+02	2.167953e-03	2.559660e-04	2.559660e-04
1.707715e+02	1.853439e+02	2.933047e-03	2.792807e-04	2.792807e-04
1.853439e+02	2.011599e+02	2.981985e-03	2.676593e-04	2.676593e-04
2.011599e+02	2.183255e+02	2.726069e-03	2.456794e-04	2.456794e-04
2.183255e+02	2.369559e+02	3.441273e-03	2.697282e-04	2.697282e-04
2.369559e+02	2.571760e+02	3.571617e-03	2.602698e-04	2.602698e-04
2.571760e+02	2.791217e+02	3.693731e-03	2.535187e-04	2.535187e-04
2.791217e+02	3.029400e+02	4.068525e-03	2.583946e-04	2.583946e-04
3.029400e+02	3.287907e+02	4.233274e-03	2.497405e-04	2.497405e-04
3.287907e+02	3.568475e+02	4.412584e-03	2.463912e-04	2.463912e-04
3.568475e+02	3.872983e+02	4.622286e-03	2.413987e-04	2.413987e-04
3.872983e+02	4.203477e+02	5.128453e-03	2.437488e-04	2.437488e-04
4.203477e+02	4.562172e+02	5.721658e-03	2.463206e-04	2.463206e-04
4.562172e+02	4.951476e+02	5.035178e-03	2.227707e-04	2.227707e-04
4.951476e+02	5.374001e+02	5.354365e-03	2.209567e-04	2.209567e-04
5.374001e+02	5.832581e+02	4.909285e-03	2.034258e-04	2.034258e-04
5.832581e+02	6.330293e+02	5.189578e-03	2.017940e-04	2.017940e-04
6.330293e+02	6.870476e+02	5.306776e-03	1.943699e-04	1.943699e-04
6.870476e+02	7.456754e+02	4.700999e-03	1.759732e-04	1.759732e-04
7.456754e+02	8.093062e+02	4.516679e-03	1.660201e-04	1.660201e-04
8.093062e+02	8.783667e+02	4.625743e-03	1.612121e-04	1.612121e-04
8.783667e+02	9.533204e+02	4.262046e-03	1.491863e-04	1.491863e-04
9.533204e+02	1.034670e+03	3.917895e-03	1.365584e-04	1.365584e-04
1.034670e+03	1.122962e+03	3.568098e-03	1.252660e-04	1.252660e-04
1.122962e+03	1.218787e+03	3.295294e-03	1.154185e-04	1.154185e-04
1.218787e+03	1.322790e+03	2.851951e-03	1.032286e-04	1.032286e-04
1.322790e+03	1.435668e+03	2.353521e-03	9.063791e-05	9.063791e-05
1.435668e+03	1.558178e+03	1.936897e-03	7.842870e-05	7.842870e-05
1.558178e+03	1.691142e+03	1.504728e-03	6.679532e-05	6.679532e-05
1.691142e+03	1.835452e+03	1.087690e-03	5.464222e-05	5.464222e-05
1.835452e+03	1.992077e+03	6.822270e-04	4.260572e-05	4.260572e-05
1.992077e+03	2.162067e+03	5.353843e-04	3.620519e-05	3.620519e-05
2.162067e+03	2.346563e+03	3.355169e-04	2.810203e-05	2.810203e-05
2.346563e+03	2.546802e+03	2.079322e-04	2.089962e-05	2.089962e-05
2.546802e+03	2.764129e+03	1.237660e-04	1.506926e-05	1.506926e-05
2.764129e+03	3.000000e+03	6.873376e-05	1.210022e-05	1.210022e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=1.59148787614182405e-05
Title=X1000_Qd20
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	1.741051e-04	1.231109e-04	1.231109e-04
5.426665e+01	5.889739e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.889739e+01	6.392328e+01	4.434114e-04	1.810220e-04	1.810220e-04
6.392328e+01	6.937805e+01	2.042742e-04	1.179378e-04	1.179378e-04
6.937805e+01	7.529829e+01	5.646403e-04	1.882135e-04	1.882135e-04
7.529829e+01	8.172373e+01	3.468303e-04	1.415929e-04	1.415929e-04
8.172373e+01	8.869746e+01	5.326029e-04	1.684239e-04	1.684239e-04
8.869746e+01	9.626628e+01	8.833097e-04	2.194600e-04	2.194600e-04
9.626628e+01	1.044810e+02	5.877860e-04	1.630225e-04	1.630225e-04
1.044810e+02	1.133967e+02	8.331883e-04	1.954000e-04	1.954000e-04
1.133967e+02	1.230731e+02	1.496992e-03	2.397105e-04	2.397105e-04
1.230731e+02	1.335753e+02	1.556113e-03	2.450242e-04	2.450242e-04
1.335753e+02	1.449737e+02	1.498934e-03	2.304145e-04	2.304145e-04
1.449737e+02	1.573448e+02	2.011570e-03	2.529819e-04	2.529819e-04
1.573448e+02	1.707715e+02	2.627985e-03	2.888103e-04	2.888103e-04
1.707715e+02	1.853439e+02	2.854668e-03	2.768717e-04	2.768717e-04
1.853439e+02	2.011599e+02	3.264275e-03	2.768722e-04	2.768722e-04
2.011599e+02	2.183255e+02	3.526934e-03	2.796198e-04	2.796198e-04
2.183255e+02	2.369559e+02	3.728105e-03	2.755264e-04	2.755264e-04
2.369559e+02	2.571760e+02	3.765644e-03	2.705921e-04	2.705921e-04
2.571760e+02	2.791217e+02	4.315781e-03	2.713225e-04	2.713225e-04
2.791217e+02	3.029400e+02	4.101226e-03	2.595361e-04	2.595361e-04
3.029400e+02	3.287907e+02	4.051778e-03	2.480302e-04	2.480302e-04
3.287907e+02	3.568475e+02	4.064141e-03	2.364427e-04	2.364427e-04
