# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
Title=$b$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/bb_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/bb_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=1.57872041894473936e-05
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	1.131882e-03	5.061929e-04	5.061929e-04
2.162765e+01	2.338777e+01	6.280163e-04	4.680958e-04	4.680958e-04
2.338777e+01	2.529113e+01	1.935848e-04	1.935847e-04	1.935847e-04
2.529113e+01	2.734939e+01	1.253112e-03	4.736318e-04	4.736318e-04
2.734939e+01	2.957515e+01	1.324353e-03	4.682295e-04	4.682295e-04
2.957515e+01	3.198206e+01	9.185092e-04	3.749798e-04	3.749798e-04
3.198206e+01	3.458484e+01	2.265033e-03	5.662584e-04	5.662584e-04
3.458484e+01	3.739945e+01	1.047283e-03	3.702703e-04	3.702703e-04
3.739945e+01	4.044311e+01	1.452704e-03	4.193595e-04	4.193595e-04
4.044311e+01	4.373448e+01	2.015059e-03	4.749540e-04	4.749540e-04
4.373448e+01	4.729371e+01	1.863410e-03	4.629680e-04	4.629680e-04
4.729371e+01	5.114260e+01	2.297565e-03	4.881387e-04	4.881387e-04
5.114260e+01	5.530472e+01	1.682020e-03	3.858818e-04	3.858818e-04
5.530472e+01	5.980556e+01	2.046626e-03	4.093252e-04	4.093252e-04
5.980556e+01	6.467270e+01	2.422525e-03	4.414258e-04	4.414258e-04
6.467270e+01	6.993594e+01	2.520237e-03	4.315496e-04	4.315496e-04
6.993594e+01	7.562751e+01	2.589525e-03	4.094397e-04	4.094397e-04
7.562751e+01	8.178228e+01	3.113033e-03	4.479961e-04	4.479961e-04
8.178228e+01	8.843794e+01	2.934113e-03	4.105654e-04	4.105654e-04
8.843794e+01	9.563525e+01	3.532409e-03	4.492285e-04	4.492285e-04
9.563525e+01	1.034183e+02	3.597956e-03	4.286958e-04	4.286958e-04
1.034183e+02	1.118348e+02	4.334068e-03	4.443030e-04	4.443030e-04
1.118348e+02	1.209362e+02	4.534212e-03	4.322513e-04	4.322513e-04
1.209362e+02	1.307783e+02	4.829409e-03	4.381922e-04	4.381922e-04
1.307783e+02	1.414214e+02	4.846765e-03	4.183120e-04	4.183120e-04
1.414214e+02	1.529306e+02	4.866206e-03	4.049552e-04	4.049552e-04
1.529306e+02	1.653765e+02	5.032858e-03	4.015824e-04	4.015824e-04
1.653765e+02	1.788353e+02	5.667037e-03	3.995540e-04	3.995540e-04
1.788353e+02	1.933894e+02	5.721569e-03	3.872707e-04	3.872707e-04
1.933894e+02	2.091279e+02	5.571931e-03	3.701679e-04	3.701679e-04
2.091279e+02	2.261473e+02	6.213404e-03	3.705797e-04	3.705797e-04
2.261473e+02	2.445518e+02	6.926985e-03	3.798562e-04	3.798562e-04
2.445518e+02	2.644540e+02	6.535303e-03	3.594692e-04	3.594692e-04
2.644540e+02	2.859760e+02	7.258977e-03	3.582997e-04	3.582997e-04
2.859760e+02	3.092495e+02	7.504273e-03	3.533012e-04	3.533012e-04
3.092495e+02	3.344170e+02	7.817956e-03	3.452148e-04	3.452148e-04
3.344170e+02	3.616328e+02	8.123109e-03	3.365621e-04	3.365621e-04
3.616328e+02	3.910634e+02	7.637000e-03	3.182066e-04	3.182066e-04
3.910634e+02	4.228892e+02	8.648351e-03	3.243751e-04	3.243751e-04
4.228892e+02	4.573051e+02	8.853977e-03	3.184964e-04	3.184964e-04
4.573051e+02	4.945218e+02	8.395567e-03	2.970130e-04	2.970130e-04
4.945218e+02	5.347672e+02	8.541958e-03	2.855829e-04	2.855829e-04
5.347672e+02	5.782880e+02	8.186940e-03	2.721106e-04	2.721106e-04
5.782880e+02	6.253506e+02	8.142344e-03	2.584815e-04	2.584815e-04
6.253506e+02	6.762433e+02	7.087928e-03	2.338184e-04	2.338184e-04
6.762433e+02	7.312778e+02	6.889257e-03	2.225554e-04	2.225554e-04
7.312778e+02	7.907911e+02	6.568911e-03	2.074760e-04	2.074760e-04
7.907911e+02	8.551478e+02	5.244375e-03	1.781296e-04	1.781296e-04
8.551478e+02	9.247420e+02	4.039648e-03	1.505890e-04	1.505890e-04
9.247420e+02	1.000000e+03	2.741747e-03	1.223015e-04	1.223015e-04
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=1.59148787614182405e-05
Title=X1000_Qd20
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	2.053762e-03	6.845875e-04	6.845875e-04
2.162765e+01	2.338777e+01	4.220426e-04	2.984292e-04	2.984292e-04
2.338777e+01	2.529113e+01	2.341687e-03	6.759869e-04	6.759869e-04
2.529113e+01	2.734939e+01	1.082729e-03	4.420222e-04	4.420222e-04
2.734939e+01	2.957515e+01	1.501872e-03	5.006240e-04	5.006240e-04
2.957515e+01	3.198206e+01	1.080207e-03	4.082797e-04	4.082797e-04
