# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/bjet_eta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bjet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/bjet_eta
ScaledBy=7.37705049895298222e-06
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	1.394616e-01	1.678152e-02	1.678152e-02
-2.400000e+00	-2.300000e+00	2.169403e-01	2.022596e-02	2.022596e-02
-2.300000e+00	-2.200000e+00	2.720362e-01	2.360742e-02	2.360742e-02
-2.200000e+00	-2.100000e+00	3.426279e-01	2.616831e-02	2.616831e-02
-2.100000e+00	-2.000000e+00	3.529583e-01	2.628134e-02	2.628134e-02
-2.000000e+00	-1.900000e+00	4.631502e-01	2.997029e-02	2.997029e-02
-1.900000e+00	-1.800000e+00	5.389071e-01	3.188722e-02	3.188722e-02
-1.800000e+00	-1.700000e+00	6.336033e-01	3.434877e-02	3.434877e-02
-1.700000e+00	-1.600000e+00	7.833954e-01	3.853794e-02	3.853794e-02
-1.600000e+00	-1.500000e+00	8.247173e-01	3.892065e-02	3.892065e-02
-1.500000e+00	-1.400000e+00	1.015831e+00	4.287118e-02	4.287118e-02
-1.400000e+00	-1.300000e+00	1.126023e+00	4.522662e-02	4.522662e-02
-1.300000e+00	-1.200000e+00	1.184563e+00	4.677327e-02	4.677327e-02
-1.200000e+00	-1.100000e+00	1.303363e+00	4.945344e-02	4.945344e-02
-1.100000e+00	-1.000000e+00	1.539243e+00	5.284392e-02	5.284392e-02
-1.000000e+00	-9.000000e-01	1.652878e+00	5.455524e-02	5.455524e-02
-9.000000e-01	-8.000000e-01	1.683870e+00	5.520344e-02	5.520344e-02
-8.000000e-01	-7.000000e-01	1.843992e+00	5.800528e-02	5.800528e-02
-7.000000e-01	-6.000000e-01	1.807835e+00	5.731119e-02	5.731119e-02
-6.000000e-01	-5.000000e-01	1.971402e+00	6.006409e-02	6.006409e-02
-5.000000e-01	-4.000000e-01	2.126359e+00	6.191115e-02	6.191115e-02
-4.000000e-01	-3.000000e-01	2.112585e+00	6.143046e-02	6.143046e-02
-3.000000e-01	-2.000000e-01	2.289925e+00	6.423758e-02	6.423758e-02
-2.000000e-01	-1.000000e-01	2.253768e+00	6.351827e-02	6.351827e-02
-1.000000e-01	0.000000e+00	2.376012e+00	6.533574e-02	6.533574e-02
0.000000e+00	1.000000e-01	2.250325e+00	6.337810e-02	6.337810e-02
1.000000e-01	2.000000e-01	2.329525e+00	6.462865e-02	6.462865e-02
2.000000e-01	3.000000e-01	2.214168e+00	6.279072e-02	6.279072e-02
3.000000e-01	4.000000e-01	2.238272e+00	6.340149e-02	6.340149e-02
4.000000e-01	5.000000e-01	2.195229e+00	6.319074e-02	6.319074e-02
5.000000e-01	6.000000e-01	2.002393e+00	6.055562e-02	6.055562e-02
6.000000e-01	7.000000e-01	1.909419e+00	5.851411e-02	5.851411e-02
7.000000e-01	8.000000e-01	1.857766e+00	5.805636e-02	5.805636e-02
8.000000e-01	9.000000e-01	1.630495e+00	5.414617e-02	5.414617e-02
9.000000e-01	1.000000e+00	1.584008e+00	5.340195e-02	5.340195e-02
1.000000e+00	1.100000e+00	1.673539e+00	5.504210e-02	5.504210e-02
1.100000e+00	1.200000e+00	1.303363e+00	4.903205e-02	4.903205e-02
1.200000e+00	1.300000e+00	1.270650e+00	4.839307e-02	4.839307e-02
1.300000e+00	1.400000e+00	1.065762e+00	4.406465e-02	4.406465e-02
1.400000e+00	1.500000e+00	9.710659e-01	4.266324e-02	4.266324e-02
1.500000e+00	1.600000e+00	8.419348e-01	4.012079e-02	4.012079e-02
1.600000e+00	1.700000e+00	6.697600e-01	3.524330e-02	3.524330e-02
1.700000e+00	1.800000e+00	6.336033e-01	3.417572e-02	3.417572e-02
1.800000e+00	1.900000e+00	5.630116e-01	3.198006e-02	3.198006e-02
1.900000e+00	2.000000e+00	4.993069e-01	3.060646e-02	3.060646e-02
2.000000e+00	2.100000e+00	3.460714e-01	2.582622e-02	2.582622e-02
2.100000e+00	2.200000e+00	2.944189e-01	2.367012e-02	2.367012e-02
2.200000e+00	2.300000e+00	2.823667e-01	2.297098e-02	2.297098e-02
2.300000e+00	2.400000e+00	2.186620e-01	2.058911e-02	2.058911e-02
2.400000e+00	2.500000e+00	1.980010e-01	1.893923e-02	1.893923e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bjet_eta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/bjet_eta
ScaledBy=7.43308451501994242e-06
Title=X1000_Qd20
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	1.890867e-01	1.876408e-02	1.876408e-02
-2.400000e+00	-2.300000e+00	2.480678e-01	2.201138e-02	2.201138e-02
