# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
Title=$c$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{c\mathrm{-jet}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{c\mathrm{-jet}}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1000_Qd20.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1000_Qd40.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1200_Qd10.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1200_Qd20.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1200_Qd40.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1500_Qd10.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1500_Qd20.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1500_Qd40.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X2000_Qd10.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X2000_Qd20.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X2000_Qd40.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X600_Qd10.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X600_Qd20.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X600_Qd40.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X800_Qd10.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X800_Qd20.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X800_Qd40.yoda.gz/JetMETAnalysis/cjet_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1000_Qd20.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1000_Qd40.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1200_Qd10.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1200_Qd20.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1200_Qd40.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1500_Qd10.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1500_Qd20.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X1500_Qd40.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X2000_Qd10.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X2000_Qd20.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X2000_Qd40.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X600_Qd10.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X600_Qd20.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X600_Qd40.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X800_Qd10.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X800_Qd20.yoda.gz/JetMETAnalysis/cjet_pt //eos/home-y/yiyu/monobc/Rivet/X800_Qd40.yoda.gz/JetMETAnalysis/cjet_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/cjet_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/cjet_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/cjet_pt
ScaledBy=1.40377119385635185e-05
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.162765e+01	2.338777e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.338777e+01	2.529113e+01	1.377058e-03	4.868635e-04	4.868635e-04
2.529113e+01	2.734939e+01	6.207943e-03	1.019236e-03	1.019236e-03
2.734939e+01	2.957515e+01	3.974373e-03	7.648684e-04	7.648684e-04
2.957515e+01	3.198206e+01	3.130770e-03	6.528107e-04	6.528107e-04
3.198206e+01	3.458484e+01	2.895166e-03	6.036839e-04	6.036839e-04
3.458484e+01	3.739945e+01	3.026483e-03	5.935422e-04	5.935422e-04
3.739945e+01	4.044311e+01	2.260509e-03	4.932836e-04	4.932836e-04
4.044311e+01	4.373448e+01	2.389009e-03	5.267269e-04	5.267269e-04
4.373448e+01	4.729371e+01	2.761521e-03	5.207175e-04	5.207175e-04
4.729371e+01	5.114260e+01	2.468571e-03	4.584022e-04	4.584022e-04
5.114260e+01	5.530472e+01	1.653057e-03	3.607267e-04	3.607267e-04
5.530472e+01	5.980556e+01	1.310274e-03	3.255401e-04	3.255401e-04
5.980556e+01	6.467270e+01	1.144348e-03	2.775452e-04	2.775452e-04
6.467270e+01	6.993594e+01	1.680714e-03	3.234535e-04	3.234535e-04
6.993594e+01	7.562751e+01	1.899613e-03	3.306801e-04	3.306801e-04
7.562751e+01	8.178228e+01	1.330796e-03	2.661591e-04	2.661591e-04
8.178228e+01	8.843794e+01	1.132191e-03	2.461286e-04	2.461286e-04
8.843794e+01	9.563525e+01	1.001465e-03	2.230070e-04	2.230070e-04
9.563525e+01	1.034183e+02	9.681913e-04	2.104764e-04	2.104764e-04
1.034183e+02	1.118348e+02	7.785413e-04	1.825841e-04	1.825841e-04
1.118348e+02	1.209362e+02	8.639452e-04	1.763521e-04	1.763521e-04
1.209362e+02	1.307783e+02	1.065235e-03	1.883087e-04	1.883087e-04
1.307783e+02	1.414214e+02	5.848825e-04	1.341812e-04	1.341812e-04
1.414214e+02	1.529306e+02	3.131344e-04	1.026384e-04	1.026384e-04
1.529306e+02	1.653765e+02	5.528103e-04	1.262469e-04	1.262469e-04
1.653765e+02	1.788353e+02	5.355494e-04	1.141795e-04	1.141795e-04
1.788353e+02	1.933894e+02	3.601785e-04	9.004463e-05	9.004463e-05
1.933894e+02	2.091279e+02	3.747074e-04	9.309681e-05	9.309681e-05
2.091279e+02	2.261473e+02	3.465065e-04	8.167237e-05	8.167237e-05
2.261473e+02	2.445518e+02	2.136193e-04	6.166656e-05	6.166656e-05
2.445518e+02	2.644540e+02	2.633917e-04	6.984227e-05	6.984227e-05
2.644540e+02	2.859760e+02	3.044602e-04	7.457721e-05	7.457721e-05
2.859760e+02	3.092495e+02	2.111605e-04	5.804248e-05	5.804248e-05
3.092495e+02	3.344170e+02	1.431976e-04	4.317571e-05	4.317571e-05
3.344170e+02	3.616328e+02	9.630571e-05	3.404921e-05	3.404921e-05
3.616328e+02	3.910634e+02	1.447196e-04	4.013800e-05	4.013800e-05
3.910634e+02	4.228892e+02	1.029447e-04	3.566108e-05	3.566108e-05
4.228892e+02	4.573051e+02	6.663801e-05	2.518680e-05	2.518680e-05
4.573051e+02	4.945218e+02	1.056396e-04	3.049551e-05	3.049551e-05
4.945218e+02	5.347672e+02	9.768957e-05	2.820055e-05	2.820055e-05
5.347672e+02	5.782880e+02	6.022493e-05	2.129273e-05	2.129273e-05
5.782880e+02	6.253506e+02	6.265415e-05	2.088471e-05	2.088471e-05
6.253506e+02	6.762433e+02	3.862593e-05	1.576897e-05	1.576897e-05
6.762433e+02	7.312778e+02	2.976584e-05	1.331169e-05	1.331169e-05
7.312778e+02	7.907911e+02	2.202061e-05	1.348481e-05	1.348481e-05
7.907911e+02	8.551478e+02	1.018168e-05	7.199533e-06	7.199533e-06
8.551478e+02	9.247420e+02	9.415430e-06	6.657713e-06	6.657713e-06
9.247420e+02	1.000000e+03	8.706839e-06	6.156664e-06	6.156664e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet/X1000_Qd20.yoda.gz/JetMETAnalysis/cjet_pt
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd20.yoda.gz/JetMETAnalysis/cjet_pt
ScaledBy=1.41645627920069503e-05
Title=X1000_Qd20
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.162765e+01	2.338777e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.338777e+01	2.529113e+01	1.042075e-03	4.254252e-04	4.254252e-04
2.529113e+01	2.734939e+01	4.657643e-03	9.226250e-04	9.226250e-04
2.734939e+01	2.957515e+01	4.307131e-03	7.998143e-04	7.998143e-04
2.957515e+01	3.198206e+01	3.845623e-03	7.522622e-04	7.522622e-04
3.198206e+01	3.458484e+01	3.048192e-03	6.476162e-04	6.476162e-04
3.458484e+01	3.739945e+01	2.701333e-03	5.632668e-04	5.632668e-04
3.739945e+01	4.044311e+01	2.823877e-03	5.538078e-04	5.538078e-04
4.044311e+01	4.373448e+01	2.410477e-03	4.920366e-04	4.920366e-04
4.373448e+01	4.729371e+01	2.136192e-03	5.001629e-04	5.001629e-04
4.729371e+01	5.114260e+01	2.061314e-03	4.207641e-04	4.207641e-04
5.114260e+01	5.530472e+01	2.065034e-03	4.049865e-04	4.049865e-04
5.530472e+01	5.980556e+01	1.542390e-03	3.365771e-04	3.365771e-04
5.980556e+01	6.467270e+01	1.426310e-03	3.112463e-04	3.112463e-04
6.467270e+01	6.993594e+01	1.256161e-03	2.808861e-04	2.808861e-04
6.993594e+01	7.562751e+01	9.873822e-04	2.394754e-04	2.394754e-04
7.562751e+01	8.178228e+01	1.396465e-03	2.842076e-04	2.842076e-04
8.178228e+01	8.843794e+01	7.946892e-04	2.221224e-04	2.221224e-04
8.843794e+01	9.563525e+01	5.970925e-04	1.656037e-04	1.656037e-04
9.563525e+01	1.034183e+02	6.371034e-04	1.751230e-04	1.751230e-04
1.034183e+02	1.118348e+02	6.677069e-04	1.712039e-04	1.712039e-04
1.118348e+02	1.209362e+02	6.174605e-04	1.583205e-04	1.583205e-04
1.209362e+02	1.307783e+02	7.389302e-04	1.575404e-04	1.575404e-04
1.307783e+02	1.414214e+02	7.143781e-04	1.552996e-04	1.552996e-04
1.414214e+02	1.529306e+02	7.755095e-04	1.546758e-04	1.546758e-04
1.529306e+02	1.653765e+02	4.515346e-04	1.095132e-04	1.095132e-04
1.653765e+02	1.788353e+02	5.649239e-04	1.177948e-04	1.177948e-04
1.788353e+02	1.933894e+02	5.224094e-04	1.135673e-04	1.135673e-04
1.933894e+02	2.091279e+02	3.570706e-04	8.660233e-05	8.660233e-05
2.091279e+02	2.261473e+02	1.165401e-04	5.493754e-05	5.493754e-05
2.261473e+02	2.445518e+02	4.131162e-04	8.614069e-05	8.614069e-05
2.445518e+02	2.644540e+02	2.989785e-04	7.046990e-05	7.046990e-05
2.644540e+02	2.859760e+02	2.764766e-04	6.869116e-05	6.869116e-05
2.859760e+02	3.092495e+02	1.704465e-04	4.920366e-05	4.920366e-05
3.092495e+02	3.344170e+02	1.576194e-04	4.550080e-05	4.550080e-05
3.344170e+02	3.616328e+02	1.336103e-04	4.028504e-05	4.028504e-05
3.616328e+02	3.910634e+02	1.460201e-04	4.350258e-05	4.350258e-05
3.910634e+02	4.228892e+02	1.454177e-04	3.886451e-05	3.886451e-05
4.228892e+02	4.573051e+02	1.344737e-04	3.593961e-05	3.593961e-05
4.573051e+02	4.945218e+02	1.154713e-04	3.202597e-05	3.202597e-05
4.945218e+02	5.347672e+02	1.067814e-04	2.961583e-05	2.961583e-05
5.347672e+02	5.782880e+02	3.038306e-05	1.860575e-05	1.860575e-05
5.782880e+02	6.253506e+02	4.214478e-05	1.720554e-05	1.720554e-05
6.253506e+02	6.762433e+02	1.299101e-05	9.186032e-06	9.186032e-06
6.762433e+02	7.312778e+02	3.603999e-05	1.471327e-05	1.471327e-05
7.312778e+02	7.907911e+02	2.221848e-05	1.110924e-05	1.110924e-05
7.907911e+02	8.551478e+02	2.054635e-05	1.027318e-05	1.027318e-05
8.551478e+02	9.247420e+02	9.500040e-06	6.717542e-06	6.717542e-06
9.247420e+02	1.000000e+03	8.785082e-06	6.211990e-06	6.211990e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet/X1000_Qd40.yoda.gz/JetMETAnalysis/cjet_pt
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd40.yoda.gz/JetMETAnalysis/cjet_pt
ScaledBy=1.40867871996726164e-05
Title=X1000_Qd40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.162765e+01	2.338777e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.338777e+01	2.529113e+01	8.575582e-04	3.835117e-04	3.835117e-04
2.529113e+01	2.734939e+01	4.440914e-03	8.687103e-04	8.687103e-04
2.734939e+01	2.957515e+01	4.546717e-03	8.425451e-04	8.425451e-04
2.957515e+01	3.198206e+01	3.933260e-03	7.551540e-04	7.551540e-04
3.198206e+01	3.458484e+01	4.138959e-03	7.420123e-04	7.420123e-04
3.458484e+01	3.739945e+01	2.551638e-03	5.682009e-04	5.682009e-04
3.739945e+01	4.044311e+01	2.895891e-03	5.775870e-04	5.775870e-04
4.044311e+01	4.373448e+01	2.479578e-03	4.959157e-04	4.959157e-04
4.373448e+01	4.729371e+01	1.926095e-03	4.203085e-04	4.203085e-04
4.729371e+01	5.114260e+01	1.526692e-03	3.793098e-04	3.793098e-04
5.114260e+01	5.530472e+01	2.666730e-03	4.705992e-04	4.705992e-04
5.530472e+01	5.980556e+01	1.813264e-03	3.905890e-04	3.905890e-04
5.980556e+01	6.467270e+01	1.140223e-03	2.765446e-04	2.765446e-04
6.467270e+01	6.993594e+01	1.302509e-03	2.842307e-04	2.842307e-04
6.993594e+01	7.562751e+01	1.663338e-03	3.088741e-04	3.088741e-04
7.562751e+01	8.178228e+01	7.955985e-04	2.311956e-04	2.311956e-04
8.178228e+01	8.843794e+01	1.422399e-03	2.641328e-04	2.641328e-04
8.843794e+01	9.563525e+01	8.617831e-04	1.977066e-04	1.977066e-04
9.563525e+01	1.034183e+02	1.006644e-03	2.138708e-04	2.138708e-04
1.034183e+02	1.118348e+02	8.533078e-04	1.819258e-04	1.819258e-04
1.118348e+02	1.209362e+02	3.945472e-04	1.189605e-04	1.189605e-04
1.209362e+02	1.307783e+02	5.638657e-04	1.519975e-04	1.519975e-04
1.307783e+02	1.414214e+02	7.361353e-04	1.502630e-04	1.502630e-04
1.414214e+02	1.529306e+02	5.389184e-04	1.299808e-04	1.299808e-04
1.529306e+02	1.653765e+02	6.032760e-04	1.311470e-04	1.311470e-04
1.653765e+02	1.788353e+02	4.365969e-04	1.084734e-04	1.084734e-04
1.788353e+02	1.933894e+02	4.485999e-04	1.098841e-04	1.098841e-04
1.933894e+02	2.091279e+02	2.074203e-04	7.185250e-05	7.185250e-05
2.091279e+02	2.261473e+02	3.452572e-04	8.137791e-05	8.137791e-05
2.261473e+02	2.445518e+02	2.305865e-04	6.869674e-05	6.869674e-05
2.445518e+02	2.644540e+02	1.640263e-04	6.137302e-05	6.137302e-05
2.644540e+02	2.859760e+02	2.730263e-04	6.435291e-05	6.435291e-05
2.859760e+02	3.092495e+02	2.384524e-04	6.114060e-05	6.114060e-05
3.092495e+02	3.344170e+02	1.556524e-04	4.493297e-05	4.493297e-05
3.344170e+02	3.616328e+02	1.559325e-04	4.324791e-05	4.324791e-05
3.616328e+02	3.910634e+02	1.552900e-04	4.150300e-05	4.150300e-05
3.910634e+02	4.228892e+02	6.154409e-05	2.512528e-05	2.512528e-05
4.228892e+02	4.573051e+02	9.485395e-05	2.999546e-05	2.999546e-05
4.573051e+02	4.945218e+02	1.140302e-04	3.162630e-05	3.162630e-05
4.945218e+02	5.347672e+02	8.922590e-05	2.690262e-05	2.690262e-05
5.347672e+02	5.782880e+02	3.000391e-05	1.500195e-05	1.500195e-05
