# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
Title=Di-jet $\Delta R$
XLabel=$\Delta R_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/jet12_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=1.48694772571946690e-05
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	8.710764e-01	5.628082e-02	5.628082e-02
5.000000e-01	6.000000e-01	9.682483e-01	5.879271e-02	5.879271e-02
6.000000e-01	7.000000e-01	1.023775e+00	6.120159e-02	6.120159e-02
7.000000e-01	8.000000e-01	9.370145e-01	5.807130e-02	5.807130e-02
8.000000e-01	9.000000e-01	1.041127e+00	6.169160e-02	6.169160e-02
9.000000e-01	1.000000e+00	1.086243e+00	6.294779e-02	6.294779e-02
1.000000e+00	1.100000e+00	1.173003e+00	6.639312e-02	6.639312e-02
1.100000e+00	1.200000e+00	1.259764e+00	6.844746e-02	6.844746e-02
1.200000e+00	1.300000e+00	1.405522e+00	7.052735e-02	7.052735e-02
1.300000e+00	1.400000e+00	1.402051e+00	7.162874e-02	7.162874e-02
1.400000e+00	1.500000e+00	1.436756e+00	7.196424e-02	7.196424e-02
1.500000e+00	1.600000e+00	1.627629e+00	7.705592e-02	7.705592e-02
1.600000e+00	1.700000e+00	1.849736e+00	8.205186e-02	8.205186e-02
1.700000e+00	1.800000e+00	1.735212e+00	8.004576e-02	8.004576e-02
1.800000e+00	1.900000e+00	1.856677e+00	8.321785e-02	8.321785e-02
1.900000e+00	2.000000e+00	1.860147e+00	8.270975e-02	8.270975e-02
2.000000e+00	2.100000e+00	2.092666e+00	8.717606e-02	8.717606e-02
2.100000e+00	2.200000e+00	2.373770e+00	9.299182e-02	9.299182e-02
2.200000e+00	2.300000e+00	2.384181e+00	9.382989e-02	9.382989e-02
2.300000e+00	2.400000e+00	2.519528e+00	9.617521e-02	9.617521e-02
2.400000e+00	2.500000e+00	2.529939e+00	9.586163e-02	9.586163e-02
2.500000e+00	2.600000e+00	2.762458e+00	1.003427e-01	1.003427e-01
2.600000e+00	2.700000e+00	2.682638e+00	9.992170e-02	9.992170e-02
2.700000e+00	2.800000e+00	2.939449e+00	1.041705e-01	1.041705e-01
2.800000e+00	2.900000e+00	3.116441e+00	1.062879e-01	1.062879e-01
2.900000e+00	3.000000e+00	2.890863e+00	1.039391e-01	1.039391e-01
3.000000e+00	3.100000e+00	3.192790e+00	1.081971e-01	1.081971e-01
3.100000e+00	3.200000e+00	2.852689e+00	1.016544e-01	1.016544e-01
3.200000e+00	3.300000e+00	1.644981e+00	7.791083e-02	7.791083e-02
3.300000e+00	3.400000e+00	1.329172e+00	7.069791e-02	7.069791e-02
3.400000e+00	3.500000e+00	1.120947e+00	6.427315e-02	6.427315e-02
3.500000e+00	3.600000e+00	9.231328e-01	5.950538e-02	5.950538e-02
3.600000e+00	3.700000e+00	7.218482e-01	5.147470e-02	5.147470e-02
3.700000e+00	3.800000e+00	5.379157e-01	4.484776e-02	4.484776e-02
3.800000e+00	3.900000e+00	4.095100e-01	3.895541e-02	3.895541e-02
3.900000e+00	4.000000e+00	2.915156e-01	3.470424e-02	3.470424e-02
4.000000e+00	4.100000e+00	2.602818e-01	3.199573e-02	3.199573e-02
4.100000e+00	4.200000e+00	2.325184e-01	2.882751e-02	2.882751e-02
4.200000e+00	4.300000e+00	1.318761e-01	2.353756e-02	2.353756e-02
4.300000e+00	4.400000e+00	1.110536e-01	2.023588e-02	2.023588e-02
4.400000e+00	4.500000e+00	9.023102e-02	2.082254e-02	2.082254e-02
4.500000e+00	4.600000e+00	5.899721e-02	1.512723e-02	1.512723e-02
4.600000e+00	4.700000e+00	7.287890e-02	1.735212e-02	1.735212e-02
4.700000e+00	4.800000e+00	2.082254e-02	9.815841e-03	9.815841e-03
4.800000e+00	4.900000e+00	2.429297e-02	1.041127e-02	1.041127e-02
4.900000e+00	5.000000e+00	1.388170e-02	8.500768e-03	8.500768e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=1.50284305801539079e-05
Title=X1000_Qd20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	9.154180e-01	5.773825e-02	5.773825e-02
5.000000e-01	6.000000e-01	1.094293e+00	6.274136e-02	6.274136e-02
6.000000e-01	7.000000e-01	1.062727e+00	6.224927e-02	6.224927e-02
7.000000e-01	8.000000e-01	9.539988e-01	5.952168e-02	5.952168e-02
8.000000e-01	9.000000e-01	9.890723e-01	6.054622e-02	6.054622e-02
9.000000e-01	1.000000e+00	1.157425e+00	6.505163e-02	6.505163e-02
1.000000e+00	1.100000e+00	1.104815e+00	6.419502e-02	6.419502e-02
1.100000e+00	1.200000e+00	1.255631e+00	6.709953e-02	6.709953e-02
1.200000e+00	1.300000e+00	1.297719e+00	6.890847e-02	6.890847e-02
1.300000e+00	1.400000e+00	1.501145e+00	7.373779e-02	7.373779e-02
1.400000e+00	1.500000e+00	1.708079e+00	7.850509e-02	7.850509e-02
1.500000e+00	1.600000e+00	1.683527e+00	7.795472e-02	7.795472e-02
1.600000e+00	1.700000e+00	1.711586e+00	7.905162e-02	7.905162e-02
1.700000e+00	1.800000e+00	1.753674e+00	8.180472e-02	8.180472e-02
1.800000e+00	1.900000e+00	1.939564e+00	8.439529e-02	8.439529e-02
1.900000e+00	2.000000e+00	1.886954e+00	8.388358e-02	8.388358e-02
2.000000e+00	2.100000e+00	2.086872e+00	8.768372e-02	8.768372e-02
2.100000e+00	2.200000e+00	2.135975e+00	8.893740e-02	8.893740e-02
2.200000e+00	2.300000e+00	2.297313e+00	9.152769e-02	9.152769e-02
2.300000e+00	2.400000e+00	2.420071e+00	9.489307e-02	9.489307e-02
2.400000e+00	2.500000e+00	2.423578e+00	9.495786e-02	9.495786e-02
2.500000e+00	2.600000e+00	2.676107e+00	9.889231e-02	9.889231e-02
2.600000e+00	2.700000e+00	2.805879e+00	1.015315e-01	1.015315e-01
2.700000e+00	2.800000e+00	3.065423e+00	1.069598e-01	1.069598e-01
2.800000e+00	2.900000e+00	3.044379e+00	1.049864e-01	1.049864e-01
2.900000e+00	3.000000e+00	3.005798e+00	1.063253e-01	1.063253e-01
3.000000e+00	3.100000e+00	3.107511e+00	1.084446e-01	1.084446e-01
3.100000e+00	3.200000e+00	2.655063e+00	9.938863e-02	9.938863e-02
3.200000e+00	3.300000e+00	1.964115e+00	8.591215e-02	8.591215e-02
3.300000e+00	3.400000e+00	1.515175e+00	7.555060e-02	7.555060e-02
3.400000e+00	3.500000e+00	1.101307e+00	6.505163e-02	6.505163e-02
3.500000e+00	3.600000e+00	8.277343e-01	5.698767e-02	5.698767e-02
