# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
Title=Di-jet $\Delta\eta$
XLabel=$\Delta\eta_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/jet12_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_deta
ScaledBy=1.48694772571946690e-05
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.151145e+00	1.065143e-01	1.065143e-01
1.000000e-01	2.000000e-01	3.099089e+00	1.058906e-01	1.058906e-01
2.000000e-01	3.000000e-01	3.470424e+00	1.117024e-01	1.117024e-01
3.000000e-01	4.000000e-01	3.307314e+00	1.093597e-01	1.093597e-01
4.000000e-01	5.000000e-01	3.387134e+00	1.109451e-01	1.109451e-01
5.000000e-01	6.000000e-01	3.258728e+00	1.100185e-01	1.100185e-01
6.000000e-01	7.000000e-01	3.133793e+00	1.067966e-01	1.067966e-01
7.000000e-01	8.000000e-01	2.866570e+00	1.029494e-01	1.029494e-01
8.000000e-01	9.000000e-01	2.908215e+00	1.032998e-01	1.032998e-01
9.000000e-01	1.000000e+00	2.769398e+00	1.003427e-01	1.003427e-01
1.000000e+00	1.100000e+00	2.616700e+00	9.852582e-02	9.852582e-02
1.100000e+00	1.200000e+00	2.439708e+00	9.573591e-02	9.573591e-02
1.200000e+00	1.300000e+00	2.321714e+00	9.201534e-02	9.201534e-02
1.300000e+00	1.400000e+00	2.259246e+00	9.043102e-02	9.043102e-02
1.400000e+00	1.500000e+00	2.304362e+00	9.142443e-02	9.142443e-02
1.500000e+00	1.600000e+00	1.894852e+00	8.300047e-02	8.300047e-02
1.600000e+00	1.700000e+00	1.815032e+00	8.219852e-02	8.219852e-02
1.700000e+00	1.800000e+00	1.790739e+00	8.227174e-02	8.227174e-02
1.800000e+00	1.900000e+00	1.516575e+00	7.483573e-02	7.483573e-02
1.900000e+00	2.000000e+00	1.388170e+00	7.213141e-02	7.213141e-02
2.000000e+00	2.100000e+00	1.308350e+00	6.827128e-02	6.827128e-02
2.100000e+00	2.200000e+00	1.256293e+00	6.782881e-02	6.782881e-02
2.200000e+00	2.300000e+00	1.075831e+00	6.361392e-02	6.361392e-02
2.300000e+00	2.400000e+00	1.006423e+00	6.129991e-02	6.129991e-02
2.400000e+00	2.500000e+00	7.947271e-01	5.541823e-02	5.541823e-02
2.500000e+00	2.600000e+00	6.940848e-01	5.005116e-02	5.005116e-02
2.600000e+00	2.700000e+00	6.489693e-01	4.968891e-02	4.968891e-02
2.700000e+00	2.800000e+00	5.413861e-01	4.551418e-02	4.551418e-02
2.800000e+00	2.900000e+00	5.240340e-01	4.538168e-02	4.538168e-02
2.900000e+00	3.000000e+00	3.539833e-01	3.672751e-02	3.672751e-02
3.000000e+00	3.100000e+00	4.303326e-01	3.926337e-02	3.926337e-02
3.100000e+00	3.200000e+00	3.262199e-01	3.573020e-02	3.573020e-02
3.200000e+00	3.300000e+00	1.978142e-01	2.924231e-02	2.924231e-02
3.300000e+00	3.400000e+00	2.186367e-01	2.840665e-02	2.840665e-02
3.400000e+00	3.500000e+00	1.284057e-01	2.328031e-02	2.328031e-02
3.500000e+00	3.600000e+00	1.492282e-01	2.379203e-02	2.379203e-02
3.600000e+00	3.700000e+00	1.422874e-01	2.275709e-02	2.275709e-02
3.700000e+00	3.800000e+00	8.329018e-02	1.836376e-02	1.836376e-02
3.800000e+00	3.900000e+00	7.634933e-02	1.769576e-02	1.769576e-02
3.900000e+00	4.000000e+00	4.511551e-02	1.344089e-02	1.344089e-02
4.000000e+00	4.100000e+00	9.023102e-02	1.769576e-02	1.769576e-02
4.100000e+00	4.200000e+00	4.511551e-02	1.251279e-02	1.251279e-02
4.200000e+00	4.300000e+00	6.940848e-03	8.500768e-03	8.500768e-03
4.300000e+00	4.400000e+00	2.082254e-02	8.500768e-03	8.500768e-03
4.400000e+00	4.500000e+00	2.082254e-02	1.097444e-02	1.097444e-02
4.500000e+00	4.600000e+00	1.735212e-02	7.760104e-03	7.760104e-03
4.600000e+00	4.700000e+00	6.940848e-03	4.907921e-03	4.907921e-03
4.700000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_deta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_deta
ScaledBy=1.50284305801539079e-05
Title=X1000_Qd20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.198702e+00	1.081037e-01	1.081037e-01
1.000000e-01	2.000000e-01	3.258327e+00	1.091794e-01	1.091794e-01
2.000000e-01	3.000000e-01	3.367055e+00	1.106901e-01	1.106901e-01
3.000000e-01	4.000000e-01	3.282878e+00	1.096853e-01	1.096853e-01
4.000000e-01	5.000000e-01	3.479290e+00	1.131086e-01	1.131086e-01
5.000000e-01	6.000000e-01	3.303922e+00	1.106901e-01	1.106901e-01
