# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
Title=Di-jet $\Delta\phi$
XLabel=$\Delta\phi_{jj}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{jj}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1000_Qd40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1200_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1200_Qd40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1500_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1500_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1500_Qd40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X2000_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X2000_Qd40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X600_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X600_Qd40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X800_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X800_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X800_Qd40.yoda.gz/JetMETAnalysis/jet12_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1000_Qd40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1200_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1200_Qd40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1500_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1500_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X1500_Qd40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X2000_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X2000_Qd40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X600_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X600_Qd40.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X800_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X800_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet/X800_Qd40.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_dphi
ScaledBy=1.40377119385635185e-05
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.183666e+00	8.195054e-02	8.195054e-02
6.283185e-02	1.256637e-01	1.324455e+00	8.568114e-02	8.568114e-02
1.256637e-01	1.884956e-01	1.183665e+00	8.061241e-02	8.061241e-02
1.884956e-01	2.513274e-01	1.168024e+00	8.010501e-02	8.010501e-02
2.513274e-01	3.141593e-01	1.324454e+00	8.599782e-02	8.599782e-02
3.141593e-01	3.769911e-01	1.413100e+00	8.740914e-02	8.740914e-02
3.769911e-01	4.398230e-01	1.606030e+00	9.414814e-02	9.414814e-02
4.398230e-01	5.026548e-01	1.590390e+00	9.458051e-02	9.458051e-02
5.026548e-01	5.654867e-01	1.512171e+00	9.091589e-02	9.091589e-02
5.654867e-01	6.283185e-01	1.392243e+00	8.740914e-02	8.740914e-02
6.283185e-01	6.911504e-01	1.465242e+00	8.955998e-02	8.955998e-02
6.911504e-01	7.539822e-01	1.501745e+00	9.031591e-02	9.031591e-02
7.539822e-01	8.168141e-01	1.303596e+00	8.407940e-02	8.407940e-02
8.168141e-01	8.796459e-01	1.506959e+00	9.016526e-02	9.016526e-02
8.796459e-01	9.424778e-01	1.428741e+00	9.001422e-02	9.001422e-02
9.424778e-01	1.005310e+00	1.710309e+00	9.727260e-02	9.727260e-02
1.005310e+00	1.068142e+00	1.616457e+00	9.385876e-02	9.385876e-02
1.068142e+00	1.130973e+00	1.600839e+00	9.284079e-02	9.284079e-02
1.130973e+00	1.193805e+00	1.454811e+00	8.864438e-02	8.864438e-02
1.193805e+00	1.256637e+00	1.663386e+00	9.600683e-02	9.600683e-02
1.256637e+00	1.319469e+00	1.512169e+00	9.091574e-02	9.091574e-02
1.319469e+00	1.382301e+00	1.684244e+00	9.685272e-02	9.685272e-02
1.382301e+00	1.445133e+00	1.439168e+00	9.061618e-02	9.061618e-02
1.445133e+00	1.507964e+00	1.746843e+00	9.907470e-02	9.907470e-02
1.507964e+00	1.570796e+00	1.663386e+00	9.685272e-02	9.685272e-02
1.570796e+00	1.633628e+00	1.924104e+00	1.020473e-01	1.020473e-01
1.633628e+00	1.696460e+00	1.783316e+00	9.921025e-02	9.921025e-02
1.696460e+00	1.759292e+00	1.778102e+00	9.852272e-02	9.852272e-02
1.759292e+00	1.822124e+00	1.898033e+00	1.032394e-01	1.032394e-01
1.822124e+00	1.884956e+00	2.038821e+00	1.062249e-01	1.062249e-01
1.884956e+00	1.947787e+00	2.054497e+00	1.068646e-01	1.068646e-01
1.947787e+00	2.010619e+00	2.122251e+00	1.064806e-01	1.064806e-01
2.010619e+00	2.073451e+00	2.054464e+00	1.068629e-01	1.068629e-01
2.073451e+00	2.136283e+00	2.174395e+00	1.090041e-01	1.090041e-01
2.136283e+00	2.199115e+00	2.017964e+00	1.046778e-01	1.046778e-01
2.199115e+00	2.261947e+00	2.372541e+00	1.153073e-01	1.153073e-01
2.261947e+00	2.324779e+00	2.409042e+00	1.142412e-01	1.142412e-01
2.324779e+00	2.387610e+00	2.440367e+00	1.161315e-01	1.161315e-01
2.387610e+00	2.450442e+00	2.309968e+00	1.138837e-01	1.138837e-01
2.450442e+00	2.513274e+00	2.482043e+00	1.179878e-01	1.179878e-01
2.513274e+00	2.576106e+00	2.346468e+00	1.165970e-01	1.165970e-01
2.576106e+00	2.638938e+00	2.502900e+00	1.165970e-01	1.165970e-01
2.638938e+00	2.701770e+00	2.461185e+00	1.179878e-01	1.179878e-01
2.701770e+00	2.764602e+00	2.836620e+00	1.255788e-01	1.255788e-01
2.764602e+00	2.827433e+00	2.612443e+00	1.197056e-01	1.197056e-01
2.827433e+00	2.890265e+00	2.654117e+00	1.210589e-01	1.210589e-01
2.890265e+00	2.953097e+00	2.857477e+00	1.253621e-01	1.253621e-01
2.953097e+00	3.015929e+00	2.549830e+00	1.197037e-01	1.197037e-01
3.015929e+00	3.078761e+00	2.805333e+00	1.240539e-01	1.240539e-01
3.078761e+00	3.141593e+00	2.701046e+00	1.222879e-01	1.222879e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_dphi
ScaledBy=1.41645627920069503e-05
Title=X1000_Qd20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.220609e+00	8.251942e-02	8.251942e-02
6.283185e-02	1.256637e-01	1.267960e+00	8.268698e-02	8.268698e-02
1.256637e-01	1.884956e-01	1.210086e+00	8.218323e-02	8.218323e-02
1.884956e-01	2.513274e-01	1.236394e+00	8.268704e-02	8.268704e-02
2.513274e-01	3.141593e-01	1.352139e+00	8.596940e-02	8.596940e-02
