# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
Title=Di-jet invariant mass
XLabel=$m_{jj}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/jet12_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/jet12_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=1.48694772571946690e-05
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	4.880302e-04	2.300597e-04	2.300597e-04
5.426665e+01	5.889739e+01	4.496590e-04	1.835726e-04	1.835726e-04
5.889739e+01	6.392328e+01	5.524074e-04	1.953055e-04	1.953055e-04
6.392328e+01	6.937805e+01	8.270836e-04	2.464062e-04	2.464062e-04
6.937805e+01	7.529829e+01	7.620554e-04	2.113562e-04	2.113562e-04
7.529829e+01	8.172373e+01	1.458288e-03	2.806478e-04	2.806478e-04
8.172373e+01	8.869746e+01	1.194342e-03	2.437940e-04	2.437940e-04
8.869746e+01	9.626628e+01	1.146290e-03	2.382518e-04	2.382518e-04
9.626628e+01	1.044810e+02	1.478624e-03	2.638287e-04	2.638287e-04
1.044810e+02	1.133967e+02	1.790544e-03	2.640013e-04	2.640013e-04
1.133967e+02	1.230731e+02	1.972565e-03	2.707735e-04	2.707735e-04
1.230731e+02	1.335753e+02	1.850505e-03	2.559634e-04	2.559634e-04
1.335753e+02	1.449737e+02	2.192154e-03	2.654272e-04	2.654272e-04
1.449737e+02	1.573448e+02	2.300319e-03	2.601497e-04	2.601497e-04
1.573448e+02	1.707715e+02	2.765649e-03	2.747593e-04	2.747593e-04
1.707715e+02	1.853439e+02	3.334107e-03	2.897226e-04	2.897226e-04
1.853439e+02	2.011599e+02	3.401086e-03	2.766843e-04	2.766843e-04
2.011599e+02	2.183255e+02	3.093250e-03	2.549307e-04	2.549307e-04
2.183255e+02	2.369559e+02	3.352995e-03	2.594545e-04	2.594545e-04
2.369559e+02	2.571760e+02	3.278179e-03	2.408975e-04	2.408975e-04
2.571760e+02	2.791217e+02	3.573893e-03	2.419029e-04	2.419029e-04
2.791217e+02	3.029400e+02	3.715455e-03	2.398592e-04	2.398592e-04
3.029400e+02	3.287907e+02	4.027462e-03	2.363693e-04	2.363693e-04
3.287907e+02	3.568475e+02	3.921060e-03	2.263950e-04	2.263950e-04
3.568475e+02	3.872983e+02	4.364982e-03	2.282212e-04	2.282212e-04
3.872983e+02	4.203477e+02	4.567811e-03	2.244797e-04	2.244797e-04
4.203477e+02	4.562172e+02	5.195551e-03	2.275201e-04	2.275201e-04
4.562172e+02	4.951476e+02	4.635503e-03	2.075359e-04	2.075359e-04
4.951476e+02	5.374001e+02	5.018470e-03	2.079501e-04	2.079501e-04
5.374001e+02	5.832581e+02	4.782825e-03	1.950076e-04	1.950076e-04
5.832581e+02	6.330293e+02	5.138922e-03	1.946136e-04	1.946136e-04
6.330293e+02	6.870476e+02	5.325940e-03	1.900403e-04	1.900403e-04
6.870476e+02	7.456754e+02	4.640822e-03	1.697129e-04	1.697129e-04
7.456754e+02	8.093062e+02	4.624993e-03	1.627085e-04	1.627085e-04
8.093062e+02	8.783667e+02	4.628204e-03	1.569116e-04	1.569116e-04
8.783667e+02	9.533204e+02	4.310614e-03	1.453141e-04	1.453141e-04
9.533204e+02	1.034670e+03	4.005832e-03	1.338891e-04	1.338891e-04
1.034670e+03	1.122962e+03	3.631894e-03	1.222922e-04	1.222922e-04
1.122962e+03	1.218787e+03	3.324653e-03	1.119780e-04	1.119780e-04
1.218787e+03	1.322790e+03	2.936428e-03	1.013216e-04	1.013216e-04
1.322790e+03	1.435668e+03	2.327390e-03	8.733936e-05	8.733936e-05
1.435668e+03	1.558178e+03	1.926282e-03	7.601114e-05	7.601114e-05
1.558178e+03	1.691142e+03	1.500778e-03	6.462175e-05	6.462175e-05
1.691142e+03	1.835452e+03	1.074964e-03	5.317905e-05	5.317905e-05
1.835452e+03	1.992077e+03	7.134729e-04	4.204097e-05	4.204097e-05
1.992077e+03	2.162067e+03	5.348851e-04	3.536061e-05	3.536061e-05
2.162067e+03	2.346563e+03	3.291801e-04	2.719373e-05	2.719373e-05
2.346563e+03	2.546802e+03	2.131764e-04	2.043343e-05	2.043343e-05
2.546802e+03	2.764129e+03	1.181682e-04	1.463553e-05	1.463553e-05
2.764129e+03	3.000000e+03	6.915216e-05	1.167826e-05	1.167826e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=1.50284305801539079e-05
Title=X1000_Qd20
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	4.932228e-04	2.013574e-04	2.013574e-04
5.426665e+01	5.889739e+01	3.029622e-04	1.514811e-04	1.514811e-04
5.889739e+01	6.392328e+01	8.374274e-04	2.417445e-04	2.417445e-04
6.392328e+01	6.937805e+01	1.028780e-03	2.571950e-04	2.571950e-04
6.937805e+01	7.529829e+01	7.109202e-04	2.369734e-04	2.369734e-04
