# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
Title=Jet $\eta$ distribution
XLabel=$\eta^\mathrm{jet}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta^\mathrm{jet}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/jet_eta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/jet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/jet_eta
ScaledBy=5.48322731914258780e-06
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	1.894021e-01	1.688098e-02	1.688098e-02
-2.400000e+00	-2.300000e+00	2.585083e-01	1.889519e-02	1.889519e-02
-2.300000e+00	-2.200000e+00	3.020196e-01	2.118353e-02	2.118353e-02
-2.200000e+00	-2.100000e+00	3.391322e-01	2.271320e-02	2.271320e-02
-2.100000e+00	-2.000000e+00	3.916017e-01	2.366662e-02	2.366662e-02
-2.000000e+00	-1.900000e+00	4.888622e-01	2.635154e-02	2.635154e-02
-1.900000e+00	-1.800000e+00	5.592481e-01	2.812527e-02	2.812527e-02
-1.800000e+00	-1.700000e+00	6.731453e-01	3.044608e-02	3.044608e-02
-1.700000e+00	-1.600000e+00	8.305538e-01	3.393131e-02	3.393131e-02
-1.600000e+00	-1.500000e+00	8.369526e-01	3.400365e-02	3.400365e-02
-1.500000e+00	-1.400000e+00	1.005879e+00	3.691347e-02	3.691347e-02
-1.400000e+00	-1.300000e+00	1.123615e+00	3.881656e-02	3.881656e-02
-1.300000e+00	-1.200000e+00	1.222155e+00	4.077145e-02	4.077145e-02
-1.200000e+00	-1.100000e+00	1.337332e+00	4.303823e-02	4.303823e-02
-1.100000e+00	-1.000000e+00	1.511378e+00	4.511892e-02	4.511892e-02
-1.000000e+00	-9.000000e-01	1.630394e+00	4.688126e-02	4.688126e-02
-9.000000e-01	-8.000000e-01	1.675185e+00	4.779805e-02	4.779805e-02
-8.000000e-01	-7.000000e-01	1.844111e+00	4.977859e-02	4.977859e-02
-7.000000e-01	-6.000000e-01	1.785243e+00	4.918281e-02	4.918281e-02
-6.000000e-01	-5.000000e-01	1.942651e+00	5.125370e-02	5.125370e-02
-5.000000e-01	-4.000000e-01	2.069346e+00	5.268754e-02	5.268754e-02
-4.000000e-01	-3.000000e-01	2.121815e+00	5.304380e-02	5.304380e-02
-3.000000e-01	-2.000000e-01	2.226755e+00	5.459574e-02	5.459574e-02
-2.000000e-01	-1.000000e-01	2.230594e+00	5.452069e-02	5.452069e-02
-1.000000e-01	0.000000e+00	2.302259e+00	5.550314e-02	5.550314e-02
0.000000e+00	1.000000e-01	2.178124e+00	5.393175e-02	5.393175e-02
1.000000e-01	2.000000e-01	2.268986e+00	5.496944e-02	5.496944e-02
2.000000e-01	3.000000e-01	2.190922e+00	5.384058e-02	5.384058e-02
3.000000e-01	4.000000e-01	2.133333e+00	5.330560e-02	5.330560e-02
4.000000e-01	5.000000e-01	2.171726e+00	5.406823e-02	5.406823e-02
5.000000e-01	6.000000e-01	1.988722e+00	5.179407e-02	5.179407e-02
6.000000e-01	7.000000e-01	1.911937e+00	5.054584e-02	5.054584e-02
7.000000e-01	8.000000e-01	1.838992e+00	4.977859e-02	4.977859e-02
8.000000e-01	9.000000e-01	1.625275e+00	4.656580e-02	4.656580e-02
9.000000e-01	1.000000e+00	1.533133e+00	4.557039e-02	4.557039e-02
1.000000e+00	1.100000e+00	1.580484e+00	4.623048e-02	4.623048e-02
1.100000e+00	1.200000e+00	1.336053e+00	4.275188e-02	4.275188e-02
1.200000e+00	1.300000e+00	1.268226e+00	4.160644e-02	4.160644e-02
1.300000e+00	1.400000e+00	1.060908e+00	3.785534e-02	3.785534e-02
1.400000e+00	1.500000e+00	9.892421e-01	3.684685e-02	3.684685e-02
1.500000e+00	1.600000e+00	8.817436e-01	3.516386e-02	3.516386e-02
1.600000e+00	1.700000e+00	6.936212e-01	3.097932e-02	3.097932e-02
1.700000e+00	1.800000e+00	6.360328e-01	2.965584e-02	2.965584e-02
1.800000e+00	1.900000e+00	5.976404e-01	2.847251e-02	2.847251e-02
1.900000e+00	2.000000e+00	5.438912e-01	2.747727e-02	2.747727e-02
2.000000e+00	2.100000e+00	4.043991e-01	2.387331e-02	2.387331e-02
2.100000e+00	2.200000e+00	3.263347e-01	2.129919e-02	2.129919e-02
2.200000e+00	2.300000e+00	3.058588e-01	2.083272e-02	2.083272e-02
2.300000e+00	2.400000e+00	2.303539e-01	1.809831e-02	1.809831e-02
2.400000e+00	2.500000e+00	2.585083e-01	1.863335e-02	1.863335e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet_eta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/jet_eta
ScaledBy=5.52862103139360398e-06
Title=X1000_Qd20
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	2.270883e-01	1.806385e-02	1.806385e-02
-2.400000e+00	-2.300000e+00	2.567646e-01	1.961047e-02	1.961047e-02
-2.300000e+00	-2.200000e+00	2.941826e-01	2.040103e-02	2.040103e-02
-2.200000e+00	-2.100000e+00	3.664380e-01	2.264423e-02	2.264423e-02
