# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
Title=Jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^\mathrm{jet}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^\mathrm{jet}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1000_Qd20.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1000_Qd40.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1200_Qd10.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1200_Qd20.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1200_Qd40.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1500_Qd10.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1500_Qd20.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1500_Qd40.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X2000_Qd10.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X2000_Qd20.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X2000_Qd40.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X600_Qd10.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X600_Qd20.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X600_Qd40.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X800_Qd10.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X800_Qd20.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X800_Qd40.yoda.gz/JetMETAnalysis/jet_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1000_Qd20.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1000_Qd40.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1200_Qd10.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1200_Qd20.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1200_Qd40.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1500_Qd10.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1500_Qd20.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X1500_Qd40.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X2000_Qd10.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X2000_Qd20.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X2000_Qd40.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X600_Qd10.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X600_Qd20.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X600_Qd40.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X800_Qd10.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X800_Qd20.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet/X800_Qd40.yoda.gz/JetMETAnalysis/jet_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/jet_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/jet_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet/X1000_Qd10.yoda.gz/JetMETAnalysis/jet_pt
ScaledBy=1.40377119385635185e-05
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.054412e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.054412e+01	1.111784e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.111784e+01	1.172279e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.172279e+01	1.236065e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.236065e+01	1.303321e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.303321e+01	1.374238e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.374238e+01	1.449012e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.449012e+01	1.527856e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.527856e+01	1.610989e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.610989e+01	1.698646e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.698646e+01	1.791073e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.791073e+01	1.888529e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.888529e+01	1.991287e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.991287e+01	2.099637e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.099637e+01	2.213882e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.213882e+01	2.334344e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.334344e+01	2.461360e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.461360e+01	2.595287e+01	8.244133e-02	4.673707e-03	4.673707e-03
2.595287e+01	2.736502e+01	9.976327e-02	4.965181e-03	4.965181e-03
2.736502e+01	2.885400e+01	8.537408e-02	4.455395e-03	4.455395e-03
2.885400e+01	3.042400e+01	8.180306e-02	4.225474e-03	4.225474e-03
3.042400e+01	3.207943e+01	7.105042e-02	3.873216e-03	3.873216e-03
3.207943e+01	3.382493e+01	7.395365e-02	3.819122e-03	3.819122e-03
3.382493e+01	3.566541e+01	5.732021e-02	3.272732e-03	3.272732e-03
3.566541e+01	3.760603e+01	5.807659e-02	3.176466e-03	3.176466e-03
3.760603e+01	3.965225e+01	4.787426e-02	2.886506e-03	2.886506e-03
3.965225e+01	4.180980e+01	5.269287e-02	2.916994e-03	2.916994e-03
4.180980e+01	4.408475e+01	4.594119e-02	2.674982e-03	2.674982e-03
4.408475e+01	4.648349e+01	4.070205e-02	2.397040e-03	2.397040e-03
4.648349e+01	4.901274e+01	4.028578e-02	2.328052e-03	2.328052e-03
4.901274e+01	5.167962e+01	3.783819e-02	2.224931e-03	2.224931e-03
5.167962e+01	5.449160e+01	3.856549e-02	2.151534e-03	2.151534e-03
5.449160e+01	5.745660e+01	3.569120e-02	2.040496e-03	2.040496e-03
5.745660e+01	6.058292e+01	3.185835e-02	1.880519e-03	1.880519e-03
6.058292e+01	6.387935e+01	3.011494e-02	1.780704e-03	1.780704e-03
6.387935e+01	6.735515e+01	3.138866e-02	1.750806e-03	1.750806e-03
6.735515e+01	7.102007e+01	2.896434e-02	1.653224e-03	1.653224e-03
7.102007e+01	7.488441e+01	2.755441e-02	1.561017e-03	1.561017e-03
7.488441e+01	7.895901e+01	2.677581e-02	1.497831e-03	1.497831e-03
7.895901e+01	8.325532e+01	2.447894e-02	1.404066e-03	1.404066e-03
8.325532e+01	8.778540e+01	2.278178e-02	1.303824e-03	1.303824e-03
8.778540e+01	9.256197e+01	2.297797e-02	1.292353e-03	1.292353e-03
9.256197e+01	9.759844e+01	2.270294e-02	1.259716e-03	1.259716e-03
9.759844e+01	1.029090e+02	2.171628e-02	1.202637e-03	1.202637e-03
1.029090e+02	1.085084e+02	2.240992e-02	1.165835e-03	1.165835e-03
1.085084e+02	1.144126e+02	1.803455e-02	1.036656e-03	1.036656e-03
1.144126e+02	1.206380e+02	2.163006e-02	1.087501e-03	1.087501e-03
1.206380e+02	1.272021e+02	2.041415e-02	1.045780e-03	1.045780e-03
1.272021e+02	1.341234e+02	2.011798e-02	9.940650e-04	9.940650e-04
1.341234e+02	1.414214e+02	1.975295e-02	9.691082e-04	9.691082e-04
1.414214e+02	1.491164e+02	1.898932e-02	9.151568e-04	9.151568e-04
1.491164e+02	1.572301e+02	2.079560e-02	9.339876e-04	9.339876e-04
1.572301e+02	1.657853e+02	1.960754e-02	8.882682e-04	8.882682e-04
1.657853e+02	1.748059e+02	2.121097e-02	9.087301e-04	9.087301e-04
1.748059e+02	1.843175e+02	1.984048e-02	8.479415e-04	8.479415e-04
1.843175e+02	1.943465e+02	1.966627e-02	8.328796e-04	8.328796e-04
1.943465e+02	2.049213e+02	2.013838e-02	8.114711e-04	8.114711e-04
2.049213e+02	2.160715e+02	2.086214e-02	8.036211e-04	8.036211e-04
2.160715e+02	2.278283e+02	2.031522e-02	7.707699e-04	7.707699e-04
