# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.32
RightMargin=3.3
Title=Missing transverse energy
XLabel=$E_\mathrm{T}^\mathrm{miss}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}E_\mathrm{T}^\mathrm{miss}$ [pb/GeV]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/met
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd20.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd20.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1200_Qd40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd20.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X1500_Qd40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd20.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X2000_Qd40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd20.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X600_Qd40.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd10.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd20.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New/X800_Qd40.yoda.gz/JetMETAnalysis/met
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/met
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/met
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New/X1000_Qd10.yoda.gz/JetMETAnalysis/met
ScaledBy=1.40377119385635185e-05
Title=X1000_Qd10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	6.552592e-05	6.552593e-05	6.552593e-05
5.000000e+00	1.000000e+01	4.586814e-04	1.733653e-04	1.733653e-04
1.000000e+01	1.500000e+01	9.173630e-04	2.451755e-04	2.451755e-04
1.500000e+01	2.000000e+01	9.173630e-04	2.621037e-04	2.621037e-04
2.000000e+01	2.500000e+01	1.113941e-03	2.701703e-04	2.701703e-04
2.500000e+01	3.000000e+01	1.310519e-03	2.930408e-04	2.930408e-04
3.000000e+01	3.500000e+01	1.834726e-03	3.467306e-04	3.467306e-04
3.500000e+01	4.000000e+01	1.638148e-03	3.276296e-04	3.276296e-04
4.000000e+01	4.500000e+01	1.638148e-03	3.276296e-04	3.276296e-04
4.500000e+01	5.000000e+01	1.900252e-03	3.876566e-04	3.876566e-04
5.000000e+01	5.500000e+01	2.162356e-03	3.876566e-04	3.876566e-04
5.500000e+01	6.000000e+01	2.489986e-03	4.039290e-04	4.039290e-04
6.000000e+01	6.500000e+01	2.162356e-03	3.876566e-04	3.876566e-04
6.500000e+01	7.000000e+01	2.621038e-03	4.246565e-04	4.246565e-04
7.000000e+01	7.500000e+01	2.948666e-03	4.395613e-04	4.395613e-04
7.500000e+01	8.000000e+01	2.883140e-03	4.346498e-04	4.346498e-04
8.000000e+01	8.500000e+01	3.210770e-03	4.586815e-04	4.586815e-04
8.500000e+01	9.000000e+01	3.079718e-03	4.586815e-04	4.586815e-04
9.000000e+01	9.500000e+01	3.472874e-03	4.859532e-04	4.859532e-04
9.500000e+01	1.000000e+02	3.341822e-03	4.679487e-04	4.679487e-04
1.000000e+02	1.050000e+02	3.603926e-03	5.033142e-04	5.033142e-04
1.050000e+02	1.100000e+02	4.259186e-03	5.521313e-04	5.521313e-04
1.100000e+02	1.150000e+02	4.062608e-03	5.159517e-04	5.159517e-04
1.150000e+02	1.200000e+02	3.472874e-03	5.117738e-04	5.117738e-04
1.200000e+02	1.250000e+02	4.455762e-03	5.482292e-04	5.482292e-04
1.250000e+02	1.300000e+02	3.866030e-03	5.200959e-04	5.200959e-04
1.300000e+02	1.350000e+02	4.390236e-03	5.442992e-04	5.442992e-04
1.350000e+02	1.400000e+02	5.307600e-03	6.041192e-04	6.041192e-04
1.400000e+02	1.450000e+02	4.979970e-03	5.933625e-04	5.933625e-04
1.450000e+02	1.500000e+02	4.390236e-03	5.442992e-04	5.442992e-04
1.500000e+02	1.550000e+02	3.866030e-03	5.117738e-04	5.117738e-04
1.550000e+02	1.600000e+02	3.997082e-03	5.200959e-04	5.200959e-04
1.600000e+02	1.650000e+02	4.717866e-03	5.560059e-04	5.560059e-04
1.650000e+02	1.700000e+02	5.307600e-03	6.111851e-04	6.111851e-04
1.700000e+02	1.750000e+02	4.848918e-03	5.787093e-04	5.787093e-04
1.750000e+02	1.800000e+02	5.176548e-03	6.111851e-04	6.111851e-04
1.800000e+02	1.850000e+02	6.552592e-03	6.682359e-04	6.682359e-04
1.850000e+02	1.900000e+02	5.111022e-03	5.860817e-04	5.860817e-04
1.900000e+02	1.950000e+02	4.914444e-03	5.897333e-04	5.897333e-04
1.950000e+02	2.000000e+02	4.783392e-03	5.749877e-04	5.749877e-04
2.000000e+02	2.050000e+02	5.438652e-03	6.250775e-04	6.250775e-04
2.050000e+02	2.100000e+02	6.290488e-03	6.486734e-04	6.486734e-04
2.100000e+02	2.150000e+02	5.307600e-03	6.111851e-04	6.111851e-04
2.150000e+02	2.200000e+02	6.552592e-03	6.617794e-04	6.617794e-04
2.200000e+02	2.250000e+02	4.979970e-03	5.933625e-04	5.933625e-04
2.250000e+02	2.300000e+02	6.487066e-03	6.714408e-04	6.714408e-04
2.300000e+02	2.350000e+02	6.028386e-03	6.352974e-04	6.352974e-04
2.350000e+02	2.400000e+02	6.356014e-03	6.585274e-04	6.585274e-04
2.400000e+02	2.450000e+02	6.487066e-03	6.585274e-04	6.585274e-04
2.450000e+02	2.500000e+02	6.487066e-03	6.714408e-04	6.714408e-04
2.500000e+02	2.550000e+02	5.766282e-03	6.352974e-04	6.352974e-04
2.550000e+02	2.600000e+02	5.962860e-03	6.319091e-04	6.319091e-04
2.600000e+02	2.650000e+02	5.700756e-03	6.181703e-04	6.181703e-04
2.650000e+02	2.700000e+02	6.093912e-03	6.519748e-04	6.519748e-04
2.700000e+02	2.750000e+02	5.438652e-03	6.111851e-04	6.111851e-04
2.750000e+02	2.800000e+02	6.749170e-03	6.650155e-04	6.650155e-04
2.800000e+02	2.850000e+02	6.945748e-03	6.996253e-04	6.996253e-04
