# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta R$
XLabel=$\Delta R_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=4.65632522064723215e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	1.443461e-02	2.592532e-03	2.592532e-03
5.000000e-01	6.000000e-01	5.215084e-02	4.927792e-03	4.927792e-03
6.000000e-01	7.000000e-01	1.043017e-01	6.968950e-03	6.968950e-03
7.000000e-01	8.000000e-01	1.238583e-01	7.594237e-03	7.594237e-03
8.000000e-01	9.000000e-01	1.322396e-01	7.846979e-03	7.846979e-03
9.000000e-01	1.000000e+00	1.080267e-01	7.092304e-03	7.092304e-03
1.000000e+00	1.100000e+00	9.452340e-02	6.634242e-03	6.634242e-03
1.100000e+00	1.200000e+00	9.172961e-02	6.535464e-03	6.535464e-03
1.200000e+00	1.300000e+00	8.102006e-02	6.142114e-03	6.142114e-03
1.300000e+00	1.400000e+00	6.984488e-02	5.702811e-03	5.702811e-03
1.400000e+00	1.500000e+00	6.146349e-02	5.349710e-03	5.349710e-03
1.500000e+00	1.600000e+00	4.935705e-02	4.793981e-03	4.793981e-03
1.600000e+00	1.700000e+00	4.004440e-02	4.318098e-03	4.318098e-03
1.700000e+00	1.800000e+00	4.749452e-02	4.702658e-03	4.702658e-03
1.800000e+00	1.900000e+00	3.957876e-02	4.292920e-03	4.292920e-03
1.900000e+00	2.000000e+00	3.352554e-02	3.951023e-03	3.951023e-03
2.000000e+00	2.100000e+00	3.911313e-02	4.267593e-03	4.267593e-03
2.100000e+00	2.200000e+00	3.725060e-02	4.164744e-03	4.164744e-03
2.200000e+00	2.300000e+00	3.212864e-02	3.867834e-03	3.867834e-03
2.300000e+00	2.400000e+00	3.678497e-02	4.138633e-03	4.138633e-03
2.400000e+00	2.500000e+00	4.097566e-02	4.368020e-03	4.368020e-03
2.500000e+00	2.600000e+00	3.818187e-02	4.216482e-03	4.216482e-03
2.600000e+00	2.700000e+00	4.842578e-02	4.748539e-03	4.748539e-03
2.700000e+00	2.800000e+00	4.796015e-02	4.725654e-03	4.725654e-03
2.800000e+00	2.900000e+00	4.609762e-02	4.632985e-03	4.632985e-03
2.900000e+00	3.000000e+00	5.354774e-02	4.993353e-03	4.993353e-03
3.000000e+00	3.100000e+00	6.192913e-02	5.369936e-03	5.369936e-03
3.100000e+00	3.200000e+00	4.842578e-02	4.748539e-03	4.748539e-03
3.200000e+00	3.300000e+00	2.235036e-02	3.225996e-03	3.225996e-03
3.300000e+00	3.400000e+00	1.303771e-02	2.463896e-03	2.463896e-03
3.400000e+00	3.500000e+00	1.303771e-02	2.463896e-03	2.463896e-03
3.500000e+00	3.600000e+00	8.381385e-03	1.975512e-03	1.975512e-03
3.600000e+00	3.700000e+00	3.725060e-03	1.317008e-03	1.317008e-03
3.700000e+00	3.800000e+00	1.396898e-03	8.064992e-04	8.064992e-04
3.800000e+00	3.900000e+00	2.328163e-03	1.041186e-03	1.041186e-03
3.900000e+00	4.000000e+00	9.312650e-04	6.585038e-04	6.585038e-04
4.000000e+00	4.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.100000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.300000e+00	9.312650e-04	6.585038e-04	6.585038e-04
4.300000e+00	4.400000e+00	4.656325e-04	4.656325e-04	4.656325e-04
4.400000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=9.34843313682904140e-07
Title=X1200_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	9.348433e-06	9.348433e-06	9.348433e-06
4.000000e-01	5.000000e-01	1.963171e-03	1.354717e-04	1.354717e-04
5.000000e-01	6.000000e-01	4.917276e-03	2.144034e-04	2.144034e-04
6.000000e-01	7.000000e-01	5.281865e-03	2.222097e-04	2.222097e-04
7.000000e-01	8.000000e-01	4.085265e-03	1.954247e-04	1.954247e-04
8.000000e-01	9.000000e-01	3.393481e-03	1.781116e-04	1.781116e-04
9.000000e-01	1.000000e+00	3.094331e-03	1.700798e-04	1.700798e-04
1.000000e+00	1.100000e+00	2.570819e-03	1.550262e-04	1.550262e-04
1.100000e+00	1.200000e+00	1.981868e-03	1.361152e-04	1.361152e-04
1.200000e+00	1.300000e+00	1.991216e-03	1.364359e-04	1.364359e-04
1.300000e+00	1.400000e+00	1.720112e-03	1.268083e-04	1.268083e-04
1.400000e+00	1.500000e+00	1.654673e-03	1.243728e-04	1.243728e-04
1.500000e+00	1.600000e+00	1.318129e-03	1.110065e-04	1.110065e-04
1.600000e+00	1.700000e+00	1.318129e-03	1.110065e-04	1.110065e-04
1.700000e+00	1.800000e+00	1.093767e-03	1.011187e-04	1.011187e-04
1.800000e+00	1.900000e+00	1.177903e-03	1.049359e-04	1.049359e-04
1.900000e+00	2.000000e+00	1.009631e-03	9.715177e-05	9.715177e-05
2.000000e+00	2.100000e+00	9.722370e-04	9.533569e-05	9.533569e-05
2.100000e+00	2.200000e+00	9.909339e-04	9.624801e-05	9.624801e-05
2.200000e+00	2.300000e+00	1.112464e-03	1.019794e-04	1.019794e-04
2.300000e+00	2.400000e+00	1.037676e-03	9.849185e-05	9.849185e-05
2.400000e+00	2.500000e+00	8.974496e-04	9.159556e-05	9.159556e-05
2.500000e+00	2.600000e+00	1.318129e-03	1.110065e-04	1.110065e-04
2.600000e+00	2.700000e+00	1.187251e-03	1.053515e-04	1.053515e-04
2.700000e+00	2.800000e+00	1.850990e-03	1.315441e-04	1.315441e-04
2.800000e+00	2.900000e+00	1.804248e-03	1.298726e-04	1.298726e-04
2.900000e+00	3.000000e+00	1.869687e-03	1.322068e-04	1.322068e-04
3.000000e+00	3.100000e+00	2.439941e-03	1.510286e-04	1.510286e-04
3.100000e+00	3.200000e+00	2.122094e-03	1.408484e-04	1.408484e-04
3.200000e+00	3.300000e+00	1.084418e-03	1.006857e-04	1.006857e-04
3.300000e+00	3.400000e+00	8.600558e-04	8.966702e-05	8.966702e-05
3.400000e+00	3.500000e+00	5.328607e-04	7.057913e-05	7.057913e-05
3.500000e+00	3.600000e+00	4.113311e-04	6.201049e-05	6.201049e-05
3.600000e+00	3.700000e+00	3.832858e-04	5.985918e-05	5.985918e-05
3.700000e+00	3.800000e+00	2.524077e-04	4.857588e-05	4.857588e-05
3.800000e+00	3.900000e+00	1.495749e-04	3.739373e-05	3.739373e-05
3.900000e+00	4.000000e+00	9.348433e-05	2.956234e-05	2.956234e-05
4.000000e+00	4.100000e+00	9.348433e-05	2.956234e-05	2.956234e-05
4.100000e+00	4.200000e+00	6.543903e-05	2.473363e-05	2.473363e-05
4.200000e+00	4.300000e+00	8.413590e-05	2.804530e-05	2.804530e-05
4.300000e+00	4.400000e+00	5.609060e-05	2.289889e-05	2.289889e-05
4.400000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	4.600000e+00	9.348433e-06	9.348433e-06	9.348433e-06
4.600000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=violet
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=5.10784448413243539e-08
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	1.440412e-04	8.577529e-06	8.577529e-06
5.000000e-01	6.000000e-01	3.192403e-04	1.276961e-05	1.276961e-05
6.000000e-01	7.000000e-01	2.855285e-04	1.207657e-05	1.207657e-05
7.000000e-01	8.000000e-01	2.237236e-04	1.068993e-05	1.068993e-05
8.000000e-01	9.000000e-01	2.048246e-04	1.022845e-05	1.022845e-05
9.000000e-01	1.000000e+00	1.573216e-04	8.964231e-06	8.964231e-06
1.000000e+00	1.100000e+00	1.552785e-04	8.905831e-06	8.905831e-06
1.100000e+00	1.200000e+00	1.246314e-04	7.978708e-06	7.978708e-06
1.200000e+00	1.300000e+00	9.858140e-05	7.096045e-06	7.096045e-06
1.300000e+00	1.400000e+00	7.968237e-05	6.379696e-06	6.379696e-06
1.400000e+00	1.500000e+00	8.427943e-05	6.561145e-06	6.561145e-06
1.500000e+00	1.600000e+00	6.844512e-05	5.912757e-06	5.912757e-06
1.600000e+00	1.700000e+00	6.844512e-05	5.912757e-06	5.912757e-06
1.700000e+00	1.800000e+00	6.180492e-05	5.618629e-06	5.618629e-06
1.800000e+00	1.900000e+00	5.516472e-05	5.308228e-06	5.308228e-06
