# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta\eta$
XLabel=$\Delta\eta_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta
ScaledBy=4.65632522064723215e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.625058e-01	8.698733e-03	8.698733e-03
1.000000e-01	2.000000e-01	1.494680e-01	8.342492e-03	8.342492e-03
2.000000e-01	3.000000e-01	1.536587e-01	8.458635e-03	8.458635e-03
3.000000e-01	4.000000e-01	1.555213e-01	8.509745e-03	8.509745e-03
4.000000e-01	5.000000e-01	1.764747e-01	9.064898e-03	9.064898e-03
5.000000e-01	6.000000e-01	1.550556e-01	8.496996e-03	8.496996e-03
6.000000e-01	7.000000e-01	1.434148e-01	8.171817e-03	8.171817e-03
7.000000e-01	8.000000e-01	1.243239e-01	7.608498e-03	7.608498e-03
8.000000e-01	9.000000e-01	1.131487e-01	7.258493e-03	7.258493e-03
9.000000e-01	1.000000e+00	9.824846e-02	6.763703e-03	6.763703e-03
1.000000e+00	1.100000e+00	5.541027e-02	5.079451e-03	5.079451e-03
1.100000e+00	1.200000e+00	5.634154e-02	5.121958e-03	5.121958e-03
1.200000e+00	1.300000e+00	3.492244e-02	4.032496e-03	4.032496e-03
1.300000e+00	1.400000e+00	2.933485e-02	3.695844e-03	3.695844e-03
1.400000e+00	1.500000e+00	2.700669e-02	3.546151e-03	3.546151e-03
1.500000e+00	1.600000e+00	2.281599e-02	3.259428e-03	3.259428e-03
1.600000e+00	1.700000e+00	1.862530e-02	2.944919e-03	2.944919e-03
1.700000e+00	1.800000e+00	1.350334e-02	2.507508e-03	2.507508e-03
1.800000e+00	1.900000e+00	1.070955e-02	2.233095e-03	2.233095e-03
1.900000e+00	2.000000e+00	1.303771e-02	2.463896e-03	2.463896e-03
2.000000e+00	2.100000e+00	2.328163e-03	1.041186e-03	1.041186e-03
2.100000e+00	2.200000e+00	5.587590e-03	1.612998e-03	1.612998e-03
